Parameter,True,Estimated,95% CI Lower,95% CI Upper,Error,Error %
a11,0.8,0.8005,0.7558,0.8459,0.0005,0.06
a12,2.0,2.0043,1.888,2.1237,0.0043,0.21
a13,2.0,2.0008,1.8794,2.1155,0.0008,0.04
a14,1.0,1.0007,0.941,1.0595,0.0007,0.07
a22,1.0,0.8605,0.8224,0.8982,-0.1395,-13.95
a23,2.0,2.0014,1.9052,2.0913,0.0014,0.07
a24,1.0,1.0004,0.9536,1.0484,0.0004,0.04
a33,1.5,1.5013,1.3834,1.6221,0.0013,0.09
a34,1.0,0.9995,0.9256,1.0722,-0.0005,-0.05
a44,2.0,1.6501,1.5539,1.7477,-0.3499,-17.49
b1,0.1,1.4326,1.3448,1.5185,1.3326,1332.63
b2,0.2,1.4625,1.3783,1.544,1.2625,631.27
b3,0.3,0.3001,0.2596,0.339,0.0001,0.03
b4,0.4,0.3303,0.297,0.3623,-0.0697,-17.43
