Parameter,True,Estimated,Std,CI_Lower_95,CI_Upper_95,Error,Error_Percent
a11,0.8,0.801006,0.023547,0.757778,0.848275,0.001006,0.13
a12,2.0,2.003098,0.059722,1.886274,2.123456,0.003098,0.15
a13,2.0,2.00003,0.06134,1.873583,2.115505,3e-05,0.0
a14,1.0,1.000857,0.029376,0.946813,1.058763,0.000857,0.09
a22,1.0,0.860749,0.019611,0.822982,0.9004,-0.139251,-13.93
a23,2.0,2.000565,0.047392,1.90365,2.089539,0.000565,0.03
a24,1.0,1.000605,0.023097,0.956231,1.048314,0.000605,0.06
a33,1.5,1.501111,0.060318,1.382701,1.622245,0.001111,0.07
a34,1.0,0.999694,0.038353,0.925667,1.073264,-0.000306,-0.03
a44,2.0,1.649948,0.049336,1.553252,1.747371,-0.350052,-17.5
b1,0.1,1.431835,0.042317,1.34464,1.518463,1.331835,1331.84
b2,0.2,1.461833,0.042459,1.376169,1.544039,1.261833,630.92
b3,0.3,0.300092,0.020264,0.259451,0.339039,9.2e-05,0.03
b4,0.4,0.330305,0.016303,0.296743,0.36261,-0.069695,-17.42
