parameter,true_value,posterior_mean,posterior_std,CI_2.5%,CI_97.5%,error,error_percent
a11,0.8,1.3379417129080233,0.9441183884600978,0.012597430403967581,2.9771415095546843,0.5379417129080233,67.24271410509756
a12,2.0,1.386018514457226,0.7713882108334212,0.21235584007870648,2.718068919816595,-0.6139814855427741,-30.699074275603753
a22,1.0,1.6799596355932231,0.8152187692346364,0.23971409057163476,2.899551984281121,0.6799596355932231,67.99596355252272
b1,0.1,1.3652063999671666,0.9037853224821203,0.018553633581033728,2.903657240303326,1.2652063999671666,1265.20639870196
b2,0.2,1.487635921065258,0.9011323064554431,0.016999287574431365,2.950166098435944,1.2876359210652581,643.81796021072
a33,1.5,1.5625770128786751,0.7543992681744467,0.23054838560249338,2.851199470910603,0.06257701287867512,4.171800858300221
a34,1.0,1.3346042552177118,0.8442283890259665,0.04861826476747855,2.8796133057418793,0.33460425521771175,33.46042551842513
a44,2.0,1.4577571703931327,0.7955073007952074,0.1319316802209127,2.7997935419217543,-0.5422428296068673,-27.112141478987756
b3,0.3,1.5974985651665954,0.7029033756621166,0.39151367716200464,2.908297990826968,1.2974985651665953,432.4995215780319
b4,0.4,1.5552669102560799,0.8395112952250816,0.24501628429524638,2.9407226383010188,1.15526691025608,288.8167274918158
a13,2.0,1.6568387864734178,0.7901492044387676,0.2080980345217352,2.756078515667247,-0.34316121352658224,-17.15806067547121
a14,1.0,1.641152249397655,0.7854704853259441,0.20661285841194826,2.8326477039791955,0.6411522493976549,64.11522493335397
a23,2.0,1.7773761144089977,0.8841401975716785,0.08294164855574324,2.9344283202790917,-0.22262388559100232,-11.131194278993556
a24,1.0,1.4223968978135968,0.8274400271893313,0.16615300056947363,2.900139577358431,0.4223968978135968,42.23968977713571
