Species1,Species2
2.072801798911805271e-01,1.731555872829722287e-01
2.459752733787591017e-01,2.052155044577342602e-01
2.931683780972382247e-01,2.622374833037201536e-01
3.513522730650203152e-01,3.444857175717205844e-01
4.170480714881224515e-01,4.211480658431008828e-01
4.828214571657219456e-01,4.926121433010152151e-01
4.758078864337873526e-01,4.968831166559737889e-01
4.734029855727172054e-01,5.017039840201024115e-01
4.691433098953072811e-01,5.063081609565098784e-01
4.627167549735696772e-01,5.090374516251646719e-01
