Species1,Species2,Species3,Species4
3.332650690208303901e-02,2.973721945536224667e-02,3.053572118901904525e-02,3.242942920133235624e-02
4.059000139135301999e-02,4.143976188577843528e-02,4.620072210997364093e-02,4.201367666285881625e-02
4.919040354473690202e-02,5.322781547063219071e-02,5.229068032416950285e-02,4.559075825510937319e-02
5.716426453436011801e-02,6.358740615440862387e-02,6.993111995172524020e-02,5.513886892148334162e-02
7.240451239229525604e-02,8.035537010574585193e-02,8.085703271606407838e-02,6.196967915501126745e-02
8.917441035470750899e-02,9.411846403873495859e-02,1.015881723204212772e-01,6.972261005335937678e-02
1.116749095505291528e-01,1.126662039244526597e-01,1.311362244644529718e-01,7.521137871309273304e-02
1.315602329199217213e-01,1.366599854493613098e-01,1.585245408398994471e-01,8.122777149736980229e-02
1.585611095621230759e-01,1.647955846123143886e-01,1.918455041126445326e-01,8.967318742522101260e-02
1.882282786741842073e-01,2.006117181959541085e-01,2.309970427740617727e-01,9.847110892380976643e-02
