parameter,true_value,posterior_mean,posterior_std,CI_2.5%,CI_97.5%,error,error_percent
a11,0.8,1.3758741187775323,0.7715806607882836,0.08486209643619277,2.9341441886293995,0.5758741187775323,71.9842648381935
a12,2.0,1.5280847483569022,0.7228929812811284,0.2031209324663269,2.7160209985126818,-0.4719152516430978,-23.5957625809751
a22,1.0,1.4085301208871253,0.8953197682094809,0.12751950191524922,2.7159228496267964,0.40853012088712526,40.853012084627224
b1,0.1,1.569487774291548,0.857390447777084,0.24547457239010034,2.798968767364144,1.469487774291548,1469.4877728220602
b2,0.2,1.155606865176339,0.8437660992892559,0.006192177086268447,2.8038951355325543,0.955606865176339,477.8034323492677
a33,1.5,1.5329000762331322,0.7594439749158407,0.12276315503280638,2.894599033991969,0.03290007623313218,2.193338415395923
a34,1.0,1.8968996444601895,0.733890463124693,0.3135936462441955,2.892252252159323,0.8968996444601895,89.68996443704997
a44,2.0,1.4161928627450633,0.6809839800915989,0.20532509576799185,2.5714400434147744,-0.5838071372549367,-29.190356861287317
b3,0.3,1.3212479639784298,0.8261113141660215,0.018231704850424142,2.75286493935984,1.0212479639784298,340.41598787933793
b4,0.4,1.4618164398286568,0.5777688866756676,0.3998912830465281,2.51058175222796,1.061816439828657,265.4541098908007
a13,2.0,1.0646726278463328,0.7988907014448525,0.13048257725909085,2.5998510227613165,-0.9353273721536672,-46.76636860534504
a14,1.0,1.684120018320636,0.8535745304015461,0.34722593653524353,2.9096975327474457,0.684120018320636,68.41200182522239
a23,2.0,1.3897043453258422,0.83129436929567,0.2618967540900612,2.8204327832576985,-0.6102956546741578,-30.51478273218215
a24,1.0,1.4261636494993521,0.7774319758698524,0.01709623047195229,2.73542999262682,0.42616364949935215,42.61636494567358
