label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
1,-69.657928,-45.383583,26.145887,3.1718394e-38,2.1763297e-37,-2.2363637e-38,2.2106628e-37,T23,INNER
2,-69.328705,-45.38681,25.758587,-3.6707574e-38,2.3610005e-37,-1.2227223e-38,2.3924921e-37,T23,INNER
3,-69.192703,-45.380817,26.258251,-4.2963971e-38,1.8213434e-37,-0,1.8713316e-37,T23,INNER
4,-67.29612,-39.252289,29.980015,-2.093241e-37,-2.4214135e-38,2.9915346e-38,2.1283287e-37,T23,INNER
5,-67.375061,-39.030472,29.644772,-1.4783543e-37,-2.4873832e-38,2.9445759e-38,1.5277786e-37,T23,INNER
6,-67.369034,-38.736446,29.99329,-2.1015168e-37,-5.4336951e-38,3.2364899e-38,2.1946234e-37,T23,INNER
7,-66.972237,-37.030758,34.823738,-9.8269407e-38,-2.0431658e-37,1.2715445e-38,2.2707669e-37,T23,INNER
8,-66.74762,-37.201523,34.431892,-1.4688558e-37,-1.8205337e-37,3.5332328e-38,2.3657383e-37,T23,INNER
9,-67.185341,-36.974525,34.400417,-6.8707003e-38,-1.7854105e-37,0,1.9130489e-37,T23,INNER
10,-67.992691,-36.868366,32.623665,-5.3807305e-38,-2.2979851e-37,2.1686209e-38,2.3700817e-37,T23,INNER
11,-67.815163,-36.881153,33.084137,-6.062479e-38,-2.264116e-37,1.6329475e-38,2.3495581e-37,T23,INNER
12,-67.538597,-37.010468,32.706177,-9.6274765e-38,-1.582068e-37,3.3650759e-38,1.8823016e-37,T23,INNER
13,-71.247223,-41.121857,27.702221,1.960617e-37,-0,-0,1.960617e-37,T23,INNER
14,-71.248375,-41.536453,27.929348,1.9013434e-37,0,-0,1.9013434e-37,T23,INNER
15,-71.251076,-41.12949,28.173306,1.6241281e-37,-0,-0,1.6241281e-37,T23,INNER
16,-68.093056,-43.156647,31.828054,-1.4598159e-37,1.4737013e-37,-3.289788e-38,2.1002583e-37,T23,INNER
17,-67.992081,-42.965641,32.236023,-1.557575e-37,1.4181137e-37,-3.673729e-38,2.138235e-37,T23,INNER
18,-68.266808,-43.245583,32.170998,-6.2032288e-38,1.0129746e-37,-3.0541998e-38,1.226458e-37,T23,INNER
19,-68.161812,-41.294853,23.093561,-1.2476566e-37,-1.384497e-38,2.8000272e-38,1.2861636e-37,T23,INNER
20,-68.243721,-41.234756,22.733173,-1.5767221e-37,-2.7470517e-38,4.4602579e-38,1.6614615e-37,T23,INNER
21,-68.206337,-40.929951,23.03554,-1.59334e-37,-4.2734696e-38,4.5575019e-38,1.7114515e-37,T23,INNER
22,-66.95723,-37.1371,34.005604,-1.342695e-37,-1.8686315e-37,3.9012934e-38,2.3338412e-37,T23,INNER
23,-66.548325,-37.280098,34.859097,-1.6024925e-37,-1.7291311e-37,2.7286936e-38,2.373254e-37,T23,INNER
24,-66.407455,-37.560986,34.48959,-1.994056e-37,-1.2388595e-37,5.0492321e-38,2.4012454e-37,T23,INNER
25,-66.771744,-37.09016,35.243504,-1.1086858e-37,-1.9585635e-37,0,2.25059e-37,T23,INNER
26,-70.325783,-46.114334,20.652361,7.1190844e-38,2.1476897e-37,1.7566159e-38,2.2694144e-37,T23,INNER
27,-70.683655,-45.861221,20.50102,1.595733e-37,1.6023043e-37,1.5727941e-38,2.2668215e-37,T23,INNER
28,-70.387573,-46.069565,20.197861,7.1151944e-38,1.7876312e-37,3.3221233e-38,1.9524984e-37,T23,INNER
29,-70.841232,-44.584381,26.109266,1.7145271e-37,1.1378965e-37,-3.9455896e-38,2.0952538e-37,T23,INNER
30,-70.598343,-44.747086,26.526161,1.7281929e-37,1.7152799e-37,-4.4337156e-38,2.4749574e-37,T23,INNER
31,-70.881599,-44.387878,26.460398,1.1176906e-37,6.2189267e-38,-2.0814729e-38,1.2958812e-37,T23,INNER
32,-71.021271,-43.510353,21.070925,2.5597705e-37,-0,3.7472938e-38,2.5870538e-37,T23,INNER
33,-71.003235,-43.895302,20.718376,2.2113297e-37,-0,2.5145337e-38,2.2255803e-37,T23,INNER
34,-71.025024,-43.995705,21.20599,1.8185805e-37,0,0,1.8185805e-37,T23,INNER
35,-67.728523,-42.759041,30.485655,-2.1444736e-37,8.2142233e-38,-1.9013134e-38,2.3042682e-37,T23,INNER
36,-67.918533,-43.200672,30.578318,-1.973987e-37,1.1838112e-37,-3.3705494e-38,2.3262931e-37,T23,INNER
37,-67.798752,-43.066425,30.11524,-1.6661327e-37,7.2515379e-38,-1.4110298e-38,1.8225686e-37,T23,INNER
38,-71.162636,-41.932701,32.712143,1.9140824e-37,9.7884902e-38,-3.1841203e-38,2.1733024e-37,T23,INNER
39,-71.202553,-41.908726,32.249706,1.9151896e-37,7.3057374e-38,-1.218138e-38,2.0534186e-37,T23,INNER
40,-71.003632,-42.356667,32.43166,1.874543e-37,1.2212287e-37,-5.0583668e-38,2.2937266e-37,T23,INNER
41,-71.1912,-38.16254,30.29882,1.8249877e-37,-1.0918913e-37,4.8641827e-38,2.1816071e-37,T23,INNER
42,-71.270943,-38.520786,30.02524,1.8919009e-37,-6.7712737e-38,4.005381e-38,2.0489561e-37,T23,INNER
43,-71.34201,-38.515514,30.416899,1.1115617e-37,-2.9428823e-38,1.5983338e-38,1.1609142e-37,T23,INNER
