label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
1,-69.657928,-45.383583,26.145887,3.17188e-38,2.176347e-37,-2.2363227e-38,2.21068e-37,T23,INNER
2,-69.328705,-45.38681,25.758587,-3.670826e-38,2.36102e-37,-1.2226965e-38,2.3925122e-37,T23,INNER
3,-69.192703,-45.380817,26.258251,-4.2964282e-38,1.8213617e-37,-0,1.8713501e-37,T23,INNER
4,-67.29612,-39.252289,29.980015,-2.0932426e-37,-2.421363e-38,2.9915077e-38,2.1283293e-37,T23,INNER
5,-67.375061,-39.030472,29.644772,-1.478357e-37,-2.4873477e-38,2.9445552e-38,1.5277802e-37,T23,INNER
6,-67.369034,-38.736446,29.99329,-2.1015242e-37,-5.4336598e-38,3.236474e-38,2.1946294e-37,T23,INNER
7,-66.972237,-37.030758,34.823738,-9.8269642e-38,-2.0431826e-37,1.2716062e-38,2.2707834e-37,T23,INNER
8,-66.74762,-37.201523,34.431892,-1.4688636e-37,-1.8205487e-37,3.5333211e-38,2.365756e-37,T23,INNER
9,-67.185341,-36.974525,34.400417,-6.8707143e-38,-1.7854264e-37,0,1.9130642e-37,T23,INNER
10,-67.992691,-36.868366,32.623665,-5.3807221e-38,-2.2980015e-37,2.1686352e-38,2.3700975e-37,T23,INNER
11,-67.815163,-36.881153,33.084137,-6.0624785e-38,-2.2641297e-37,1.6329517e-38,2.3495713e-37,T23,INNER
12,-67.538597,-37.010468,32.706177,-9.6275269e-38,-1.5820804e-37,3.365091e-38,1.882315e-37,T23,INNER
13,-71.247223,-41.121857,27.702221,1.9606107e-37,-0,-0,1.9606107e-37,T23,INNER
14,-71.248375,-41.536453,27.929348,1.9013392e-37,0,-0,1.9013392e-37,T23,INNER
15,-71.251076,-41.12949,28.173306,1.6241227e-37,-0,-0,1.6241227e-37,T23,INNER
16,-68.093056,-43.156647,31.828054,-1.4598283e-37,1.4737043e-37,-3.28976e-38,2.1002687e-37,T23,INNER
17,-67.992081,-42.965641,32.236023,-1.5575886e-37,1.4181225e-37,-3.6737122e-38,2.1382505e-37,T23,INNER
18,-68.266808,-43.245583,32.170998,-6.2033162e-38,1.012983e-37,-3.0541849e-38,1.226469e-37,T23,INNER
19,-68.161812,-41.294853,23.093561,-1.247662e-37,-1.3844635e-38,2.8000048e-38,1.286168e-37,T23,INNER
20,-68.243721,-41.234756,22.733173,-1.5767308e-37,-2.7470279e-38,4.4602475e-38,1.6614692e-37,T23,INNER
21,-68.206337,-40.929951,23.03554,-1.5933516e-37,-4.2734418e-38,4.5575089e-38,1.7114617e-37,T23,INNER
22,-66.95723,-37.1371,34.005604,-1.3427018e-37,-1.8686461e-37,3.9013607e-38,2.3338578e-37,T23,INNER
23,-66.548325,-37.280098,34.859097,-1.6025006e-37,-1.7291474e-37,2.728783e-38,2.3732723e-37,T23,INNER
24,-66.407455,-37.560986,34.48959,-1.9940668e-37,-1.2388685e-37,5.0493335e-38,2.4012611e-37,T23,INNER
25,-66.771744,-37.09016,35.243504,-1.1086882e-37,-1.9585798e-37,0,2.2506054e-37,T23,INNER
26,-70.325783,-46.114334,20.652361,7.1191864e-38,2.1477166e-37,1.7565306e-38,2.2694424e-37,T23,INNER
27,-70.683655,-45.861221,20.50102,1.5957558e-37,1.6023202e-37,1.5727078e-38,2.2668482e-37,T23,INNER
28,-70.387573,-46.069565,20.197861,7.1152987e-38,1.7876628e-37,3.322042e-38,1.9525298e-37,T23,INNER
29,-70.841232,-44.584381,26.109266,1.7145382e-37,1.137897e-37,-3.9455685e-38,2.0952627e-37,T23,INNER
30,-70.598343,-44.747086,26.526161,1.7282075e-37,1.7152866e-37,-4.4337338e-38,2.4749726e-37,T23,INNER
31,-70.881599,-44.387878,26.460398,1.1176986e-37,6.218911e-38,-2.0814764e-38,1.2958874e-37,T23,INNER
32,-71.021271,-43.510353,21.070925,2.5597633e-37,-0,3.7471682e-38,2.5870448e-37,T23,INNER
33,-71.003235,-43.895302,20.718376,2.2113248e-37,-0,2.514409e-38,2.225574e-37,T23,INNER
34,-71.025024,-43.995705,21.20599,1.8185729e-37,0,0,1.8185729e-37,T23,INNER
35,-67.728523,-42.759041,30.485655,-2.1444808e-37,8.2141851e-38,-1.9012969e-38,2.3042733e-37,T23,INNER
36,-67.918533,-43.200672,30.578318,-1.9739995e-37,1.183811e-37,-3.3705561e-38,2.3263037e-37,T23,INNER
37,-67.798752,-43.066425,30.11524,-1.666142e-37,7.2515105e-38,-1.4110357e-38,1.822576e-37,T23,INNER
38,-71.162636,-41.932701,32.712143,1.9140941e-37,9.7885014e-38,-3.1841212e-38,2.1733132e-37,T23,INNER
39,-71.202553,-41.908726,32.249706,1.9151965e-37,7.3057127e-38,-1.2181073e-38,2.053424e-37,T23,INNER
40,-71.003632,-42.356667,32.43166,1.8745557e-37,1.2212268e-37,-5.0583551e-38,2.2937357e-37,T23,INNER
41,-71.1912,-38.16254,30.29882,1.8249984e-37,-1.091892e-37,4.8641984e-38,2.1816168e-37,T23,INNER
42,-71.270943,-38.520786,30.02524,1.8919096e-37,-6.7712541e-38,4.0053841e-38,2.0489636e-37,T23,INNER
43,-71.34201,-38.515514,30.416899,1.1115675e-37,-2.9428593e-38,1.59836e-38,1.1609194e-37,T23,INNER
44,-70.301491,-45.053158,26.366943,8.9892579e-38,1.2483468e-37,-3.039024e-38,1.5680542e-37,T23,INNER
45,-70.547195,-44.952549,26.059292,1.4613319e-37,1.6164297e-37,-4.4732911e-38,2.2245088e-37,T23,INNER
46,-70.12709,-45.248444,25.998198,8.2159592e-38,1.9713794e-37,-3.7531428e-38,2.1684597e-37,T23,INNER
47,-67.984612,-38.007401,28.734924,-1.3628305e-37,-1.3983529e-37,4.2850597e-38,1.9990786e-37,T23,INNER
48,-68.357796,-37.807373,28.574217,-8.254653e-38,-1.8031499e-37,5.5054113e-38,2.0581152e-37,T23,INNER
49,-68.236137,-37.755451,29.020609,-7.5251437e-38,-1.5487766e-37,3.8009055e-38,1.7633649e-37,T23,INNER
50,-69.494339,-36.936737,33.545498,3.027889e-38,-1.7383017e-37,-0,1.7644755e-37,T23,INNER
51,-69.095757,-36.895485,33.729576,1.7917913e-38,-1.8625291e-37,-0,1.871128e-37,T23,INNER
52,-69.144241,-36.889576,33.259953,1.5436404e-38,-1.7494264e-37,0,1.7562235e-37,T23,INNER
53,-71.383064,-40.160038,30.250698,2.0119657e-37,0,1.5612708e-38,2.0180143e-37,T23,INNER
54,-71.356155,-39.792595,29.936451,2.2866413e-37,-0,2.0948707e-38,2.2962172e-37,T23,INNER
55,-71.322632,-40.328022,29.750126,2.3126785e-37,1.216902e-38,0,2.3158779e-37,T23,INNER
56,-70.443573,-42.654003,33.103195,8.5824632e-38,1.1809098e-37,-8.1970052e-38,1.6742292e-37,T23,INNER
57,-70.741364,-42.34549,33.173481,1.2079976e-37,1.2124539e-37,-8.7579147e-38,1.9225799e-37,T23,INNER
58,-70.736534,-42.580635,32.801414,1.216004e-37,1.1021823e-37,-5.3204001e-38,1.7252647e-37,T23,INNER
59,-71.352974,-40.811108,34.771965,1.0603301e-37,1.6815882e-37,-8.3680029e-38,2.156913e-37,T23,INNER
60,-70.919777,-40.904877,34.821056,4.3641857e-38,1.5145844e-37,-9.9857481e-38,1.8658989e-37,T23,INNER
61,-71.139366,-40.637646,35.185143,5.0452047e-38,1.5448369e-37,-9.7842695e-38,1.89694e-37,T23,INNER
62,-68.079857,-44.219997,27.425354,-2.0170452e-37,8.7498651e-38,-1.8781739e-38,2.2066599e-37,T23,INNER
63,-68.126022,-44.192856,27.910152,-2.0460312e-37,1.0321306e-37,-2.6382271e-38,2.3067596e-37,T23,INNER
64,-68.277428,-44.576363,27.663481,-1.3813016e-37,1.0434041e-37,-2.5240426e-38,1.7493982e-37,T23,INNER
65,-71.355927,-39.789982,36.704723,5.9894209e-38,1.6060112e-37,-1.0471401e-37,2.008608e-37,T23,INNER
66,-71.594261,-39.519066,37.013588,1.2101557e-37,1.6398898e-37,-1.6904373e-37,2.6478848e-37,T23,INNER
67,-71.798111,-39.684036,36.579601,1.4758742e-37,1.4652948e-37,-1.0042243e-37,2.3094934e-37,T23,INNER
68,-71.266563,-39.440014,28.694145,2.0668233e-37,-2.0461701e-38,1.8296236e-38,2.0849705e-37,T23,INNER
69,-71.219231,-39.44125,28.219433,2.0939639e-37,-2.6673251e-38,2.4581558e-38,2.1251485e-37,T23,INNER
70,-71.248901,-39.866055,28.454693,1.7463885e-37,-0,1.3788902e-38,1.7518237e-37,T23,INNER
71,-71.295937,-40.780148,24.264235,2.1723563e-37,-4.9317623e-38,3.3845601e-38,2.2531993e-37,T23,INNER
72,-71.324966,-41.28867,24.184347,2.4240665e-37,-1.969123e-38,2.487511e-38,2.4447393e-37,T23,INNER
73,-71.365837,-41.040844,24.654741,1.6651781e-37,-1.5400203e-38,1.5465721e-38,1.6794206e-37,T23,INNER
74,-70.983742,-42.708851,31.456997,1.7240289e-37,8.1314906e-38,-2.4585246e-38,1.9219601e-37,T23,INNER
75,-70.937759,-42.657135,31.946514,2.199626e-37,1.2979064e-37,-4.9363732e-38,2.6012677e-37,T23,INNER
76,-71.106613,-42.303093,31.614744,1.5037862e-37,5.1494832e-38,-0,1.5895108e-37,T23,INNER
77,-67.857368,-43.318081,29.741508,-1.7211548e-37,8.4881995e-38,-2.3924273e-38,1.9339354e-37,T23,INNER
78,-67.760117,-43.095131,29.378826,-1.5931264e-37,5.634106e-38,-0,1.6898175e-37,T23,INNER
79,-67.733917,-42.954357,29.732216,-1.0725528e-37,3.2899999e-38,-0,1.1218781e-37,T23,INNER
80,-68.01429,-41.128506,24.027121,-2.0959986e-37,-1.5334507e-38,3.7393509e-38,2.1346082e-37,T23,INNER
81,-68.065773,-40.692085,23.841213,-2.1538946e-37,-3.8348884e-38,5.3527847e-38,2.2522985e-37,T23,INNER
82,-67.983025,-40.737244,24.303215,-1.5034148e-37,-1.8003464e-38,2.5643002e-38,1.5357164e-37,T23,INNER
83,-67.200691,-39.427647,37.474636,-3.3596506e-38,1.3856047e-37,-1.3413857e-37,1.9575721e-37,T23,INNER
84,-67.566612,-39.586349,37.270691,-1.1887462e-38,1.6450627e-37,-1.2092217e-37,2.0451356e-37,T23,INNER
85,-67.146095,-39.675434,37.099472,-3.5758096e-38,1.596307e-37,-9.475439e-38,1.890476e-37,T23,INNER
86,-68.845253,-45.095417,27.672514,-6.6017144e-38,1.85491e-37,-5.0340739e-38,2.0322245e-37,T23,INNER
87,-68.852707,-45.207771,27.174097,-9.3521152e-38,2.6379181e-37,-4.246457e-38,2.8308226e-37,T23,INNER
88,-68.489738,-44.926514,27.434721,-1.2257968e-37,1.3508812e-37,-2.8293298e-38,1.8459439e-37,T23,INNER
89,-66.951836,-39.442989,32.071819,-2.1997967e-37,-0,6.4605223e-38,2.2927034e-37,T23,INNER
90,-66.943596,-40.007324,32.138527,-2.6565933e-37,2.2097266e-38,7.1812169e-38,2.7607998e-37,T23,INNER
91,-67.059761,-39.72401,31.660276,-1.8125391e-37,0,3.8920928e-38,1.8538559e-37,T23,INNER
92,-71.069832,-44.598297,22.62888,2.2350137e-37,3.8526526e-38,0,2.267976e-37,T23,INNER
93,-71.08696,-44.612686,23.137663,2.4293291e-37,5.2914067e-38,-0,2.4862884e-37,T23,INNER
94,-71.144775,-44.111092,22.883949,2.2967466e-37,3.1534148e-38,0,2.3182936e-37,T23,INNER
95,-66.232246,-37.481209,35.701408,-1.6113522e-37,-1.3277047e-37,0,2.0878831e-37,T23,INNER
96,-66.113228,-37.776329,35.372143,-2.085231e-37,-8.5094303e-38,2.6205332e-38,2.2673695e-37,T23,INNER
97,-66.375328,-37.374569,35.28886,-1.3925106e-37,-1.3378508e-37,1.8543891e-38,1.9399274e-37,T23,INNER
98,-69.83902,-43.881359,30.914801,3.3150683e-38,1.3130608e-37,-5.0077699e-38,1.4438847e-37,T23,INNER
99,-69.721153,-43.755413,31.355728,4.5700886e-38,2.5867019e-37,-8.8221357e-38,2.7709537e-37,T23,INNER
100,-70.185394,-43.709766,31.088301,8.1581652e-38,1.4868084e-37,-5.9347428e-38,1.7967658e-37,T23,INNER
101,-66.983978,-37.325542,33.213257,-1.5786344e-37,-1.4038329e-37,4.893124e-38,2.1684695e-37,T23,INNER
102,-66.897095,-37.635456,32.888702,-1.6298783e-37,-8.4827266e-38,5.626511e-38,1.9216259e-37,T23,INNER
103,-67.162346,-37.278461,32.795021,-1.1515945e-37,-1.2432773e-37,4.013612e-38,1.7415508e-37,T23,INNER
104,-70.536972,-41.429142,21.123255,1.5248997e-37,-1.7062976e-37,1.2906524e-37,2.6272712e-37,T23,INNER
105,-70.550529,-41.136814,21.575256,1.7012861e-37,-1.9426779e-37,1.3417287e-37,2.9100872e-37,T23,INNER
106,-70.173233,-41.10479,21.255575,6.0416367e-38,-1.4841488e-37,1.0969181e-37,1.941891e-37,T23,INNER
107,-67.32325,-37.260822,32.373901,-1.1792226e-37,-1.1375356e-37,5.0037521e-38,1.7131633e-37,T23,INNER
108,-71.123116,-44.249416,24.903257,2.2491174e-37,5.8976673e-38,-1.9643604e-38,2.3334398e-37,T23,INNER
109,-71.185921,-43.889133,24.620342,1.5903187e-37,2.8750488e-38,-0,1.616098e-37,T23,INNER
110,-71.135658,-44.302139,24.419462,1.9705326e-37,5.3717314e-38,-0,2.0424382e-37,T23,INNER
111,-69.434967,-38.384651,37.949547,3.36526e-38,-0,-2.4413485e-37,2.4644334e-37,T23,INNER
112,-69.14122,-38.762749,37.918259,1.9511642e-38,6.4873449e-38,-2.1357006e-37,2.2405678e-37,T23,INNER
113,-68.964066,-38.337627,38.009792,1.2445941e-38,-1.6995553e-38,-1.8192559e-37,1.8314112e-37,T23,INNER
114,-69.69342,-44.623569,18.742062,-7.617908e-38,-0,1.2951121e-37,1.5025447e-37,T23,INNER
115,-69.981476,-44.762165,18.556118,-2.8619809e-38,0,2.1648602e-37,2.1836962e-37,T23,INNER
116,-69.948112,-44.348282,18.671768,-2.2965118e-38,-5.3190997e-38,1.7729536e-37,1.8652165e-37,T23,INNER
117,-70.946426,-44.054947,27.16964,2.131618e-37,1.0979931e-37,-2.3475725e-38,2.409252e-37,T23,INNER
118,-71.119698,-43.591175,27.021135,2.4570145e-37,6.761366e-38,-2.2489627e-38,2.5582532e-37,T23,INNER
119,-71.035599,-43.97958,26.629217,2.1158255e-37,8.6575706e-38,-1.3485247e-38,2.2900738e-37,T23,INNER
120,-70.01606,-44.424648,29.530087,6.8117135e-38,1.9007511e-37,-6.881538e-38,2.1331677e-37,T23,INNER
121,-70.372086,-44.189796,29.663267,1.0092643e-37,1.4493247e-37,-5.8647878e-38,1.8609443e-37,T23,INNER
122,-70.371452,-44.336761,29.25412,9.6352744e-38,1.231035e-37,-3.67215e-38,1.6058266e-37,T23,INNER
123,-68.497505,-38.000526,27.542595,-6.652535e-38,-1.4130126e-37,3.9008116e-38,1.6097609e-37,T23,INNER
124,-68.879494,-37.902077,27.536861,-2.5016459e-38,-1.5277632e-37,4.1685577e-38,1.6032503e-37,T23,INNER
125,-68.657959,-37.863979,27.898863,-4.4117808e-38,-1.4524177e-37,3.1451236e-38,1.5501849e-37,T23,INNER
126,-70.412361,-42.911716,32.764294,1.1358175e-37,1.5055728e-37,-9.2980166e-38,2.1027035e-37,T23,INNER
127,-70.708252,-42.819195,32.39867,1.7731292e-37,1.5530994e-37,-7.4684825e-38,2.4726276e-37,T23,INNER
128,-70.345528,-43.162579,32.379463,9.7619552e-38,1.5510752e-37,-6.7568981e-38,1.9532917e-37,T23,INNER
129,-66.587112,-37.173267,35.662384,-1.2388197e-37,-1.8655277e-37,-0,2.23939e-37,T23,INNER
130,-66.43222,-37.288029,36.078018,-1.1639599e-37,-1.4836284e-37,-2.2801459e-38,1.8994596e-37,T23,INNER
131,-70.609894,-45.995136,21.421814,1.5110649e-37,1.8552852e-37,1.6728829e-38,2.3986216e-37,T23,INNER
132,-70.21489,-46.206242,21.570162,5.321487e-38,2.1374077e-37,1.2357003e-38,2.2061196e-37,T23,INNER
133,-70.564949,-46.067112,21.935175,1.3831549e-37,1.7955793e-37,-0,2.2665442e-37,T23,INNER
134,-67.500061,-41.608994,28.271156,-2.4729539e-37,1.9059792e-38,1.8411393e-38,2.4871121e-37,T23,INNER
135,-67.444832,-41.352089,28.71513,-2.0360896e-37,1.6399395e-38,0,2.0426832e-37,T23,INNER
136,-67.50705,-41.807007,28.749788,-1.5786507e-37,2.534732e-38,0,1.5988705e-37,T23,INNER
137,-68.312927,-42.98193,32.996769,-9.8364785e-38,1.8908651e-37,-1.0015647e-37,2.3550086e-37,T23,INNER
138,-68.659546,-43.225544,32.789646,-5.4104565e-38,2.0218957e-37,-9.8226886e-38,2.312065e-37,T23,INNER
139,-68.269958,-43.141987,32.554272,-9.4054906e-38,1.3811078e-37,-4.5875681e-38,1.7327865e-37,T23,INNER
140,-67.771248,-42.997177,28.057491,-1.6714901e-37,4.1433442e-38,0,1.7220779e-37,T23,INNER
141,-67.857033,-43.319817,28.25366,-1.3433668e-37,4.2027884e-38,-0,1.4075754e-37,T23,INNER
142,-67.862564,-43.3867,27.859507,-1.6084695e-37,4.9211528e-38,0,1.6820676e-37,T23,INNER
143,-70.828156,-45.145866,24.59634,6.4168029e-38,4.5699199e-38,-1.8704955e-38,8.0968069e-38,T23,INNER
144,-70.97496,-44.805031,24.721752,2.9097377e-37,1.3245256e-37,-4.2755914e-38,3.2254842e-37,T23,INNER
145,-70.90387,-45.113735,24.317629,1.4170423e-37,7.6991435e-38,-2.2235427e-38,1.6279492e-37,T23,INNER
146,-67.590927,-41.928104,27.494505,-1.6285007e-37,1.7475983e-38,0,1.6378509e-37,T23,INNER
147,-67.608475,-41.880985,27.074497,-1.5668831e-37,2.0132618e-38,0,1.5797642e-37,T23,INNER
148,-67.57457,-41.553188,27.337456,-1.1802516e-37,0,0,1.1802516e-37,T23,INNER
