label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
1,-69.657928,-45.383583,26.145887,3.1649018e-38,2.1692798e-37,-2.2301459e-38,2.2035599e-37,T23,INNER
2,-69.328705,-45.38681,25.758587,-3.658936e-38,2.354539e-37,-1.2238226e-38,2.38594e-37,T23,INNER
3,-69.192703,-45.380817,26.258251,-4.2952068e-38,1.813653e-37,-0,1.86382e-37,T23,INNER
4,-67.29612,-39.252289,29.980015,-2.092057e-37,-2.4435136e-38,2.9997484e-38,2.1275326e-37,T23,INNER
5,-67.375061,-39.030472,29.644772,-1.4765166e-37,-2.4981161e-38,2.9495102e-38,1.526271e-37,T23,INNER
6,-67.369034,-38.736446,29.99329,-2.0990184e-37,-5.4496946e-38,3.2421913e-38,2.1927125e-37,T23,INNER
7,-66.972237,-37.030758,34.823738,-9.8134322e-38,-2.0385465e-37,1.2478236e-38,2.2658943e-37,T23,INNER
8,-66.74762,-37.201523,34.431892,-1.4652384e-37,-1.8160103e-37,3.5052825e-38,2.3595946e-37,T23,INNER
9,-67.185341,-36.974525,34.400417,-6.8597455e-38,-1.7804387e-37,0,1.9080155e-37,T23,INNER
10,-67.992691,-36.868366,32.623665,-5.3649693e-38,-2.2927032e-37,2.1595675e-38,2.3645199e-37,T23,INNER
11,-67.815163,-36.881153,33.084137,-6.052087e-38,-2.2596505e-37,1.6271076e-38,2.3449462e-37,T23,INNER
12,-67.538597,-37.010468,32.706177,-9.6138873e-38,-1.5785081e-37,3.3591703e-38,1.8785091e-37,T23,INNER
13,-71.247223,-41.121857,27.702221,1.9624784e-37,-0,-0,1.9624784e-37,T23,INNER
14,-71.248375,-41.536453,27.929348,1.9003226e-37,0,-0,1.9003226e-37,T23,INNER
15,-71.251076,-41.12949,28.173306,1.6240591e-37,-0,-0,1.6240591e-37,T23,INNER
16,-68.093056,-43.156647,31.828054,-1.4551837e-37,1.4723871e-37,-3.3048971e-38,2.0963556e-37,T23,INNER
17,-67.992081,-42.965641,32.236023,-1.5540518e-37,1.4152215e-37,-3.6690032e-38,2.1336693e-37,T23,INNER
18,-68.266808,-43.245583,32.170998,-6.1720824e-38,1.0098728e-37,-3.0488485e-38,1.2221881e-37,T23,INNER
19,-68.161812,-41.294853,23.093561,-1.2453917e-37,-1.4072432e-38,2.8134592e-38,1.2845074e-37,T23,INNER
20,-68.243721,-41.234756,22.733173,-1.5730135e-37,-2.7651388e-38,4.4702211e-38,1.6585114e-37,T23,INNER
21,-68.206337,-40.929951,23.03554,-1.5893869e-37,-4.2936564e-38,4.5636614e-38,1.7084425e-37,T23,INNER
22,-66.95723,-37.1371,34.005604,-1.3400764e-37,-1.8641682e-37,3.8805856e-38,2.3284152e-37,T23,INNER
23,-66.548325,-37.280098,34.859097,-1.5989976e-37,-1.7240525e-37,2.7004288e-38,2.3668699e-37,T23,INNER
24,-66.407455,-37.560986,34.48959,-1.9899855e-37,-1.2340208e-37,5.0177707e-38,2.3947087e-37,T23,INNER
25,-66.771744,-37.09016,35.243504,-1.1068133e-37,-1.952763e-37,0,2.24462e-37,T23,INNER
26,-70.325783,-46.114334,20.652361,7.0629932e-38,2.1362172e-37,1.794443e-38,2.2570961e-37,T23,INNER
