label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
1,-69.657928,-45.383583,26.145887,3.1517125e-38,2.1589785e-37,-2.2231489e-38,2.1931587e-37,T23,INNER
2,-69.328705,-45.38681,25.758587,-3.6388204e-38,2.3449618e-37,-1.2257854e-38,2.3761905e-37,T23,INNER
3,-69.192703,-45.380817,26.258251,-4.2872589e-38,1.8027141e-37,-0,1.8529932e-37,T23,INNER
4,-67.29612,-39.252289,29.980015,-2.0904241e-37,-2.4743344e-38,3.0112424e-38,2.1264459e-37,T23,INNER
5,-67.375061,-39.030472,29.644772,-1.4740337e-37,-2.5141954e-38,2.9565363e-38,1.5242697e-37,T23,INNER
6,-67.369034,-38.736446,29.99329,-2.0953475e-37,-5.472307e-38,3.2499228e-38,2.1898773e-37,T23,INNER
7,-66.972237,-37.030758,34.823738,-9.7945303e-38,-2.0314155e-37,1.2134694e-38,2.2584735e-37,T23,INNER
8,-66.74762,-37.201523,34.431892,-1.4601283e-37,-1.8090083e-37,3.4635692e-38,2.3504146e-37,T23,INNER
9,-67.185341,-36.974525,34.400417,-6.8452102e-38,-1.7731322e-37,0,1.9006754e-37,T23,INNER
10,-67.992691,-36.868366,32.623665,-5.3461801e-38,-2.2849266e-37,2.1477399e-38,2.3564451e-37,T23,INNER
11,-67.815163,-36.881153,33.084137,-6.0389355e-38,-2.2529877e-37,1.6190499e-38,2.3381305e-37,T23,INNER
12,-67.538597,-37.010468,32.706177,-9.5910943e-38,-1.5730356e-37,3.3490846e-38,1.8725639e-37,T23,INNER
13,-71.247223,-41.121857,27.702221,1.9650366e-37,-0,-0,1.9650366e-37,T23,INNER
14,-71.248375,-41.536453,27.929348,1.8992025e-37,0,-0,1.8992025e-37,T23,INNER
15,-71.251076,-41.12949,28.173306,1.6241381e-37,-0,-0,1.6241381e-37,T23,INNER
16,-68.093056,-43.156647,31.828054,-1.4485192e-37,1.4702335e-37,-3.3234329e-38,2.0905134e-37,T23,INNER
