label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
1,-69.657928,-45.383583,26.145887,3.1719344e-38,2.1764472e-37,-2.2364429e-38,2.2107806e-37,T23,INNER
2,-69.328705,-45.38681,25.758587,-3.6709575e-38,2.3611139e-37,-1.2226943e-38,2.392607e-37,T23,INNER
3,-69.192703,-45.380817,26.258251,-4.2963707e-38,1.821473e-37,-0,1.8714571e-37,T23,INNER
4,-67.29612,-39.252289,29.980015,-2.0932603e-37,-2.4210315e-38,2.9913824e-38,2.1283412e-37,T23,INNER
5,-67.375061,-39.030472,29.644772,-1.4783842e-37,-2.487203e-38,2.9444848e-38,1.5278029e-37,T23,INNER
6,-67.369034,-38.736446,29.99329,-2.10156e-37,-5.4334277e-38,3.2363854e-38,2.1946567e-37,T23,INNER
7,-66.972237,-37.030758,34.823738,-9.8271918e-38,-2.0432456e-37,1.2719648e-38,2.270852e-37,T23,INNER
8,-66.74762,-37.201523,34.431892,-1.4689171e-37,-1.8206066e-37,3.5337174e-38,2.3658397e-37,T23,INNER
9,-67.185341,-36.974525,34.400417,-6.8709122e-38,-1.7854982e-37,0,1.9131383e-37,T23,INNER
10,-67.992691,-36.868366,32.623665,-5.3810337e-38,-2.2980777e-37,2.1687966e-38,2.37018e-37,T23,INNER
11,-67.815163,-36.881153,33.084137,-6.0626735e-38,-2.2641912e-37,1.6330556e-38,2.3496362e-37,T23,INNER
12,-67.538597,-37.010468,32.706177,-9.6276872e-38,-1.5821273e-37,3.3651689e-38,1.8823639e-37,T23,INNER
13,-71.247223,-41.121857,27.702221,1.9605827e-37,-0,-0,1.9605827e-37,T23,INNER
14,-71.248375,-41.536453,27.929348,1.9013591e-37,0,-0,1.9013591e-37,T23,INNER
15,-71.251076,-41.12949,28.173306,1.6241248e-37,-0,-0,1.6241248e-37,T23,INNER
16,-68.093056,-43.156647,31.828054,-1.4598931e-37,1.4737199e-37,-3.2895072e-38,2.1003207e-37,T23,INNER
17,-67.992081,-42.965641,32.236023,-1.557633e-37,1.4181666e-37,-3.6738209e-38,2.138314e-37,T23,INNER
18,-68.266808,-43.245583,32.170998,-6.2037764e-38,1.013028e-37,-3.0542841e-38,1.226532e-37,T23,INNER
19,-68.161812,-41.294853,23.093561,-1.2476972e-37,-1.3840943e-38,2.7997882e-38,1.2861935e-37,T23,INNER
20,-68.243721,-41.234756,22.733173,-1.5767877e-37,-2.7467412e-38,4.460094e-38,1.6615142e-37,T23,INNER
21,-68.206337,-40.929951,23.03554,-1.5934135e-37,-4.2731066e-38,4.557404e-38,1.7115082e-37,T23,INNER
22,-66.95723,-37.1371,34.005604,-1.3427401e-37,-1.8687069e-37,3.9016521e-38,2.3339335e-37,T23,INNER
23,-66.548325,-37.280098,34.859097,-1.6025496e-37,-1.7292145e-37,2.7291748e-38,2.3733588e-37,T23,INNER
24,-66.407455,-37.560986,34.48959,-1.994119e-37,-1.2389429e-37,5.0497444e-38,2.4013516e-37,T23,INNER
25,-66.771744,-37.09016,35.243504,-1.1087177e-37,-1.9586583e-37,0,2.2506882e-37,T23,INNER
26,-70.325783,-46.114334,20.652361,7.1200362e-38,2.1478782e-37,1.7559419e-38,2.2696174e-37,T23,INNER
27,-70.683655,-45.861221,20.50102,1.5959046e-37,1.602451e-37,1.5721416e-38,2.2670415e-37,T23,INNER
28,-70.387573,-46.069565,20.197861,7.1159287e-38,1.7878336e-37,3.3215616e-38,1.952701e-37,T23,INNER
29,-70.841232,-44.584381,26.109266,1.7146027e-37,1.1379029e-37,-3.9456521e-38,2.0953203e-37,T23,INNER
30,-70.598343,-44.747086,26.526161,1.7283011e-37,1.7152801e-37,-4.4336705e-38,2.4750323e-37,T23,INNER
31,-70.881599,-44.387878,26.460398,1.1177484e-37,6.2188566e-38,-2.0813674e-38,1.295926e-37,T23,INNER
32,-71.021271,-43.510353,21.070925,2.5597622e-37,-0,3.7464166e-38,2.5870329e-37,T23,INNER
33,-71.003235,-43.895302,20.718376,2.2113274e-37,-0,2.5135923e-38,2.2255675e-37,T23,INNER
34,-71.025024,-43.995705,21.20599,1.8185686e-37,0,0,1.8185686e-37,T23,INNER
35,-67.728523,-42.759041,30.485655,-2.1445236e-37,8.2138051e-38,-1.9011273e-38,2.3042982e-37,T23,INNER
