label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
1,-69.657928,-45.383583,26.145887,3.1719302e-38,2.1764448e-37,-2.2364555e-38,2.2107783e-37,T23,INNER
2,-69.328705,-45.38681,25.758587,-3.6709435e-38,2.3611094e-37,-1.222702e-38,2.3926024e-37,T23,INNER
3,-69.192703,-45.380817,26.258251,-4.2963727e-38,1.8214705e-37,-0,1.8714548e-37,T23,INNER
4,-67.29612,-39.252289,29.980015,-2.0932605e-37,-2.4210419e-38,2.9913911e-38,2.1283417e-37,T23,INNER
5,-67.375061,-39.030472,29.644772,-1.4783846e-37,-2.4872106e-38,2.944491e-38,1.5278034e-37,T23,INNER
6,-67.369034,-38.736446,29.99329,-2.1015587e-37,-5.433435e-38,3.236391e-38,2.1946556e-37,T23,INNER
7,-66.972237,-37.030758,34.823738,-9.8271839e-38,-2.0432418e-37,1.2719516e-38,2.2708481e-37,T23,INNER
8,-66.74762,-37.201523,34.431892,-1.4689157e-37,-1.8206043e-37,3.5337009e-38,2.3658368e-37,T23,INNER
9,-67.185341,-36.974525,34.400417,-6.8709066e-38,-1.7854945e-37,0,1.9131346e-37,T23,INNER
10,-67.992691,-36.868366,32.623665,-5.3810309e-38,-2.2980739e-37,2.1687906e-38,2.3701762e-37,T23,INNER
11,-67.815163,-36.881153,33.084137,-6.0626735e-38,-2.2641885e-37,1.633054e-38,2.3496336e-37,T23,INNER
12,-67.538597,-37.010468,32.706177,-9.6276794e-38,-1.5821247e-37,3.3651664e-38,1.8823613e-37,T23,INNER
13,-71.247223,-41.121857,27.702221,1.9605838e-37,-0,-0,1.9605838e-37,T23,INNER
14,-71.248375,-41.536453,27.929348,1.9013605e-37,0,-0,1.9013605e-37,T23,INNER
15,-71.251076,-41.12949,28.173306,1.6241272e-37,-0,-0,1.6241272e-37,T23,INNER
16,-68.093056,-43.156647,31.828054,-1.4598912e-37,1.4737203e-37,-3.2895184e-38,2.1003198e-37,T23,INNER
17,-67.992081,-42.965641,32.236023,-1.5576305e-37,1.4181644e-37,-3.673824e-38,2.1383107e-37,T23,INNER
18,-68.266808,-43.245583,32.170998,-6.2037574e-38,1.0130263e-37,-3.0542869e-38,1.2265297e-37,T23,INNER
19,-68.161812,-41.294853,23.093561,-1.2476959e-37,-1.3841041e-38,2.7997949e-38,1.2861924e-37,T23,INNER
20,-68.243721,-41.234756,22.733173,-1.576786e-37,-2.7467482e-38,4.4600973e-38,1.6615129e-37,T23,INNER
21,-68.206337,-40.929951,23.03554,-1.5934102e-37,-4.2731165e-38,4.5574012e-38,1.7115053e-37,T23,INNER
22,-66.95723,-37.1371,34.005604,-1.3427388e-37,-1.8687041e-37,3.901639e-38,2.3339303e-37,T23,INNER
23,-66.548325,-37.280098,34.859097,-1.6025481e-37,-1.7292116e-37,2.7291588e-38,2.3733555e-37,T23,INNER
24,-66.407455,-37.560986,34.48959,-1.9941179e-37,-1.2389416e-37,5.0497298e-38,2.4013496e-37,T23,INNER
25,-66.771744,-37.09016,35.243504,-1.1087173e-37,-1.9586558e-37,0,2.2506859e-37,T23,INNER
26,-70.325783,-46.114334,20.652361,7.1200188e-38,2.147874e-37,1.7559619e-38,2.269613e-37,T23,INNER
27,-70.683655,-45.861221,20.50102,1.5959012e-37,1.6024491e-37,1.5721605e-38,2.2670379e-37,T23,INNER
