# condition=Commensal_HOBIC, snapshot_index=100, t=5.000000e-01
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.000000,0.000000,0.000000,0.10954440,0.00034568,0.54936336,0.19940245,0.500000
0.000000,0.000000,0.071429,0.10992132,0.00036373,0.55185992,0.19918337,0.500000
0.000000,0.000000,0.142857,0.11039915,0.00036773,0.55438812,0.19913693,0.500000
0.000000,0.000000,0.214286,0.11074828,0.00038088,0.55640117,0.19904394,0.500000
0.000000,0.000000,0.285714,0.10869553,0.00032954,0.54469275,0.19955384,0.500000
0.000000,0.000000,0.357143,0.10973210,0.00035448,0.55009570,0.19947820,0.500000
0.000000,0.000000,0.428571,0.11017945,0.00036148,0.55277290,0.19932137,0.500000
0.000000,0.000000,0.500000,0.11149180,0.00041556,0.56069666,0.19884514,0.500000
0.000000,0.000000,0.571429,0.10987653,0.00035904,0.55137727,0.19927649,0.500000
0.000000,0.000000,0.642857,0.10940504,0.00034718,0.54855787,0.19944121,0.500000
0.000000,0.000000,0.714286,0.11165272,0.00040633,0.56129734,0.19891903,0.500000
0.000000,0.000000,0.785714,0.11023179,0.00036375,0.55343773,0.19917650,0.500000
0.000000,0.000000,0.857143,0.10958822,0.00034714,0.54975602,0.19933974,0.500000
0.000000,0.000000,0.928571,0.11023191,0.00036789,0.55351528,0.19914880,0.500000
0.000000,0.000000,1.000000,0.10983018,0.00035057,0.55093000,0.19935415,0.500000
0.000000,0.071429,0.000000,0.10864606,0.00032766,0.54474172,0.19944508,0.500000
0.000000,0.071429,0.071429,0.10994168,0.00035899,0.55160356,0.19931285,0.500000
0.000000,0.071429,0.142857,0.10874087,0.00033038,0.54517390,0.19946090,0.500000
0.000000,0.071429,0.214286,0.11053482,0.00037575,0.55506089,0.19914000,0.500000
0.000000,0.071429,0.285714,0.11038683,0.00036993,0.55428455,0.19915192,0.500000
0.000000,0.071429,0.357143,0.11030958,0.00036512,0.55330273,0.19936569,0.500000
0.000000,0.071429,0.428571,0.10956716,0.00034873,0.54926789,0.19947854,0.500000
0.000000,0.071429,0.500000,0.11162792,0.00040084,0.56113834,0.19893119,0.500000
0.000000,0.071429,0.571429,0.10876034,0.00033219,0.54566600,0.19931668,0.500000
0.000000,0.071429,0.642857,0.10899608,0.00033299,0.54642864,0.19946993,0.500000
0.000000,0.071429,0.714286,0.11054595,0.00037876,0.55515701,0.19912556,0.500000
0.000000,0.071429,0.785714,0.11133333,0.00039601,0.55958877,0.19895563,0.500000
