# condition=Commensal_HOBIC, snapshot_index=20, t=5.000000e-02
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.00000000e+00,0.00000000e+00,0.00000000e+00,6.94276639e-02,1.09600714e-02,4.22268593e-01,1.64415884e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-02,6.94526325e-02,1.18016341e-02,4.22504002e-01,1.64383372e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.42857143e-01,6.97016295e-02,1.36057752e-02,4.31081035e-01,1.61690318e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.14285714e-01,7.01606224e-02,1.28288860e-02,4.34403692e-01,1.61510189e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.85714286e-01,6.95523600e-02,8.18709525e-03,4.11411608e-01,1.69057845e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,3.57142857e-01,6.98723973e-02,1.04042438e-02,4.23396925e-01,1.65028117e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,4.28571429e-01,6.96076600e-02,1.29809711e-02,4.29056306e-01,1.62234325e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.00000000e-01,6.98211239e-02,1.74037492e-02,4.40327102e-01,1.58566492e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.71428571e-01,6.97202326e-02,9.96316030e-03,4.24043292e-01,1.64417723e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,6.42857143e-01,6.95047063e-02,9.42656039e-03,4.19391868e-01,1.65727358e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-01,7.03011894e-02,1.49295002e-02,4.44710932e-01,1.58082890e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.85714286e-01,6.93991439e-02,1.36913441e-02,4.29053174e-01,1.61749518e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,8.57142857e-01,6.94621996e-02,1.10652244e-02,4.21708100e-01,1.64716304e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,9.28571429e-01,6.98796520e-02,1.25549060e-02,4.29736177e-01,1.62610587e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.00000000e+00,6.95962791e-02,1.21375535e-02,4.26019202e-01,1.63364184e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,0.00000000e+00,6.93221212e-02,8.10367083e-03,4.10247171e-01,1.68976476e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,7.14285714e-02,7.01020711e-02,9.91770108e-03,4.26141607e-01,1.64504170e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,1.42857143e-01,6.93284231e-02,8.25903487e-03,4.11495283e-01,1.68479266e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.14285714e-01,7.00046675e-02,1.21062498e-02,4.32619774e-01,1.61815691e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.85714286e-01,6.94905026e-02,1.38367411e-02,4.29261356e-01,1.61883900e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,3.57142857e-01,6.97649437e-02,1.26922058e-02,4.30819498e-01,1.61935437e-01,5.00000000e-02
