# condition=Commensal_Static, snapshot_index=20, t=5.000000e-02
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.00000000e+00,0.00000000e+00,0.00000000e+00,6.96279734e-02,1.04852142e-02,4.21898254e-01,1.65034988e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-02,6.96182863e-02,1.14538059e-02,4.22201888e-01,1.64893356e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.42857143e-01,6.99071415e-02,1.30948771e-02,4.30756542e-01,1.62289216e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.14285714e-01,7.03838819e-02,1.22614474e-02,4.34054695e-01,1.62154408e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.85714286e-01,6.97213865e-02,7.89379154e-03,4.11179148e-01,1.69564500e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,3.57142857e-01,7.00441308e-02,1.00479997e-02,4.23109461e-01,1.65546123e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,4.28571429e-01,6.97933617e-02,1.25370905e-02,4.28726262e-01,1.62792364e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.00000000e-01,6.99786462e-02,1.70096832e-02,4.40034607e-01,1.59029870e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.71428571e-01,6.99206243e-02,9.47971381e-03,4.23667049e-01,1.65036730e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,6.42857143e-01,6.96832138e-02,9.03384081e-03,4.19042406e-01,1.66291556e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-01,7.05032121e-02,1.43805118e-02,4.44336982e-01,1.58670592e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.85714286e-01,6.95968566e-02,1.31966610e-02,4.28692611e-01,1.62346760e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,8.57142857e-01,6.96592738e-02,1.06144094e-02,4.21380427e-01,1.65312078e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,9.28571429e-01,7.01116411e-02,1.19593579e-02,4.29345348e-01,1.63298942e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.00000000e+00,6.98005385e-02,1.16484177e-02,4.25684184e-01,1.63972591e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,0.00000000e+00,6.95154604e-02,7.72803201e-03,4.09982597e-01,1.69557101e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,7.14285714e-02,7.03281463e-02,9.35852095e-03,4.25781085e-01,1.65174426e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,1.42857143e-01,6.95168494e-02,7.88869281e-03,4.11215448e-01,1.69052135e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.14285714e-01,7.02264617e-02,1.15254012e-02,4.32221729e-01,1.62477860e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.85714286e-01,6.96698753e-02,1.34097030e-02,4.28959121e-01,1.62416118e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,3.57142857e-01,6.99436774e-02,1.22652158e-02,4.30470113e-01,1.62482075e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,4.28571429e-01,7.01531643e-02,7.96678175e-03,4.21736209e-01,1.66343707e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,5.00000000e-01,7.08359043e-02,1.42838681e-02,4.45582567e-01,1.58973689e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,5.71428571e-01,6.94223468e-02,8.42826734e-03,4.10433533e-01,1.69143945e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,6.42857143e-01,6.94315368e-02,9.66730186e-03,4.15135192e-01,1.67250424e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,7.14285714e-01,7.00187588e-02,1.14446387e-02,4.29616854e-01,1.62979544e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,7.85714286e-01,7.01881596e-02,1.50874309e-02,4.40258043e-01,1.59425048e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,8.57142857e-01,7.00970010e-02,1.14573303e-02,4.28677103e-01,1.63519349e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,9.28571429e-01,7.00167171e-02,1.55639876e-02,4.39158081e-01,1.59433972e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,1.00000000e+00,7.00990169e-02,9.80507074e-03,4.24388671e-01,1.65176456e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,0.00000000e+00,7.05416069e-02,1.61191263e-02,4.44660914e-01,1.58641348e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.14285714e-02,7.03795561e-02,1.28828585e-02,4.35955276e-01,1.61437560e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,1.42857143e-01,6.97662218e-02,1.57890860e-02,4.34222406e-01,1.60669327e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,2.14285714e-01,7.03893217e-02,1.12873019e-02,4.33588422e-01,1.62341331e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,2.85714286e-01,7.01336801e-02,1.31084096e-02,4.34156170e-01,1.61540213e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,3.57142857e-01,6.88465674e-02,1.19956058e-02,4.10881083e-01,1.67558377e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,4.28571429e-01,6.85109217e-02,8.12670550e-03,3.98806549e-01,1.71789861e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,5.00000000e-01,6.94835549e-02,1.02771024e-02,4.17368697e-01,1.66480034e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,5.71428571e-01,6.86324897e-02,8.75157497e-03,4.04122926e-01,1.69830725e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,6.42857143e-01,6.98369456e-02,1.15709822e-02,4.24426238e-01,1.64544364e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.14285714e-01,6.99819461e-02,1.30098408e-02,4.33950330e-01,1.61267180e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.85714286e-01,6.97759428e-02,1.31777145e-02,4.30816685e-01,1.61962025e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,8.57142857e-01,6.99622078e-02,1.27173406e-02,4.30501738e-01,1.62513183e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,9.28571429e-01,6.97724775e-02,1.26298390e-02,4.28585632e-01,1.62797052e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,1.00000000e+00,7.00565792e-02,1.49385370e-02,4.38856904e-01,1.59634219e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,0.00000000e+00,7.04658202e-02,1.14392254e-02,4.36701767e-01,1.61359137e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.14285714e-02,6.99059598e-02,1.36185363e-02,4.33187267e-01,1.61375842e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,1.42857143e-01,7.00975011e-02,1.45429361e-02,4.38843868e-01,1.59732210e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,2.14285714e-01,6.90395844e-02,1.16635364e-02,4.16129627e-01,1.65908842e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,2.85714286e-01,7.10430889e-02,2.01015779e-02,4.64550903e-01,1.52928535e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,3.57142857e-01,6.93094621e-02,1.26798694e-02,4.24502589e-01,1.63272177e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,4.28571429e-01,7.04466878e-02,1.38073014e-02,4.42559260e-01,1.59180237e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,5.00000000e-01,6.95164187e-02,1.07118441e-02,4.17808009e-01,1.66383643e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,5.71428571e-01,7.04083901e-02,1.63354568e-02,4.45398755e-01,1.58079450e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,6.42857143e-01,6.98640909e-02,1.25438485e-02,4.30342008e-01,1.62345506e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.14285714e-01,6.90140851e-02,7.17184186e-03,4.02990495e-01,1.71254870e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.85714286e-01,7.03495949e-02,1.44408014e-02,4.41240840e-01,1.59435819e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,8.57142857e-01,7.01870136e-02,1.54830017e-02,4.40219062e-01,1.59436561e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,9.28571429e-01,7.00497798e-02,9.98916143e-03,4.24396953e-01,1.65057217e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,1.00000000e+00,6.92494529e-02,1.17663120e-02,4.18312579e-01,1.65544754e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,0.00000000e+00,6.95154452e-02,1.00965704e-02,4.15865368e-01,1.67158534e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,7.14285714e-02,6.97976045e-02,9.63677246e-03,4.19475774e-01,1.66392456e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,1.42857143e-01,6.96281428e-02,1.18951652e-02,4.25835312e-01,1.63509556e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,2.14285714e-01,6.95493586e-02,1.25951233e-02,4.25418300e-01,1.63484642e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,2.85714286e-01,7.03886086e-02,1.85125994e-02,4.53121986e-01,1.55341411e-01,5.00000000e-02
