# condition=Dysbiotic_HOBIC, snapshot_index=20, t=5.000000e-02
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.00000000e+00,0.00000000e+00,0.00000000e+00,6.98009143e-02,1.09001725e-02,4.21744810e-01,1.65505094e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-02,6.97425386e-02,1.20433251e-02,4.22089396e-01,1.65231677e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.42857143e-01,7.01044200e-02,1.35754472e-02,4.30597355e-01,1.62807363e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.14285714e-01,7.05989081e-02,1.26566770e-02,4.33848002e-01,1.62727287e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.85714286e-01,6.97983921e-02,8.40789619e-03,4.11023637e-01,1.69816005e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,3.57142857e-01,7.01615319e-02,1.06050883e-02,4.22964841e-01,1.65880293e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,4.28571429e-01,6.99639587e-02,1.30811789e-02,4.28598130e-01,1.63239067e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.00000000e-01,7.01428106e-02,1.77502980e-02,4.39944594e-01,1.59435555e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.71428571e-01,7.00873653e-02,9.87660531e-03,4.23489902e-01,1.65499496e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,6.42857143e-01,6.98125172e-02,9.50590303e-03,4.18899587e-01,1.66656925e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-01,7.07271469e-02,1.49148375e-02,4.44174091e-01,1.59232941e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.85714286e-01,6.97909997e-02,1.36863863e-02,4.28561121e-01,1.62849583e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,8.57142857e-01,6.98219498e-02,1.10628510e-02,4.21226754e-01,1.65758583e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,9.28571429e-01,7.03319434e-02,1.22729911e-02,4.29130840e-01,1.63893938e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.00000000e+00,6.99833679e-02,1.20935953e-02,4.25524394e-01,1.64463821e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,0.00000000e+00,6.96310868e-02,8.13226933e-03,4.09806410e-01,1.69912147e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,7.14285714e-02,7.05161324e-02,9.65518849e-03,4.25545397e-01,1.65707661e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,1.42857143e-01,6.96311959e-02,8.31548809e-03,4.11048065e-01,1.69399158e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.14285714e-01,7.04405381e-02,1.18823536e-02,4.32017926e-01,1.63050035e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.85714286e-01,6.98333437e-02,1.39979490e-02,4.28839477e-01,1.62842619e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,3.57142857e-01,7.01078053e-02,1.28258009e-02,4.30342422e-01,1.62911676e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,4.28571429e-01,7.02975670e-02,8.34886894e-03,4.21540620e-01,1.66763447e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,5.00000000e-01,7.10787364e-02,1.47684378e-02,4.45421404e-01,1.59576382e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,5.71428571e-01,6.95692238e-02,8.74486163e-03,4.10234934e-01,1.69583861e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,6.42857143e-01,6.95639378e-02,1.01325273e-02,4.14976615e-01,1.67633392e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,7.14285714e-01,7.01778360e-02,1.19805147e-02,4.29474344e-01,1.63404024e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,7.85714286e-01,7.03873114e-02,1.56954951e-02,4.40125854e-01,1.59925418e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,8.57142857e-01,7.02834955e-02,1.18974041e-02,4.28496641e-01,1.64023446e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,9.28571429e-01,7.02084215e-02,1.61990397e-02,4.39039340e-01,1.59913737e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,1.00000000e+00,7.02866605e-02,1.01240905e-02,4.24174174e-01,1.65702357e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,0.00000000e+00,7.08327145e-02,1.64716447e-02,4.44502981e-01,1.59352620e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.14285714e-02,7.05431756e-02,1.34889588e-02,4.35812141e-01,1.61866017e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,1.42857143e-01,6.99158728e-02,1.65027429e-02,4.34134781e-01,1.61046467e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,2.14285714e-01,7.05428260e-02,1.18429842e-02,4.33437443e-01,1.62752035e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,2.85714286e-01,7.03308244e-02,1.36183240e-02,4.34000471e-01,1.62052415e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,3.57142857e-01,6.90360130e-02,1.22761985e-02,4.10700679e-01,1.68093253e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,4.28571429e-01,6.86386130e-02,8.42384067e-03,3.98639202e-01,1.72182296e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,5.00000000e-01,6.96051924e-02,1.08122388e-02,4.17237496e-01,1.66823914e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,5.71428571e-01,6.87339461e-02,9.21473750e-03,4.03991088e-01,1.70137283e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,6.42857143e-01,7.00264711e-02,1.19683105e-02,4.24244057e-01,1.65061761e-01,5.00000000e-02
