# condition=Dysbiotic_Static, snapshot_index=100, t=5.000000e-01
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.000000,0.000000,0.000000,0.11877073,0.00052434,0.55241438,0.21500296,0.500000
0.000000,0.000000,0.071429,0.11921412,0.00049989,0.55472208,0.21490783,0.500000
0.000000,0.000000,0.142857,0.12001092,0.00056360,0.55756819,0.21523990,0.500000
0.000000,0.000000,0.214286,0.12052485,0.00058472,0.55964262,0.21536039,0.500000
0.000000,0.000000,0.285714,0.11751503,0.00047105,0.54755202,0.21461893,0.500000
0.000000,0.000000,0.357143,0.11894192,0.00049761,0.55297896,0.21509303,0.500000
0.000000,0.000000,0.428571,0.11962665,0.00052715,0.55577895,0.21524142,0.500000
0.000000,0.000000,0.500000,0.12140356,0.00052624,0.56354704,0.21542755,0.500000
0.000000,0.000000,0.571429,0.11920779,0.00052626,0.55435677,0.21503803,0.500000
0.000000,0.000000,0.642857,0.11850941,0.00049906,0.55144835,0.21490573,0.500000
0.000000,0.000000,0.714286,0.12175424,0.00059080,0.56443164,0.21571123,0.500000
0.000000,0.000000,0.785714,0.11974918,0.00054803,0.55652755,0.21517205,0.500000
0.000000,0.000000,0.857143,0.11883668,0.00052722,0.55282606,0.21496215,0.500000
0.000000,0.000000,0.928571,0.11981796,0.00057934,0.55677388,0.21520039,0.500000
0.000000,0.000000,1.000000,0.11921110,0.00054862,0.55411649,0.21513726,0.500000
0.000000,0.071429,0.000000,0.11750581,0.00048821,0.54771873,0.21453677,0.500000
0.000000,0.071429,0.071429,0.11934802,0.00054518,0.55472207,0.21514922,0.500000
0.000000,0.071429,0.142857,0.11761723,0.00048468,0.54810136,0.21459029,0.500000
0.000000,0.071429,0.214286,0.12019801,0.00057133,0.55821757,0.21532467,0.500000
0.000000,0.071429,0.285714,0.11991296,0.00053086,0.55727160,0.21517866,0.500000
0.000000,0.071429,0.357143,0.11979200,0.00052955,0.55629972,0.21533716,0.500000
0.000000,0.071429,0.428571,0.11877110,0.00051960,0.55227451,0.21505808,0.500000
0.000000,0.071429,0.500000,0.12179655,0.00062018,0.56448102,0.21576730,0.500000
0.000000,0.071429,0.571429,0.11769667,0.00050118,0.54869876,0.21450143,0.500000
0.000000,0.071429,0.642857,0.11798487,0.00049650,0.54941249,0.21474733,0.500000
0.000000,0.071429,0.714286,0.12010468,0.00052686,0.55807184,0.21521365,0.500000
0.000000,0.071429,0.785714,0.12127863,0.00056749,0.56267579,0.21553909,0.500000
0.000000,0.071429,0.857143,0.11996062,0.00055230,0.55751889,0.21516871,0.500000
0.000000,0.071429,0.928571,0.12110361,0.00056017,0.56195098,0.21550565,0.500000
0.000000,0.071429,1.000000,0.11937769,0.00054620,0.55513980,0.21504076,0.500000
0.000000,0.142857,0.000000,0.12195681,0.00067170,0.56594198,0.21549349,0.500000
0.000000,0.142857,0.071429,0.12091299,0.00054453,0.56133682,0.21540184,0.500000
0.000000,0.142857,0.142857,0.12043588,0.00051265,0.55933083,0.21532137,0.500000
0.000000,0.142857,0.214286,0.12045154,0.00053285,0.55922266,0.21539102,0.500000
0.000000,0.142857,0.285714,0.12056722,0.00055687,0.55987006,0.21534857,0.500000
0.000000,0.142857,0.357143,0.11744600,0.00051077,0.54756161,0.21448911,0.500000
0.000000,0.142857,0.428571,0.11605263,0.00046160,0.54208770,0.21408460,0.500000
