# condition=Dysbiotic_Static, snapshot_index=20, t=5.000000e-02
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.00000000e+00,0.00000000e+00,0.00000000e+00,7.05835605e-02,1.03943094e-02,4.22176940e-01,1.67189521e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-02,7.05447082e-02,1.10226931e-02,4.22389463e-01,1.67013419e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.42857143e-01,7.09188404e-02,1.30037717e-02,4.31024458e-01,1.64535536e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.14285714e-01,7.14161415e-02,1.22866826e-02,4.34349041e-01,1.64421087e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.85714286e-01,7.05838626e-02,7.52136032e-03,4.11347749e-01,1.71591707e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,3.57142857e-01,7.09712275e-02,9.63351290e-03,4.23292383e-01,1.67664788e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,4.28571429e-01,7.07769250e-02,1.22662775e-02,4.28960113e-01,1.64996518e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.00000000e-01,7.09924105e-02,1.64443313e-02,4.40198080e-01,1.61273785e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.71428571e-01,7.08744521e-02,9.34999269e-03,4.23929552e-01,1.67184505e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,6.42857143e-01,7.05962159e-02,8.72492175e-03,4.19261988e-01,1.68382105e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-01,7.15751917e-02,1.41539409e-02,4.44590800e-01,1.60991167e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.85714286e-01,7.05936404e-02,1.30686770e-02,4.28965916e-01,1.64567015e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,8.57142857e-01,7.06119486e-02,1.04852032e-02,4.21638345e-01,1.67470415e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,9.28571429e-01,7.11223759e-02,1.21153334e-02,4.29679593e-01,1.65524212e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.00000000e+00,7.07829514e-02,1.15688365e-02,4.25957681e-01,1.66173671e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,0.00000000e+00,7.03991227e-02,7.58774566e-03,4.10212446e-01,1.71616252e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,7.14285714e-02,7.13035068e-02,9.42661619e-03,4.26080156e-01,1.67347636e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,1.42857143e-01,7.04017173e-02,7.69109108e-03,4.11435636e-01,1.71112347e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.14285714e-01,7.12423768e-02,1.15542358e-02,4.32526893e-01,1.64712017e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.85714286e-01,7.06494964e-02,1.30860003e-02,4.29171304e-01,1.64618407e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,3.57142857e-01,7.09249959e-02,1.19114131e-02,4.30688886e-01,1.64678027e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,4.28571429e-01,7.10857847e-02,7.79515480e-03,4.21979896e-01,1.68457752e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,5.00000000e-01,7.19362628e-02,1.42152825e-02,4.45898723e-01,1.61328703e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,5.71428571e-01,7.03232541e-02,8.48180187e-03,4.10724004e-01,1.71217785e-01,5.00000000e-02
