# condition=commensal_static, snapshot_index=100, t=5.000000e-01
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.000000,0.000000,0.000000,0.11185864,0.00020229,0.54868331,0.20386740,0.500000
0.000000,0.000000,0.071429,0.11223717,0.00020989,0.55118559,0.20362864,0.500000
0.000000,0.000000,0.142857,0.11281151,0.00020122,0.55366857,0.20375279,0.500000
0.000000,0.000000,0.214286,0.11320757,0.00020019,0.55563317,0.20374517,0.500000
0.000000,0.000000,0.285714,0.11091857,0.00020725,0.54418604,0.20382472,0.500000
0.000000,0.000000,0.357143,0.11203755,0.00022054,0.54953070,0.20387860,0.500000
0.000000,0.000000,0.428571,0.11253873,0.00021413,0.55212081,0.20382989,0.500000
0.000000,0.000000,0.500000,0.11379563,0.00023546,0.55935939,0.20343921,0.500000
0.000000,0.000000,0.571429,0.11221158,0.00020312,0.55061984,0.20379138,0.500000
0.000000,0.000000,0.642857,0.11168345,0.00020772,0.54789349,0.20384153,0.500000
0.000000,0.000000,0.714286,0.11404667,0.00021280,0.55994339,0.20367535,0.500000
0.000000,0.000000,0.785714,0.11261021,0.00020249,0.55268820,0.20374998,0.500000
0.000000,0.000000,0.857143,0.11190919,0.00020018,0.54906753,0.20381681,0.500000
0.000000,0.000000,0.928571,0.11264310,0.00019472,0.55270954,0.20380161,0.500000
0.000000,0.000000,1.000000,0.11218724,0.00020094,0.55024471,0.20388608,0.500000
0.000000,0.071429,0.000000,0.11087655,0.00019527,0.54411207,0.20377521,0.500000
0.000000,0.071429,0.071429,0.11230930,0.00020218,0.55087299,0.20387512,0.500000
0.000000,0.071429,0.142857,0.11097309,0.00019876,0.54455428,0.20378701,0.500000
0.000000,0.071429,0.214286,0.11296165,0.00020084,0.55427447,0.20380093,0.500000
0.000000,0.071429,0.285714,0.11276105,0.00021055,0.55358072,0.20369395,0.500000
0.000000,0.071429,0.357143,0.11267476,0.00021753,0.55265378,0.20387948,0.500000
0.000000,0.071429,0.428571,0.11187638,0.00020680,0.54857801,0.20393887,0.500000
0.000000,0.071429,0.500000,0.11404179,0.00020804,0.55975324,0.20373582,0.500000
0.000000,0.071429,0.571429,0.11100493,0.00018892,0.54494615,0.20369890,0.500000
0.000000,0.071429,0.642857,0.11125775,0.00020177,0.54583824,0.20382916,0.500000
0.000000,0.071429,0.714286,0.11292175,0.00021374,0.55439477,0.20368473,0.500000
0.000000,0.071429,0.785714,0.11368324,0.00021487,0.55828837,0.20362817,0.500000
0.000000,0.071429,0.857143,0.11278145,0.00020202,0.55364923,0.20370560,0.500000
0.000000,0.071429,0.928571,0.11353833,0.00021576,0.55753294,0.20364417,0.500000
