# snapshot_index=20, t=5.000000e-02
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.00000000e+00,0.00000000e+00,0.00000000e+00,7.45423344e-02,7.56286899e-03,4.28776138e-01,1.73849074e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-02,7.43576797e-02,9.18418022e-03,4.29172608e-01,1.73258214e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.42857143e-01,7.47882108e-02,9.24687215e-03,4.37337153e-01,1.71008135e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.14285714e-01,7.56203591e-02,8.67885255e-03,4.41020666e-01,1.71466702e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,2.85714286e-01,7.44681313e-02,6.63282134e-03,4.18111631e-01,1.78105859e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,3.57142857e-01,7.50026371e-02,8.32105854e-03,4.30348825e-01,1.74283355e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,4.28571429e-01,7.46181992e-02,9.26035864e-03,4.35498349e-01,1.71339798e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.00000000e-01,7.47542584e-02,1.34951685e-02,4.46904665e-01,1.67271152e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,5.71428571e-01,7.50620361e-02,7.19340574e-03,4.30920073e-01,1.74190159e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,6.42857143e-01,7.46490062e-02,7.40068858e-03,4.26348530e-01,1.75089160e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.14285714e-01,7.57763724e-02,1.06909045e-02,4.51627435e-01,1.67785140e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,7.85714286e-01,7.43998510e-02,9.44457633e-03,4.35330938e-01,1.70904120e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,8.57142857e-01,7.44732736e-02,7.56673206e-03,4.28042911e-01,1.73985532e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,9.28571429e-01,7.53826516e-02,8.53751608e-03,4.36373299e-01,1.72748085e-01,5.00000000e-02
0.00000000e+00,0.00000000e+00,1.00000000e+00,7.46795743e-02,8.21759832e-03,4.32338797e-01,1.72733918e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,0.00000000e+00,7.42212727e-02,5.51649058e-03,4.16510787e-01,1.78197720e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,7.14285714e-02,7.57290227e-02,6.87032175e-03,4.33020051e-01,1.74885718e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,1.42857143e-01,7.42641137e-02,5.90184176e-03,4.17944668e-01,1.77688865e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.14285714e-01,7.55694559e-02,8.42228600e-03,4.39488664e-01,1.71948589e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,2.85714286e-01,7.43718005e-02,9.96318802e-03,4.35533893e-01,1.70760076e-01,5.00000000e-02
0.00000000e+00,7.14285714e-02,3.57142857e-01,7.48992951e-02,9.48228894e-03,4.37605268e-01,1.71157206e-01,5.00000000e-02
