# Abaqus eigenstrain field — commensal_hobic
# 3 E models: DI, phi_Pg, Virulence
node_id,depth_mm,eps_growth,DeltaT,E_di,sigma_di,E_phi_pg,sigma_phi_pg,E_virulence,sigma_virulence
1,0.00000000,0.0013841333,0.0013841333,890.0882,-1.232001,981.0797,-1.357945,967.5397,-1.339204
2,0.00689655,0.0014353748,0.0014353748,890.0882,-1.277610,981.0797,-1.408217,967.5397,-1.388782
3,0.01379310,0.0015419391,0.0015419391,890.0882,-1.372462,981.0797,-1.512765,967.5397,-1.491887
4,0.02068966,0.0017086891,0.0017086891,890.0882,-1.520884,981.0797,-1.676360,967.5397,-1.653225
5,0.02758621,0.0019432017,0.0019432017,890.0882,-1.729621,981.0797,-1.906436,967.5397,-1.880125
6,0.03448276,0.0022564711,0.0022564711,890.0882,-2.008458,981.0797,-2.213778,967.5397,-2.183225
7,0.04137931,0.0026632841,0.0026632841,890.0882,-2.370558,981.0797,-2.612894,967.5397,-2.576833
8,0.04827586,0.0031827091,0.0031827091,890.0882,-2.832892,981.0797,-3.122491,967.5397,-3.079397
9,0.05517241,0.0038387509,0.0038387509,890.0882,-3.416827,981.0797,-3.766120,967.5397,-3.714144
10,0.06206897,0.0046611604,0.0046611604,890.0882,-4.148844,981.0797,-4.572970,967.5397,-4.509858
11,0.06896552,0.0056864048,0.0056864048,890.0882,-5.061402,981.0797,-5.578816,967.5397,-5.501822
12,0.07586207,0.0069585951,0.0069585951,890.0882,-6.193763,981.0797,-6.826936,967.5397,-6.732717
13,0.08275862,0.0085305295,0.0085305295,890.0882,-7.592924,981.0797,-8.369129,967.5397,-8.253626
14,0.08965517,0.0104644430,0.0104644430,890.0882,-9.314277,981.0797,-10.266452,967.5397,-10.124764
15,0.09655172,0.0128324915,0.0128324915,890.0882,-11.422049,981.0797,-12.589697,967.5397,-12.415945
16,0.10344828,0.0157166090,0.0157166090,890.0882,-13.989168,981.0797,-15.419246,967.5397,-15.206443
17,0.11034483,0.0192072446,0.0192072446,890.0882,-17.096142,981.0797,-18.843837,967.5397,-18.583772
18,0.11724138,0.0234008100,0.0234008100,890.0882,-20.828785,981.0797,-22.958059,967.5397,-22.641213
19,0.12413793,0.0283950465,0.0283950465,890.0882,-25.274096,981.0797,-27.857803,967.5397,-27.473335
20,0.13103448,0.0342821952,0.0342821952,890.0882,-30.514177,981.0797,-33.633565,967.5397,-33.169385
21,0.13793103,0.0411397696,0.0411397696,890.0882,-36.618023,981.0797,-40.361392,967.5397,-39.804361
22,0.14482759,0.0490193733,0.0490193733,890.0882,-43.631565,981.0797,-48.091911,967.5397,-47.428190
23,0.15172414,0.0579347457,0.0579347457,890.0882,-51.567033,981.0797,-56.838601,967.5397,-56.054167
24,0.15862069,0.0678508949,0.0678508949,890.0882,-60.393280,981.0797,-66.567134,967.5397,-65.648435
25,0.16551724,0.0786769560,0.0786769560,890.0882,-70.029429,981.0797,-77.188362,967.5397,-76.123079
26,0.17241379,0.0902652106,0.0902652106,890.0882,-80.343998,981.0797,-88.557363,967.5397,-87.335176
27,0.17931035,0.1024178460,0.1024178460,890.0882,-91.160915,981.0797,-100.480067,967.5397,-99.093333
28,0.18620690,0.1149012890,0.1149012890,890.0882,-102.272280,981.0797,-112.727319,967.5397,-111.171560
29,0.19310345,0.1274658520,0.1274658520,890.0882,-113.455849,981.0797,-125.054157,967.5397,-123.328274
30,0.20000000,0.1398668710,0.1398668710,890.0882,-124.493850,981.0797,-137.220544,967.5397,-135.326752
