# Abaqus eigenstrain field — commensal_static
# 3 E models: DI, phi_Pg, Virulence
node_id,depth_mm,eps_growth,DeltaT,E_di,sigma_di,E_phi_pg,sigma_phi_pg,E_virulence,sigma_virulence
1,0.00000000,0.0013842494,0.0013842494,909.0766,-1.258389,977.0855,-1.352530,858.6170,-1.188540
2,0.00689655,0.0014353484,0.0014353484,909.0766,-1.304842,977.0855,-1.402458,858.6170,-1.232415
3,0.01379310,0.0015416587,0.0015416587,909.0766,-1.401486,977.0855,-1.506332,858.6170,-1.323694
4,0.02068966,0.0017081882,0.0017081882,909.0766,-1.552874,977.0855,-1.669046,858.6170,-1.466679
5,0.02758621,0.0019425806,0.0019425806,909.0766,-1.765955,977.0855,-1.898067,858.6170,-1.667933
6,0.03448276,0.0022557973,0.0022557973,909.0766,-2.050693,977.0855,-2.204107,858.6170,-1.936866
7,0.04137931,0.0026625904,0.0026625904,909.0766,-2.420499,977.0855,-2.601578,858.6170,-2.286145
8,0.04827586,0.0031819978,0.0031819978,909.0766,-2.892680,977.0855,-3.109084,858.6170,-2.732117
9,0.05517241,0.0038380118,0.0038380118,909.0766,-3.489047,977.0855,-3.750066,858.6170,-3.295382
10,0.06206897,0.0046603812,0.0046603812,909.0766,-4.236644,977.0855,-4.553591,858.6170,-4.001483
11,0.06896552,0.0056855800,0.0056855800,909.0766,-5.168628,977.0855,-5.555298,858.6170,-4.881736
12,0.07586207,0.0069577241,0.0069577241,909.0766,-6.325104,977.0855,-6.798291,858.6170,-5.974020
13,0.08275862,0.0085296224,0.0085296224,909.0766,-7.754080,977.0855,-8.334170,858.6170,-7.323679
14,0.08965517,0.0104635202,0.0104635202,909.0766,-9.512142,977.0855,-10.223753,858.6170,-8.984156
15,0.09655172,0.0128315871,0.0128315871,909.0766,-11.664896,977.0855,-12.537557,858.6170,-11.017419
16,0.10344828,0.0157157763,0.0157157763,909.0766,-14.286845,977.0855,-15.355657,858.6170,-13.493833
17,0.11034483,0.0192065570,0.0192065570,909.0766,-17.460232,977.0855,-18.766448,858.6170,-16.491077
18,0.11724138,0.0234003678,0.0234003678,909.0766,-21.272727,977.0855,-22.864159,858.6170,-20.091954
19,0.12413793,0.0283949778,0.0283949778,909.0766,-25.813211,977.0855,-27.744320,858.6170,-24.380411
20,0.13103448,0.0342826570,0.0342826570,909.0766,-31.165562,977.0855,-33.497086,858.6170,-29.435673
21,0.13793103,0.0411409444,0.0411409444,909.0766,-37.400271,977.0855,-40.198219,858.6170,-35.324315
22,0.14482759,0.0490214612,0.0490214612,909.0766,-44.564265,977.0855,-47.898157,858.6170,-42.090661
23,0.15172414,0.0579379495,0.0579379495,909.0766,-52.670036,977.0855,-56.610328,858.6170,-49.746509
24,0.15862069,0.0678553981,0.0678553981,909.0766,-61.685756,977.0855,-66.300523,858.6170,-58.261799
25,0.16551724,0.0786828969,0.0786828969,909.0766,-71.528782,977.0855,-76.879915,858.6170,-67.558474
26,0.17241379,0.0902726589,0.0902726589,909.0766,-82.064764,977.0855,-88.204102,858.6170,-77.509641
27,0.17931035,0.1024267920,0.1024267920,909.0766,-93.113802,977.0855,-100.079729,858.6170,-87.945386
28,0.18620690,0.1149116690,0.1149116690,909.0766,-104.463512,977.0855,-112.278521,858.6170,-98.665114
29,0.19310345,0.1274776360,0.1274776360,909.0766,-115.886939,977.0855,-124.556545,858.6170,-109.454467
30,0.20000000,0.1398801880,0.1398801880,909.0766,-127.161809,977.0855,-136.674898,858.6170,-120.103509
