# Abaqus eigenstrain field — dysbiotic_hobic
# 3 E models: DI, phi_Pg, Virulence
node_id,depth_mm,eps_growth,DeltaT,E_di,sigma_di,E_phi_pg,sigma_phi_pg,E_virulence,sigma_virulence
1,0.00000000,0.0013841257,0.0013841257,705.0982,-0.975945,981.2116,-1.358120,966.0072,-1.337075
2,0.00689655,0.0014352235,0.0014352235,705.0982,-1.011974,981.2116,-1.408258,966.0072,-1.386436
3,0.01379310,0.0015414566,0.0015414566,705.0982,-1.086878,981.2116,-1.512495,966.0072,-1.489058
4,0.02068966,0.0017078701,0.0017078701,705.0982,-1.204216,981.2116,-1.675782,966.0072,-1.649815
5,0.02758621,0.0019421592,0.0019421592,705.0982,-1.369413,981.2116,-1.905669,966.0072,-1.876140
6,0.03448276,0.0022552960,0.0022552960,705.0982,-1.590205,981.2116,-2.212923,966.0072,-2.178632
7,0.04137931,0.0026620071,0.0026620071,705.0982,-1.876976,981.2116,-2.611992,966.0072,-2.571518
8,0.04827586,0.0031813218,0.0031813218,705.0982,-2.243144,981.2116,-3.121550,966.0072,-3.073180
9,0.05517241,0.0038372236,0.0038372236,705.0982,-2.705619,981.2116,-3.765128,966.0072,-3.706786
10,0.06206897,0.0046594546,0.0046594546,705.0982,-3.285373,981.2116,-4.571911,966.0072,-4.501067
11,0.06896552,0.0056844855,0.0056844855,705.0982,-4.008120,981.2116,-5.577683,966.0072,-5.491254
12,0.07586207,0.0069564301,0.0069564301,705.0982,-4.904966,981.2116,-6.825730,966.0072,-6.719961
13,0.08275862,0.0085280981,0.0085280981,705.0982,-6.013147,981.2116,-8.367869,966.0072,-8.238204
14,0.08965517,0.0104617391,0.0104617391,705.0982,-7.376553,981.2116,-10.265180,966.0072,-10.106115
15,0.09655172,0.0128295321,0.0128295321,705.0982,-9.046080,981.2116,-12.588486,966.0072,-12.393420
16,0.10344828,0.0157134503,0.0157134503,705.0982,-11.079525,981.2116,-15.418220,966.0072,-15.179306
17,0.11034483,0.0192039950,0.0192039950,705.0982,-13.540702,981.2116,-18.843183,966.0072,-18.551197
18,0.11724138,0.0233976580,0.0233976580,705.0982,-16.497646,981.2116,-22.958054,966.0072,-22.602306
19,0.12413793,0.0283922887,0.0283922887,705.0982,-20.019351,981.2116,-27.858844,966.0072,-27.427155
20,0.13103448,0.0342802734,0.0342802734,705.0982,-24.170959,981.2116,-33.636203,966.0072,-33.114990
21,0.13793103,0.0411393137,0.0411393137,705.0982,-29.007256,981.2116,-40.366373,966.0072,-39.740873
22,0.14482759,0.0490212462,0.0490212462,705.0982,-34.564792,981.2116,-48.100217,966.0072,-47.354876
23,0.15172414,0.0579400894,0.0579400894,705.0982,-40.853452,981.2116,-56.851490,966.0072,-55.970543
24,0.15862069,0.0678611671,0.0678611671,705.0982,-47.848786,981.2116,-66.586167,966.0072,-65.554375
25,0.16551724,0.0786939583,0.0786939583,705.0982,-55.486968,981.2116,-77.215428,966.0072,-76.018929
26,0.17241379,0.0902911054,0.0902911054,705.0982,-63.664095,981.2116,-88.594684,966.0072,-87.221856
27,0.17931035,0.1024551660,0.1024551660,705.0982,-72.240952,981.2116,-100.530201,966.0072,-98.972426
28,0.18620690,0.1149529430,0.1149529430,705.0982,-81.053112,981.2116,-112.793166,966.0072,-111.045369
29,0.19310345,0.1275350890,0.1275350890,705.0982,-89.924761,981.2116,-125.138914,966.0072,-123.199812
30,0.20000000,0.1399569550,0.1399569550,705.0982,-98.683396,981.2116,-137.327393,966.0072,-135.199424
