# Abaqus eigenstrain field — dysbiotic_static
# 3 E models: DI, phi_Pg, Virulence
node_id,depth_mm,eps_growth,DeltaT,E_di,sigma_di,E_phi_pg,sigma_phi_pg,E_virulence,sigma_virulence
1,0.00000000,0.0013835912,0.0013835912,32.3423,-0.044748,999.9960,-1.383586,999.9944,-1.383584
2,0.00689655,0.0014347770,0.0014347770,32.3423,-0.046404,999.9960,-1.434771,999.9944,-1.434769
3,0.01379310,0.0015412722,0.0015412722,32.3423,-0.049848,999.9960,-1.541266,999.9944,-1.541264
4,0.02068966,0.0017079411,0.0017079411,32.3423,-0.055239,999.9960,-1.707934,999.9944,-1.707932
5,0.02758621,0.0019423690,0.0019423690,32.3423,-0.062821,999.9960,-1.942361,999.9944,-1.942358
6,0.03448276,0.0022555485,0.0022555485,32.3423,-0.072950,999.9960,-2.255539,999.9944,-2.255536
7,0.04137931,0.0026622610,0.0026622610,32.3423,-0.086104,999.9960,-2.662250,999.9944,-2.662246
8,0.04827586,0.0031815709,0.0031815709,32.3423,-0.102899,999.9960,-3.181558,999.9944,-3.181553
9,0.05517241,0.0038374820,0.0038374820,32.3423,-0.124113,999.9960,-3.837466,999.9944,-3.837461
10,0.06206897,0.0046597501,0.0046597501,32.3423,-0.150707,999.9960,-4.659731,999.9944,-4.659724
11,0.06896552,0.0056848462,0.0056848462,32.3423,-0.183861,999.9960,-5.684823,999.9944,-5.684814
12,0.07586207,0.0069568936,0.0069568936,32.3423,-0.225002,999.9960,-6.956865,999.9944,-6.956855
13,0.08275862,0.0085287036,0.0085287036,32.3423,-0.275837,999.9960,-8.528669,999.9944,-8.528656
14,0.08965517,0.0104625316,0.0104625316,32.3423,-0.338382,999.9960,-10.462489,999.9944,-10.462473
15,0.09655172,0.0128305611,0.0128305611,32.3423,-0.414969,999.9960,-12.830509,999.9944,-12.830489
16,0.10344828,0.0157147621,0.0157147621,32.3423,-0.508251,999.9960,-15.714698,999.9944,-15.714674
17,0.11034483,0.0192056297,0.0192056297,32.3423,-0.621153,999.9960,-19.205552,999.9944,-19.205522
18,0.11724138,0.0233996332,0.0233996332,32.3423,-0.756797,999.9960,-23.399538,999.9944,-23.399503
19,0.12413793,0.0283945817,0.0283945817,32.3423,-0.918345,999.9960,-28.394467,999.9944,-28.394423
20,0.13103448,0.0342827910,0.0342827910,32.3423,-1.108783,999.9960,-34.282652,999.9944,-34.282600
21,0.13793103,0.0411418517,0.0411418517,32.3423,-1.330620,999.9960,-41.141685,999.9944,-41.141622
22,0.14482759,0.0490234363,0.0490234363,32.3423,-1.585528,999.9960,-49.023238,999.9944,-49.023163
23,0.15172414,0.0579413340,0.0579413340,32.3423,-1.873953,999.9960,-57.941099,999.9944,-57.941011
24,0.15862069,0.0678605681,0.0678605681,32.3423,-2.194764,999.9960,-67.860293,999.9944,-67.860189
25,0.16551724,0.0786902434,0.0786902434,32.3423,-2.545020,999.9960,-78.689925,999.9944,-78.689804
26,0.17241379,0.0902825601,0.0902825601,32.3423,-2.919941,999.9960,-90.282195,999.9944,-90.282056
27,0.17931035,0.1024395800,0.1024395800,32.3423,-3.313127,999.9960,-102.439165,999.9944,-102.439008
28,0.18620690,0.1149275860,0.1149275860,32.3423,-3.717017,999.9960,-114.927121,999.9944,-114.926944
29,0.19310345,0.1274967790,0.1274967790,32.3423,-4.123533,999.9960,-127.496263,999.9944,-127.496067
30,0.20000000,0.1399024560,0.1399024560,32.3423,-4.524761,999.9960,-139.901890,999.9944,-139.901675
