x_norm,x_mm,c_final,phi_total_final,alpha_x,eps_growth_x
0.000000000000000000e+00,0.000000000000000000e+00,2.993311992674573419e-03,8.964863766147087576e-01,1.145563211011265022e-02,3.818544036704216594e-03
3.448275862068965469e-02,6.896551724137930939e-03,3.152266732232273435e-03,8.942346881827902827e-01,1.143727671107642140e-02,3.812425570358806987e-03
6.896551724137930939e-02,1.379310344827586188e-02,3.478225766266820982e-03,8.939410799274860597e-01,1.143396210881567412e-02,3.811320702938558042e-03
1.034482758620689641e-01,2.068965517241379282e-02,3.988443598604307118e-03,8.949862291282003612e-01,1.144003066590872086e-02,3.813343555302906810e-03
1.379310344827586188e-01,2.758620689655172376e-02,4.710234759286837172e-03,8.965085704539025313e-01,1.145074247100708389e-02,3.816914157002361443e-03
1.724137931034482873e-01,3.448275862068966163e-02,5.682307965843493014e-03,8.977146867025525001e-01,1.146081677178830034e-02,3.820272257262766636e-03
2.068965517241379282e-01,4.137931034482758563e-02,6.956620577714804979e-03,8.984547551355477335e-01,1.146802344352088054e-02,3.822674481173626848e-03
2.413793103448275690e-01,4.827586206896551657e-02,8.600984891804788757e-03,8.988707520666044948e-01,1.147257667170202208e-02,3.824192223900674172e-03
2.758620689655172376e-01,5.517241379310344751e-02,1.070252527391880003e-02,8.991017089192682166e-01,1.147531905992573743e-02,3.825106353308579000e-03
3.103448275862069061e-01,6.206896551724138539e-02,1.337207894090447317e-02,8.992317287126575520e-01,1.147695077388180378e-02,3.825650257960601115e-03
3.448275862068965747e-01,6.896551724137932327e-02,1.674969799563628611e-02,8.993060214056552981e-01,1.147791778566834182e-02,3.825972595222780753e-03
3.793103448275861878e-01,7.586206896551724033e-02,2.101145345807559767e-02,8.993492723775992070e-01,1.147849925813404330e-02,3.826166419378014289e-03
4.137931034482758563e-01,8.275862068965517127e-02,2.637776656042687545e-02,8.993748004736185075e-01,1.147885782872327953e-02,3.826285942907759700e-03
4.482758620689655249e-01,8.965517241379311608e-02,3.312349845559588168e-02,8.993901242509265703e-01,1.147907934749910555e-02,3.826359782499701850e-03
4.827586206896551380e-01,9.655172413793103314e-02,4.159001444649144258e-02,8.993998655983372892e-01,1.147924129519953956e-02,3.826413765066513043e-03
5.172413793103448620e-01,1.034482758620689780e-01,5.219938590667255046e-02,8.994063397019280703e-01,1.147935474815194729e-02,3.826451582717315617e-03
5.517241379310344751e-01,1.103448275862068950e-01,6.547078103879884481e-02,8.994112825283047119e-01,1.147945135955436707e-02,3.826483786518122213e-03
5.862068965517240882e-01,1.172413793103448260e-01,8.203891019044511068e-02,8.994156448956409644e-01,1.147954814339397639e-02,3.826516047797991985e-03
6.206896551724138122e-01,1.241379310344827708e-01,1.026740978022106648e-01,8.994198265961191874e-01,1.147962389692652740e-02,3.826541298975508990e-03
6.551724137931034253e-01,1.310344827586207017e-01,1.283031482207032947e-01,8.994244279199233860e-01,1.147970765389881229e-02,3.826569217966270618e-03
6.896551724137931494e-01,1.379310344827586465e-01,1.600296642651369838e-01,8.994289820063613439e-01,1.147974948560996807e-02,3.826583161869989355e-03
7.241379310344827624e-01,1.448275862068965636e-01,1.991518961417297062e-01,8.994339861031401817e-01,1.147978092896398579e-02,3.826593642987995408e-03
7.586206896551723755e-01,1.517241379310344807e-01,2.471756972599581659e-01,8.994399476971099983e-01,1.147981686359650887e-02,3.826605621198836144e-03
7.931034482758620996e-01,1.586206896551724255e-01,3.058198427120237262e-01,8.994471589595857131e-01,1.147985998369568245e-02,3.826619994565227337e-03
8.275862068965517127e-01,1.655172413793103425e-01,3.770110827234925965e-01,8.994558881862467770e-01,1.147991221082722731e-02,3.826637403609075769e-03
8.620689655172413257e-01,1.724137931034482873e-01,4.628670160460156002e-01,8.994664179902555068e-01,1.147997551030778551e-02,3.826658503435928504e-03
8.965517241379310498e-01,1.793103448275862322e-01,5.656662128830065583e-01,8.994790482929750919e-01,1.148005196559234373e-02,3.826683988530781098e-03
9.310344827586206629e-01,1.862068965517241492e-01,6.878068215529333784e-01,8.994940946114773350e-01,1.148014379963654616e-02,3.826714599878848575e-03
9.655172413793102759e-01,1.931034482758620663e-01,8.317567549981245145e-01,8.995118755975228808e-01,1.148025336086865716e-02,3.826751120289552388e-03
1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+00,8.995324646892792764e-01,1.148038195143669463e-02,3.826793983812231542e-03
