x,y,z,phi_pg,di
0.00000000e+00,0.00000000e+00,0.00000000e+00,1.89821270e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,7.14285714e-02,1.85051955e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,1.42857143e-01,2.12241282e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,2.14285714e-01,3.70153589e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,2.85714286e-01,2.09637587e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,3.57142857e-01,2.02547020e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,4.28571429e-01,1.89724602e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,5.00000000e-01,1.96540456e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,5.71428571e-01,2.08121858e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,6.42857143e-01,1.97111822e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,7.14285714e-01,2.82288835e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,7.85714286e-01,1.84821922e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,8.57142857e-01,1.83790280e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,9.28571429e-01,2.16746642e-01,5.33050578e-01
0.00000000e+00,0.00000000e+00,1.00000000e+00,1.89333135e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,0.00000000e+00,1.76654677e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,7.14285714e-02,3.00702256e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,1.42857143e-01,1.77640376e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,2.14285714e-01,2.24842978e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,2.85714286e-01,1.81621330e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,3.57142857e-01,2.01969975e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,4.28571429e-01,2.20075206e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,5.00000000e-01,4.78962870e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,5.71428571e-01,1.75331853e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,6.42857143e-01,1.70209952e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,7.14285714e-01,2.08131853e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,7.85714286e-01,2.57096222e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,8.57142857e-01,2.50718913e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,9.28571429e-01,2.11117729e-01,5.33050578e-01
0.00000000e+00,7.14285714e-02,1.00000000e+00,2.13947330e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,0.00000000e+00,4.25905960e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,7.14285714e-02,3.10356478e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,1.42857143e-01,1.88482716e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,2.14285714e-01,2.63270727e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,2.85714286e-01,2.50005375e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,3.57142857e-01,1.59453037e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,4.28571429e-01,1.57044876e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,5.00000000e-01,1.75483555e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,5.71428571e-01,1.50397066e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,6.42857143e-01,2.27038419e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,7.14285714e-01,2.06551538e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,7.85714286e-01,1.90815098e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,8.57142857e-01,2.01555944e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,9.28571429e-01,1.87512398e-01,5.33050578e-01
0.00000000e+00,1.42857143e-01,1.00000000e+00,2.06706204e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,0.00000000e+00,2.66956339e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,7.14285714e-02,1.96006372e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,1.42857143e-01,2.09990062e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,2.14285714e-01,1.60539901e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,2.85714286e-01,4.74945807e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,3.57142857e-01,1.73959958e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,4.28571429e-01,2.55115973e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,5.00000000e-01,1.81070441e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,5.71428571e-01,2.87073938e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,6.42857143e-01,2.01864376e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,7.14285714e-01,1.60908194e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,7.85714286e-01,2.48002057e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,8.57142857e-01,3.19465285e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,9.28571429e-01,2.04107635e-01,5.33050578e-01
0.00000000e+00,2.14285714e-01,1.00000000e+00,1.72602253e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,0.00000000e+00,1.83360920e-01,5.33050578e-01
0.00000000e+00,2.85714286e-01,7.14285714e-02,2.02350341e-01,5.33050578e-01
