# Two-scale coupling HYBRID: 0D DI × 1D spatial alpha_monod
# condition: commensal_hobic
# DI_0D: 0.056857  (0D Hamilton ODE, condition-specific)
# E_Pa: 890.09  [= E(DI_0D), constant across depth]
# alpha_monod(x): from 1D Hamilton + nutrient PDE  [spatial structure]
# eps_growth = alpha_monod / 3  [isotropic eigenstrain]
depth_mm,depth_norm,phi_So,phi_An,phi_Vd,phi_Fn,phi_Pg,phi_total,c,DI,alpha,alpha_monod,eps_growth,E_Pa
0.00000000e+00,0.00000000e+00,1.66668782e-01,1.66669167e-01,1.66671318e-01,1.66666526e-01,1.66662104e-01,8.33337897e-01,3.86888180e-03,5.68565202e-02,8.37589190e-01,4.15240006e-03,1.38413335e-03,8.90088189e+02
6.89655172e-03,3.44827586e-02,1.66668960e-01,1.66669377e-01,1.66671681e-01,1.66666514e-01,1.66661838e-01,8.33338370e-01,4.05982474e-03,5.68565202e-02,8.37031522e-01,4.30612431e-03,1.43537477e-03,8.90088189e+02
1.37931034e-02,6.89655172e-02,1.66669211e-01,1.66669673e-01,1.66672213e-01,1.66666495e-01,1.66661367e-01,8.33338959e-01,4.45109634e-03,5.68565202e-02,8.37063780e-01,4.62581727e-03,1.54193909e-03,8.90088189e+02
2.06896552e-02,1.03448276e-01,1.66669572e-01,1.66670100e-01,1.66672991e-01,1.66666469e-01,1.66660639e-01,8.33339771e-01,5.06191817e-03,5.68565202e-02,8.37411391e-01,5.12606717e-03,1.70868906e-03,8.90088189e+02
2.75862069e-02,1.37931034e-01,1.66670070e-01,1.66670689e-01,1.66674072e-01,1.66666434e-01,1.66659615e-01,8.33340880e-01,5.92226750e-03,5.68565202e-02,8.37720801e-01,5.82960526e-03,1.94320175e-03,8.90088189e+02
3.44827586e-02,1.72413793e-01,1.66670734e-01,1.66671473e-01,1.66675515e-01,1.66666387e-01,1.66658243e-01,8.33342353e-01,7.07430599e-03,5.68565202e-02,8.37911267e-01,6.76941314e-03,2.25647105e-03,8.90088189e+02
4.13793103e-02,2.06896552e-01,1.66671596e-01,1.66672493e-01,1.66677392e-01,1.66666327e-01,1.66656458e-01,8.33344265e-01,8.57437697e-03,5.68565202e-02,8.38014595e-01,7.98985225e-03,2.66328408e-03,8.90088189e+02
4.82758621e-02,2.41379310e-01,1.66672700e-01,1.66673798e-01,1.66679795e-01,1.66666250e-01,1.66654171e-01,8.33346713e-01,1.04956526e-02,5.68565202e-02,8.38069099e-01,9.54812742e-03,3.18270914e-03,8.90088189e+02
5.51724138e-02,2.75862069e-01,1.66674098e-01,1.66675451e-01,1.66682841e-01,1.66666153e-01,1.66651272e-01,8.33349815e-01,1.29315340e-02,5.68565202e-02,8.38098850e-01,1.15162527e-02,3.83875091e-03,8.90088189e+02
6.20689655e-02,3.10344828e-01,1.66675858e-01,1.66677533e-01,1.66686677e-01,1.66666031e-01,1.66647621e-01,8.33353720e-01,1.59999311e-02,5.68565202e-02,8.38116635e-01,1.39834813e-02,4.66116044e-03,8.90088189e+02
6.89655172e-02,3.44827586e-01,1.66678064e-01,1.66680143e-01,1.66691488e-01,1.66665878e-01,1.66643041e-01,8.33358614e-01,1.98485676e-02,5.68565202e-02,8.38129222e-01,1.70592143e-02,5.68640477e-03,8.90088189e+02
7.58620690e-02,3.79310345e-01,1.66680822e-01,1.66683406e-01,1.66697502e-01,1.66665685e-01,1.66637315e-01,8.33364730e-01,2.46614757e-02,5.68565202e-02,8.38139766e-01,2.08757852e-02,6.95859507e-03,8.90088189e+02
8.27586207e-02,4.13793103e-01,1.66684262e-01,1.66687474e-01,1.66705004e-01,1.66665445e-01,1.66630171e-01,8.33372354e-01,3.06668547e-02,5.68565202e-02,8.38150272e-01,2.55915886e-02,8.53052953e-03,8.90088189e+02
8.96551724e-02,4.48275862e-01,1.66688542e-01,1.66692536e-01,1.66714343e-01,1.66665144e-01,1.66621274e-01,8.33381839e-01,3.81464596e-02,5.68565202e-02,8.38161698e-01,3.13933289e-02,1.04644430e-02,8.90088189e+02
9.65517241e-02,4.82758621e-01,1.66693859e-01,1.66698824e-01,1.66725949e-01,1.66664768e-01,1.66610214e-01,8.33393615e-01,4.74466607e-02,5.68565202e-02,8.38174693e-01,3.84974745e-02,1.28324915e-02,8.90088189e+02
1.03448276e-01,5.17241379e-01,1.66700452e-01,1.66706621e-01,1.66740347e-01,1.66664299e-01,1.66596489e-01,8.33408208e-01,5.89912497e-02,5.68565202e-02,8.38190145e-01,4.71498270e-02,1.57166090e-02,8.90088189e+02
1.10344828e-01,5.51724138e-01,1.66708612e-01,1.66716268e-01,1.66758174e-01,1.66663714e-01,1.66579487e-01,8.33426254e-01,7.32959526e-02,5.68565202e-02,8.38208444e-01,5.76217339e-02,1.92072446e-02,8.90088189e+02
1.17241379e-01,5.86206897e-01,1.66718686e-01,1.66728177e-01,1.66780201e-01,1.66662983e-01,1.66558470e-01,8.33448517e-01,9.09844321e-02,5.68565202e-02,8.38230513e-01,7.02024299e-02,2.34008100e-02,8.90088189e+02
1.24137931e-01,6.20689655e-01,1.66731093e-01,1.66742840e-01,1.66807346e-01,1.66662071e-01,1.66532554e-01,8.33475905e-01,1.12805302e-01,5.68565202e-02,8.38257066e-01,8.51851394e-02,2.83950465e-02,8.90088189e+02
1.31034483e-01,6.55172414e-01,1.66746326e-01,1.66760838e-01,1.66840705e-01,1.66660935e-01,1.66500688e-01,8.33509492e-01,1.39649336e-01,5.68565202e-02,8.38288887e-01,1.02846586e-01,3.42821952e-02,8.90088189e+02
1.37931034e-01,6.89655172e-01,1.66764962e-01,1.66782851e-01,1.66881561e-01,1.66659519e-01,1.66461635e-01,8.33550529e-01,1.72565656e-01,5.68565202e-02,8.38326963e-01,1.23419309e-01,4.11397696e-02,8.90088189e+02
1.44827586e-01,7.24137931e-01,1.66787670e-01,1.66809663e-01,1.66931406e-01,1.66657756e-01,1.66413961e-01,8.33600456e-01,2.12775259e-01,5.68565202e-02,8.38372583e-01,1.47058120e-01,4.90193733e-02,8.90088189e+02
1.51724138e-01,7.58620690e-01,1.66815211e-01,1.66842164e-01,1.66991945e-01,1.66655562e-01,1.66356022e-01,8.33660904e-01,2.61679927e-01,5.68565202e-02,8.38427540e-01,1.73804237e-01,5.79347457e-02,8.90088189e+02
