# Two-scale coupling: micro Hamilton 1D → macro Abaqus eigenstrain
# condition: commensal_static
# L_biofilm: 0.2 mm  (x=0: tooth, x=1: saliva)
# k_alpha: 0.05  (growth-eigenstrain coupling)
# t_end_Tstar: 20.0000
# alpha: simple integral k_alpha*int(phi_total dt)
# alpha_monod: nutrient-limited k_alpha*int(phi_total*c/(k+c) dt) [KEY]
depth_mm,depth_norm,phi_So,phi_An,phi_Vd,phi_Fn,phi_Pg,phi_total,c,DI,alpha,alpha_monod,eps_growth,E_Pa,E_phi_pg,E_virulence
0.00000000e+00,0.00000000e+00,1.66667661e-01,1.66669014e-01,1.66667942e-01,1.66670921e-01,1.66662233e-01,8.33337771e-01,3.86896597e-03,9.38215061e-11,8.37882354e-01,4.15274815e-03,1.38424938e-03,9.99999993e+02,8.36715541e+02,7.88267713e+02
6.89655172e-03,3.44827586e-02,1.66667745e-01,1.66669211e-01,1.66668042e-01,1.66671210e-01,1.66661975e-01,8.33338183e-01,4.05991302e-03,1.06194942e-10,8.37225771e-01,4.30604522e-03,1.43534841e-03,9.99999992e+02,8.36716384e+02,7.88268239e+02
1.37931034e-02,6.89655172e-02,1.66667863e-01,1.66669489e-01,1.66668188e-01,1.66671667e-01,1.66661518e-01,8.33338726e-01,4.45119302e-03,1.28427269e-10,8.37089752e-01,4.62497600e-03,1.54165867e-03,9.99999990e+02,8.36717882e+02,7.88269224e+02
2.06896552e-02,1.03448276e-01,1.66668034e-01,1.66669890e-01,1.66668402e-01,1.66672356e-01,1.66660811e-01,8.33339493e-01,5.06202794e-03,1.66294756e-10,8.37348243e-01,5.12456459e-03,1.70818820e-03,9.99999987e+02,8.36720195e+02,7.88270761e+02
2.75862069e-02,1.37931034e-01,1.66668269e-01,1.66670444e-01,1.66668699e-01,1.66673322e-01,1.66659816e-01,8.33340549e-01,5.92239566e-03,2.27645680e-10,8.37672594e-01,5.82774176e-03,1.94258059e-03,9.99999982e+02,8.36723451e+02,7.88272928e+02
3.44827586e-02,1.72413793e-01,1.66668582e-01,1.66671180e-01,1.66669095e-01,1.66674614e-01,1.66658484e-01,8.33341956e-01,7.07445870e-03,3.24777205e-10,8.37912830e-01,6.76739199e-03,2.25579733e-03,9.99999975e+02,8.36727811e+02,7.88275830e+02
4.13793103e-02,2.06896552e-01,1.66668988e-01,1.66672138e-01,1.66669611e-01,1.66676298e-01,1.66656749e-01,8.33343784e-01,8.57456152e-03,4.77030193e-10,8.38060845e-01,7.98777118e-03,2.66259039e-03,9.99999963e+02,8.36733487e+02,7.88279608e+02
4.82758621e-02,2.41379310e-01,1.66669508e-01,1.66673363e-01,1.66670271e-01,1.66678455e-01,1.66654528e-01,8.33346124e-01,1.04958777e-02,7.14637571e-10,8.38145902e-01,9.54599343e-03,3.18199781e-03,9.99999945e+02,8.36740756e+02,7.88284446e+02
5.51724138e-02,2.75862069e-01,1.66670166e-01,1.66674916e-01,1.66671107e-01,1.66681190e-01,1.66651712e-01,8.33349090e-01,1.29318103e-02,1.08466180e-09,8.38194335e-01,1.15140353e-02,3.83801178e-03,9.99999916e+02,8.36749971e+02,7.88290578e+02
6.20689655e-02,3.10344828e-01,1.66670994e-01,1.66676870e-01,1.66672160e-01,1.66684635e-01,1.66648164e-01,8.33352824e-01,1.60002714e-02,1.66017433e-09,8.38222964e-01,1.39811437e-02,4.66038124e-03,9.99999872e+02,8.36761578e+02,7.88298302e+02
6.89655172e-02,3.44827586e-01,1.66672033e-01,1.66679321e-01,1.66673481e-01,1.66688955e-01,1.66643716e-01,8.33357505e-01,1.98489872e-02,2.55440558e-09,8.38241668e-01,1.70567399e-02,5.68557995e-03,9.99999803e+02,8.36776134e+02,7.88307989e+02
7.58620690e-02,3.79310345e-01,1.66673330e-01,1.66682383e-01,1.66675131e-01,1.66694358e-01,1.66638153e-01,8.33363355e-01,2.46619935e-02,3.94248356e-09,8.38255543e-01,2.08731723e-02,6.95772410e-03,9.99999696e+02,8.36794334e+02,7.88320101e+02
8.27586207e-02,4.13793103e-01,1.66674948e-01,1.66686202e-01,1.66677188e-01,1.66701098e-01,1.66631213e-01,8.33370649e-01,3.06674931e-02,6.09469764e-09,8.38267766e-01,2.55888671e-02,8.52962237e-03,9.99999530e+02,8.36817039e+02,7.88335211e+02
8.96551724e-02,4.48275862e-01,1.66676960e-01,1.66690954e-01,1.66679749e-01,1.66709490e-01,1.66622571e-01,8.33379725e-01,3.81472453e-02,9.42716150e-09,8.38279936e-01,3.13905605e-02,1.04635202e-02,9.99999272e+02,8.36845310e+02,7.88354028e+02
9.65517241e-02,4.82758621e-01,1.66679458e-01,1.66696857e-01,1.66682930e-01,1.66719923e-01,1.66611828e-01,8.33390996e-01,4.74476253e-02,1.45785474e-08,8.38293062e-01,3.84947612e-02,1.28315871e-02,9.99998875e+02,8.36880452e+02,7.88377419e+02
1.03448276e-01,5.17241379e-01,1.66682555e-01,1.66704177e-01,1.66686873e-01,1.66732868e-01,1.66598496e-01,8.33404969e-01,5.89924297e-02,2.25255095e-08,8.38308232e-01,4.71473288e-02,1.57157763e-02,9.99998261e+02,8.36924057e+02,7.88406447e+02
1.10344828e-01,5.51724138e-01,1.66686384e-01,1.66713233e-01,1.66691752e-01,1.66748903e-01,1.66581982e-01,8.33422254e-01,7.32973894e-02,3.47548764e-08,8.38325918e-01,5.76196711e-02,1.92065570e-02,9.99997317e+02,8.36978063e+02,7.88442402e+02
1.17241379e-01,5.86206897e-01,1.66691109e-01,1.66724414e-01,1.66697774e-01,1.66768721e-01,1.66561568e-01,8.33443585e-01,9.09861713e-02,5.35179737e-08,8.38347091e-01,7.02011033e-02,2.34003678e-02,9.99995869e+02,8.37044805e+02,7.88486844e+02
1.24137931e-01,6.20689655e-01,1.66696921e-01,1.66738180e-01,1.66705187e-01,1.66793156e-01,1.66536398e-01,8.33469842e-01,1.12807391e-01,8.22017516e-08,8.38372459e-01,8.51849333e-02,2.83949778e-02,9.99993654e+02,8.37127084e+02,7.88541640e+02
1.31034483e-01,6.55172414e-01,1.66704049e-01,1.66755078e-01,1.66714283e-01,1.66823198e-01,1.66505449e-01,8.33502058e-01,1.39651823e-01,1.25862670e-07,8.38402794e-01,1.02847971e-01,3.42826570e-02,9.99990284e+02,8.37228220e+02,7.88609007e+02
1.37931034e-01,6.89655172e-01,1.66712758e-01,1.66775746e-01,1.66725404e-01,1.66860013e-01,1.66467524e-01,8.33541445e-01,1.72568581e-01,1.91981810e-07,8.38439042e-01,1.23422833e-01,4.11409444e-02,9.99985180e+02,8.37352112e+02,7.88691548e+02
1.44827586e-01,7.24137931e-01,1.66723350e-01,1.66800920e-01,1.66738944e-01,1.66904954e-01,1.66421230e-01,8.33589398e-01,2.12778648e-01,2.91511890e-07,8.38482449e-01,1.47064384e-01,4.90214612e-02,9.99977496e+02,8.37503280e+02,7.88792285e+02
1.51724138e-01,7.58620690e-01,1.66736170e-01,1.66831439e-01,1.66755346e-01,1.66959576e-01,1.66364972e-01,8.33647503e-01,2.61683779e-01,4.40295875e-07,8.38534753e-01,1.73813849e-01,5.79379495e-02,9.99966011e+02,8.37686886e+02,7.88914667e+02
