# Two-scale coupling: micro Hamilton 1D → macro Abaqus eigenstrain
# condition: dysbiotic_hobic
# L_biofilm: 0.2 mm  (x=0: tooth, x=1: saliva)
# k_alpha: 0.05  (growth-eigenstrain coupling)
# t_end_Tstar: 20.0000
# alpha: simple integral k_alpha*int(phi_total dt)
# alpha_monod: nutrient-limited k_alpha*int(phi_total*c/(k+c) dt) [KEY]
depth_mm,depth_norm,phi_So,phi_An,phi_Vd,phi_Fn,phi_Pg,phi_total,c,DI,alpha,alpha_monod,eps_growth,E_Pa,E_phi_pg,E_virulence
0.00000000e+00,0.00000000e+00,1.66663351e-01,1.66665680e-01,1.66679261e-01,1.66671625e-01,1.66660046e-01,8.33339963e-01,3.86798175e-03,5.14946863e-10,8.37999859e-01,4.15237713e-03,1.38412571e-03,9.99999960e+02,8.36722698e+02,7.88273786e+02
6.89655172e-03,3.44827586e-02,1.66663075e-01,1.66665599e-01,1.66680244e-01,1.66671961e-01,1.66659661e-01,8.33340540e-01,4.05888091e-03,5.92984883e-10,8.37315888e-01,4.30567059e-03,1.43522353e-03,9.99999954e+02,8.36723958e+02,7.88274658e+02
1.37931034e-02,6.89655172e-02,1.66662685e-01,1.66665483e-01,1.66681683e-01,1.66672494e-01,1.66658977e-01,8.33341322e-01,4.45006287e-03,7.22589544e-10,8.37120621e-01,4.62436990e-03,1.54145663e-03,9.99999944e+02,8.36726194e+02,7.88276267e+02
2.06896552e-02,1.03448276e-01,1.66662121e-01,1.66665317e-01,1.66683790e-01,1.66673296e-01,1.66657922e-01,8.33342446e-01,5.06074494e-03,9.38340738e-10,8.37322526e-01,5.12361034e-03,1.70787011e-03,9.99999928e+02,8.36729650e+02,7.88278772e+02
2.75862069e-02,1.37931034e-01,1.66661343e-01,1.66665086e-01,1.66686717e-01,1.66674422e-01,1.66656436e-01,8.33344003e-01,5.92089776e-03,1.28589117e-09,8.37626914e-01,5.82647754e-03,1.94215918e-03,9.99999901e+02,8.36734512e+02,7.88282301e+02
3.44827586e-02,1.72413793e-01,1.66660305e-01,1.66664778e-01,1.66690623e-01,1.66675928e-01,1.66654446e-01,8.33346079e-01,7.07267377e-03,1.83532867e-09,8.37874356e-01,6.76588794e-03,2.25529598e-03,9.99999858e+02,8.36741023e+02,7.88287026e+02
4.13793103e-02,2.06896552e-01,1.66658955e-01,1.66664377e-01,1.66695704e-01,1.66677889e-01,1.66651856e-01,8.33348781e-01,8.57240409e-03,2.69623701e-09,8.38036522e-01,7.98602130e-03,2.66200710e-03,9.99999792e+02,8.36749500e+02,7.88293178e+02
4.82758621e-02,2.41379310e-01,1.66657227e-01,1.66663863e-01,1.66702210e-01,1.66680402e-01,1.66648538e-01,8.33352240e-01,1.04932452e-02,4.03964440e-09,8.38134718e-01,9.54396548e-03,3.18132183e-03,9.99999688e+02,8.36760356e+02,7.88301057e+02
5.51724138e-02,2.75862069e-01,1.66655036e-01,1.66663212e-01,1.66710458e-01,1.66683587e-01,1.66644332e-01,8.33356625e-01,1.29285788e-02,6.13167284e-09,8.38193227e-01,1.15116709e-02,3.83722362e-03,9.99999527e+02,8.36774118e+02,7.88311044e+02
6.20689655e-02,3.10344828e-01,1.66652277e-01,1.66662391e-01,1.66720845e-01,1.66687599e-01,1.66639034e-01,8.33362146e-01,1.59962905e-02,9.38545752e-09,8.38229153e-01,1.39783638e-02,4.65945461e-03,9.99999275e+02,8.36791452e+02,7.88323624e+02
6.89655172e-02,3.44827586e-01,1.66648816e-01,1.66661361e-01,1.66733872e-01,1.66692630e-01,1.66632390e-01,8.33369068e-01,1.98440747e-02,1.44411426e-08,8.38253312e-01,1.70534565e-02,5.68448551e-03,9.99998885e+02,8.36813190e+02,7.88339402e+02
7.58620690e-02,3.79310345e-01,1.66644488e-01,1.66660071e-01,1.66750159e-01,1.66698920e-01,1.66624082e-01,8.33377720e-01,2.46559286e-02,2.22887446e-08,8.38271645e-01,2.08692901e-02,6.95643005e-03,9.99998279e+02,8.36840369e+02,7.88359130e+02
8.27586207e-02,4.13793103e-01,1.66639089e-01,1.66658461e-01,1.66770478e-01,1.66706764e-01,1.66613717e-01,8.33388509e-01,3.06600103e-02,3.44561395e-08,8.38287993e-01,2.55842944e-02,8.52809813e-03,9.99997340e+02,8.36874274e+02,7.88383745e+02
8.96551724e-02,4.48275862e-01,1.66632366e-01,1.66656454e-01,1.66795777e-01,1.66716529e-01,1.66600810e-01,8.33401935e-01,3.81380271e-02,5.32953576e-08,8.38304432e-01,3.13852172e-02,1.04617391e-02,9.99995886e+02,8.36916490e+02,7.88414398e+02
9.65517241e-02,4.82758621e-01,1.66624008e-01,1.66653955e-01,1.66827224e-01,1.66728662e-01,1.66584765e-01,8.33418613e-01,4.74362964e-02,8.24161832e-08,8.38322342e-01,3.84885962e-02,1.28295321e-02,9.99993638e+02,8.36968962e+02,7.88452506e+02
1.03448276e-01,5.17241379e-01,1.66613636e-01,1.66650850e-01,1.66866245e-01,1.66743710e-01,1.66564852e-01,8.33439293e-01,5.89785528e-02,1.27338409e-07,8.38343149e-01,4.71403508e-02,1.57134503e-02,9.99990170e+02,8.37034069e+02,7.88499803e+02
1.10344828e-01,5.51724138e-01,1.66600787e-01,1.66646996e-01,1.66914574e-01,1.66762338e-01,1.66540187e-01,8.33464882e-01,7.32804651e-02,1.96465042e-07,8.38367625e-01,5.76119849e-02,1.92039950e-02,9.99984833e+02,8.37114697e+02,7.88558395e+02
1.17241379e-01,5.86206897e-01,1.66584904e-01,1.66642219e-01,1.66974307e-01,1.66785344e-01,1.66509700e-01,8.33496474e-01,9.09656447e-02,3.02520158e-07,8.38397084e-01,7.01929739e-02,2.33976580e-02,9.99976646e+02,8.37214332e+02,7.88630827e+02
1.24137931e-01,6.20689655e-01,1.66565314e-01,1.66636312e-01,1.67047956e-01,1.66813684e-01,1.66472107e-01,8.33535372e-01,1.12782670e-01,4.64648453e-07,8.38432599e-01,8.51768660e-02,2.83922887e-02,9.99964131e+02,8.37337144e+02,7.88720151e+02
1.31034483e-01,6.55172414e-01,1.66541219e-01,1.66629020e-01,1.67138508e-01,1.66848486e-01,1.66425886e-01,8.33583121e-01,1.39622312e-01,7.11438481e-07,8.38475365e-01,1.02840820e-01,3.42802734e-02,9.99945079e+02,8.37488079e+02,7.88829994e+02
1.37931034e-01,6.89655172e-01,1.66511677e-01,1.66620043e-01,1.67249484e-01,1.66891075e-01,1.66369246e-01,8.33641525e-01,1.72533746e-01,1.08520487e-06,8.38526814e-01,1.23417941e-01,4.11393137e-02,9.99916227e+02,8.37672941e+02,7.88964618e+02
1.44827586e-01,7.24137931e-01,1.66475586e-01,1.66609021e-01,1.67384977e-01,1.66942976e-01,1.66300110e-01,8.33712670e-01,2.12738109e-01,1.64793726e-06,8.38588748e-01,1.47063739e-01,4.90212462e-02,9.99872787e+02,8.37898447e+02,7.89128976e+02
1.51724138e-01,7.58620690e-01,1.66431680e-01,1.66595533e-01,1.67549695e-01,1.67005925e-01,1.66216096e-01,8.33798930e-01,2.61637454e-01,2.48937605e-06,8.38663554e-01,1.73820268e-01,5.79400894e-02,9.99807835e+02,8.38172263e+02,7.89328738e+02
1.58620690e-01,7.93103448e-01,1.66378524e-01,1.66579091e-01,1.67748954e-01,1.67081865e-01,1.66114527e-01,8.33902960e-01,3.20816978e-01,3.73766655e-06,8.38753697e-01,2.03583501e-01,6.78611671e-02,9.99711482e+02,8.38502987e+02,7.89570293e+02
1.65517241e-01,8.27586207e-01,1.66314527e-01,1.66559139e-01,1.67988643e-01,1.67172917e-01,1.65992434e-01,8.34027661e-01,3.92038657e-01,5.57287128e-06,8.38861776e-01,2.36081875e-01,7.86939583e-02,9.99569834e+02,8.38900082e+02,7.89860716e+02
1.72413793e-01,8.62068966e-01,1.66237996e-01,1.66535071e-01,1.68275067e-01,1.67281347e-01,1.65846603e-01,8.34176084e-01,4.77225051e-01,8.24298822e-06,8.38990510e-01,2.70873316e-01,9.02911054e-02,9.99363763e+02,8.39373734e+02,7.90207688e+02
1.79310345e-01,8.96551724e-01,1.66147266e-01,1.66506269e-01,1.68614534e-01,1.67409462e-01,1.65673636e-01,8.34351168e-01,5.78433135e-01,1.20800409e-05,8.39142552e-01,3.07365499e-01,1.02455166e-01,9.99067669e+02,8.39934603e+02,7.90619366e+02
1.86206897e-01,9.31034483e-01,1.66041039e-01,1.66472234e-01,1.69012254e-01,1.67559355e-01,1.65470114e-01,8.34554997e-01,6.97819376e-01,1.75068037e-05,8.39319897e-01,3.44858828e-01,1.14952943e-01,9.98648978e+02,8.40593274e+02,7.91104124e+02
1.93103448e-01,9.65517241e-01,1.65919257e-01,1.66432906e-01,1.69469273e-01,1.67732035e-01,1.65233245e-01,8.34786716e-01,8.37598588e-01,2.49998213e-05,8.39522103e-01,3.82605266e-01,1.27535089e-01,9.98071014e+02,8.41358122e+02,7.91669342e+02
2.00000000e-01,1.00000000e+00,1.65785323e-01,1.66389451e-01,1.69973862e-01,1.67924210e-01,1.64964712e-01,8.35037558e-01,1.00000000e+00,3.48775759e-05,8.39741729e-01,4.19870864e-01,1.39956955e-01,9.97309365e+02,8.42222939e+02,7.92312629e+02
