# Hybrid macro CSV: 0D composition × 1D spatial alpha_monod
# condition: dysbiotic_hobic
# DI_0D:    0.161260  → E_di    = 705.1 Pa
# phi_Pg_0D: 0.093236  → E_phi_pg = 981.2 Pa  (phi_crit=0.25, m=4.0)
# V_0D:     0.130273  → E_vir   = 966.0 Pa  (V_crit=0.3, w_Pg=1.0, w_Fn=0.3)
# alpha_monod(x): from 1D Hamilton + nutrient PDE  [spatial]
# eps_growth = alpha_monod / 3  [isotropic eigenstrain]
depth_mm,depth_norm,phi_So,phi_An,phi_Vd,phi_Fn,phi_Pg,phi_total,c,DI,alpha,alpha_monod,eps_growth,E_di,E_phi_pg,E_virulence
0.00000000e+00,0.00000000e+00,1.66663351e-01,1.66665680e-01,1.66679261e-01,1.66671625e-01,1.66660046e-01,8.33339963e-01,3.86798175e-03,1.61259518e-01,8.37999859e-01,4.15237713e-03,1.38412571e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
6.89655172e-03,3.44827586e-02,1.66663075e-01,1.66665599e-01,1.66680244e-01,1.66671961e-01,1.66659661e-01,8.33340540e-01,4.05888091e-03,1.61259518e-01,8.37315888e-01,4.30567059e-03,1.43522353e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.37931034e-02,6.89655172e-02,1.66662685e-01,1.66665483e-01,1.66681683e-01,1.66672494e-01,1.66658977e-01,8.33341322e-01,4.45006287e-03,1.61259518e-01,8.37120621e-01,4.62436990e-03,1.54145663e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
2.06896552e-02,1.03448276e-01,1.66662121e-01,1.66665317e-01,1.66683790e-01,1.66673296e-01,1.66657922e-01,8.33342446e-01,5.06074494e-03,1.61259518e-01,8.37322526e-01,5.12361034e-03,1.70787011e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
2.75862069e-02,1.37931034e-01,1.66661343e-01,1.66665086e-01,1.66686717e-01,1.66674422e-01,1.66656436e-01,8.33344003e-01,5.92089776e-03,1.61259518e-01,8.37626914e-01,5.82647754e-03,1.94215918e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
3.44827586e-02,1.72413793e-01,1.66660305e-01,1.66664778e-01,1.66690623e-01,1.66675928e-01,1.66654446e-01,8.33346079e-01,7.07267377e-03,1.61259518e-01,8.37874356e-01,6.76588794e-03,2.25529598e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
4.13793103e-02,2.06896552e-01,1.66658955e-01,1.66664377e-01,1.66695704e-01,1.66677889e-01,1.66651856e-01,8.33348781e-01,8.57240409e-03,1.61259518e-01,8.38036522e-01,7.98602130e-03,2.66200710e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
4.82758621e-02,2.41379310e-01,1.66657227e-01,1.66663863e-01,1.66702210e-01,1.66680402e-01,1.66648538e-01,8.33352240e-01,1.04932452e-02,1.61259518e-01,8.38134718e-01,9.54396548e-03,3.18132183e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
5.51724138e-02,2.75862069e-01,1.66655036e-01,1.66663212e-01,1.66710458e-01,1.66683587e-01,1.66644332e-01,8.33356625e-01,1.29285788e-02,1.61259518e-01,8.38193227e-01,1.15116709e-02,3.83722362e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
6.20689655e-02,3.10344828e-01,1.66652277e-01,1.66662391e-01,1.66720845e-01,1.66687599e-01,1.66639034e-01,8.33362146e-01,1.59962905e-02,1.61259518e-01,8.38229153e-01,1.39783638e-02,4.65945461e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
6.89655172e-02,3.44827586e-01,1.66648816e-01,1.66661361e-01,1.66733872e-01,1.66692630e-01,1.66632390e-01,8.33369068e-01,1.98440747e-02,1.61259518e-01,8.38253312e-01,1.70534565e-02,5.68448551e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
7.58620690e-02,3.79310345e-01,1.66644488e-01,1.66660071e-01,1.66750159e-01,1.66698920e-01,1.66624082e-01,8.33377720e-01,2.46559286e-02,1.61259518e-01,8.38271645e-01,2.08692901e-02,6.95643005e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
8.27586207e-02,4.13793103e-01,1.66639089e-01,1.66658461e-01,1.66770478e-01,1.66706764e-01,1.66613717e-01,8.33388509e-01,3.06600103e-02,1.61259518e-01,8.38287993e-01,2.55842944e-02,8.52809813e-03,7.05098191e+02,9.81211640e+02,9.66007184e+02
8.96551724e-02,4.48275862e-01,1.66632366e-01,1.66656454e-01,1.66795777e-01,1.66716529e-01,1.66600810e-01,8.33401935e-01,3.81380271e-02,1.61259518e-01,8.38304432e-01,3.13852172e-02,1.04617391e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
