# Two-scale coupling: micro Hamilton 1D → macro Abaqus eigenstrain
# condition: dysbiotic_static
# L_biofilm: 0.2 mm  (x=0: tooth, x=1: saliva)
# k_alpha: 0.05  (growth-eigenstrain coupling)
# t_end_Tstar: 20.0000
# alpha: simple integral k_alpha*int(phi_total dt)
# alpha_monod: nutrient-limited k_alpha*int(phi_total*c/(k+c) dt) [KEY]
depth_mm,depth_norm,phi_So,phi_An,phi_Vd,phi_Fn,phi_Pg,phi_total,c,DI,alpha,alpha_monod,eps_growth,E_Pa,E_phi_pg,E_virulence
0.00000000e+00,0.00000000e+00,1.66669692e-01,1.66667723e-01,1.66669222e-01,1.66669089e-01,1.66662138e-01,8.33337863e-01,3.86891343e-03,8.73845440e-11,8.37750923e-01,4.15077368e-03,1.38359123e-03,9.99999993e+02,8.36715852e+02,7.88269694e+02
6.89655172e-03,3.44827586e-02,1.66669946e-01,1.66667812e-01,1.66669421e-01,1.66669253e-01,1.66661874e-01,8.33338306e-01,4.05985792e-03,9.92219640e-11,8.37180133e-01,4.30433095e-03,1.43477698e-03,9.99999992e+02,8.36716714e+02,7.88270353e+02
1.37931034e-02,6.89655172e-02,1.66670305e-01,1.66667937e-01,1.66669713e-01,1.66669512e-01,1.66661407e-01,8.33338874e-01,4.45113269e-03,1.20233601e-10,8.37198934e-01,4.62381657e-03,1.54127219e-03,9.99999991e+02,8.36718245e+02,7.88271551e+02
2.06896552e-02,1.03448276e-01,1.66670821e-01,1.66668118e-01,1.66670141e-01,1.66669904e-01,1.66660684e-01,8.33339668e-01,5.06195944e-03,1.55845448e-10,8.37554873e-01,5.12382317e-03,1.70794106e-03,9.99999988e+02,8.36720609e+02,7.88273410e+02
2.75862069e-02,1.37931034e-01,1.66671534e-01,1.66668367e-01,1.66670735e-01,1.66670452e-01,1.66659668e-01,8.33340756e-01,5.92231569e-03,2.13444595e-10,8.37890112e-01,5.82710689e-03,1.94236896e-03,9.99999984e+02,8.36723935e+02,7.88276028e+02
3.44827586e-02,1.72413793e-01,1.66672483e-01,1.66668699e-01,1.66671527e-01,1.66671187e-01,1.66658307e-01,8.33342204e-01,7.07436342e-03,3.04578474e-10,8.38106055e-01,6.76664566e-03,2.25554855e-03,9.99999976e+02,8.36728388e+02,7.88279532e+02
4.13793103e-02,2.06896552e-01,1.66673716e-01,1.66669130e-01,1.66672558e-01,1.66672145e-01,1.66656535e-01,8.33344085e-01,8.57444638e-03,4.47390680e-10,8.38226966e-01,7.98678304e-03,2.66226101e-03,9.99999965e+02,8.36734187e+02,7.88284094e+02
4.82758621e-02,2.41379310e-01,1.66675294e-01,1.66669682e-01,1.66673879e-01,1.66673372e-01,1.66654266e-01,8.33346492e-01,1.04957372e-02,6.70228983e-10,8.38291862e-01,9.54471284e-03,3.18157095e-03,9.99999948e+02,8.36741612e+02,7.88289936e+02
5.51724138e-02,2.75862069e-01,1.66677294e-01,1.66670381e-01,1.66675552e-01,1.66674927e-01,1.66651389e-01,8.33349543e-01,1.29316379e-02,1.01721298e-09,8.38327350e-01,1.15124460e-02,3.83748199e-03,9.99999921e+02,8.36751026e+02,7.88297342e+02
6.20689655e-02,3.10344828e-01,1.66679811e-01,1.66671260e-01,1.66677660e-01,1.66676887e-01,1.66647766e-01,8.33353384e-01,1.60000591e-02,1.55683388e-09,8.38348186e-01,1.39792504e-02,4.65975013e-03,9.99999880e+02,8.36762882e+02,7.88306669e+02
6.89655172e-02,3.44827586e-01,1.66682968e-01,1.66672363e-01,1.66680302e-01,1.66679344e-01,1.66643221e-01,8.33358198e-01,1.98487254e-02,2.39521014e-09,8.38362302e-01,1.70545386e-02,5.68484620e-03,9.99999815e+02,8.36777751e+02,7.88318367e+02
7.58620690e-02,3.79310345e-01,1.66686913e-01,1.66673740e-01,1.66683606e-01,1.66682416e-01,1.66637539e-01,8.33364214e-01,2.46616705e-02,3.69644249e-09,8.38373547e-01,2.08706808e-02,6.95689360e-03,9.99999715e+02,8.36796342e+02,7.88332994e+02
8.27586207e-02,4.13793103e-01,1.66691832e-01,1.66675457e-01,1.66687726e-01,1.66686249e-01,1.66630451e-01,8.33371715e-01,3.06670948e-02,5.71375047e-09,8.38384284e-01,2.55861108e-02,8.52870360e-03,9.99999559e+02,8.36819534e+02,7.88351242e+02
8.96551724e-02,4.48275862e-01,1.66697955e-01,1.66677593e-01,1.66692854e-01,1.66691020e-01,1.66621623e-01,8.33381046e-01,3.81467551e-02,8.83687545e-09,8.38395673e-01,3.13875949e-02,1.04625316e-02,9.99999318e+02,8.36848411e+02,7.88373965e+02
9.65517241e-02,4.82758621e-01,1.66705561e-01,1.66680245e-01,1.66699227e-01,1.66696950e-01,1.66610650e-01,8.33392633e-01,4.74470236e-02,1.36638361e-08,8.38408469e-01,3.84916834e-02,1.28305611e-02,9.99998945e+02,8.36884305e+02,7.88402212e+02
1.03448276e-01,5.17241379e-01,1.66714993e-01,1.66683531e-01,1.66707131e-01,1.66704306e-01,1.66597033e-01,8.33406993e-01,5.89916936e-02,2.11087977e-08,8.38423605e-01,4.71442863e-02,1.57147621e-02,9.99998370e+02,8.36928843e+02,7.88437265e+02
1.10344828e-01,5.51724138e-01,1.66726665e-01,1.66687593e-01,1.66716915e-01,1.66713415e-01,1.66580166e-01,8.33424754e-01,7.32964931e-02,3.25628664e-08,8.38441484e-01,5.76168890e-02,1.92056297e-02,9.99997486e+02,8.36984000e+02,7.88480683e+02
1.17241379e-01,5.86206897e-01,1.66741077e-01,1.66692603e-01,1.66729001e-01,1.66724670e-01,1.66559318e-01,8.33446668e-01,9.09850865e-02,5.01313501e-08,8.38463032e-01,7.01988996e-02,2.33996332e-02,9.99996130e+02,8.37052162e+02,7.88534347e+02
1.24137931e-01,6.20689655e-01,1.66758826e-01,1.66698764e-01,1.66743889e-01,1.66738540e-01,1.66533613e-01,8.33473632e-01,1.12806088e-01,7.69795899e-08,8.38488948e-01,8.51837450e-02,2.83945817e-02,9.99994057e+02,8.37136185e+02,7.88600512e+02
1.31034483e-01,6.55172414e-01,1.66780618e-01,1.66706315e-01,1.66762178e-01,1.66755583e-01,1.66502010e-01,8.33506704e-01,1.39650272e-01,1.17829740e-07,8.38520000e-01,1.02848373e-01,3.42827910e-02,9.99990904e+02,8.37239456e+02,7.88681854e+02
1.37931034e-01,6.89655172e-01,1.66807280e-01,1.66715535e-01,1.66784565e-01,1.66776453e-01,1.66463287e-01,8.33547120e-01,1.72566756e-01,1.79662136e-07,8.38557151e-01,1.23425555e-01,4.11418517e-02,9.99986131e+02,8.37365950e+02,7.88781518e+02
1.44827586e-01,7.24137931e-01,1.66839770e-01,1.66726740e-01,1.66811859e-01,1.66801910e-01,1.66416025e-01,8.33596303e-01,2.12776535e-01,2.72685552e-07,8.38601660e-01,1.47070309e-01,4.90234363e-02,9.99978949e+02,8.37520273e+02,7.88903151e+02
1.51724138e-01,7.58620690e-01,1.66879174e-01,1.66740288e-01,1.66844984e-01,1.66832819e-01,1.66358598e-01,8.33655863e-01,2.61681377e-01,4.11647620e-07,8.38655285e-01,1.73824002e-01,5.79413340e-02,9.99968222e+02,8.37707683e+02,7.89050920e+02
1.58620690e-01,7.93103448e-01,1.66926710e-01,1.66756572e-01,1.66884976e-01,1.66870155e-01,1.66289180e-01,8.33727592e-01,3.20866002e-01,6.17554921e-07,8.38719792e-01,2.03581704e-01,6.78605681e-02,9.99952327e+02,8.37934084e+02,7.89229518e+02
1.65517241e-01,8.27586207e-01,1.66983700e-01,1.66776011e-01,1.66932971e-01,1.66914991e-01,1.66205746e-01,8.33813419e-01,3.92091642e-01,9.19851705e-07,8.38796992e-01,2.36070730e-01,7.86902434e-02,9.99928991e+02,8.38205982e+02,7.89444125e+02
1.72413793e-01,8.62068966e-01,1.67051527e-01,1.66799033e-01,1.66990174e-01,1.66968485e-01,1.66106104e-01,8.33915322e-01,4.77279765e-01,1.35904239e-06,8.38888721e-01,2.70847680e-01,9.02825601e-02,9.99895088e+02,8.38530398e+02,7.89700352e+02
1.79310345e-01,8.96551724e-01,1.67131517e-01,1.66826033e-01,1.67057779e-01,1.67031828e-01,1.65987934e-01,8.34035091e-01,5.78485812e-01,1.98955164e-06,8.38996657e-01,3.07318741e-01,1.02439580e-01,9.99846417e+02,8.38914709e+02,7.90004147e+02
1.86206897e-01,9.31034483e-01,1.67224659e-01,1.66857291e-01,1.67136762e-01,1.67106118e-01,1.65848891e-01,8.34173720e-01,6.97864179e-01,2.88193245e-06,8.39121806e-01,3.44782757e-01,1.14927586e-01,9.99777534e+02,8.39366309e+02,7.90361592e+02
1.93103448e-01,9.65517241e-01,1.67330906e-01,1.66892755e-01,1.67227305e-01,1.67191907e-01,1.65687027e-01,8.34329900e-01,8.37626971e-01,4.12041811e-06,8.39263147e-01,3.82490336e-01,1.27496779e-01,9.99681939e+02,8.39891217e+02,7.90778021e+02
2.00000000e-01,1.00000000e+00,1.67447356e-01,1.66931480e-01,1.67327142e-01,1.67287550e-01,1.65503408e-01,8.34496936e-01,1.00000000e+00,5.77396289e-06,8.39414735e-01,4.19707368e-01,1.39902456e-01,9.99554314e+02,8.40485618e+02,7.91251541e+02
