# Two-scale coupling HYBRID: 0D DI × 1D spatial alpha_monod
# condition: dysbiotic_static
# DI_0D: 0.845443  (0D Hamilton ODE, condition-specific)
# E_Pa: 32.34  [= E(DI_0D), constant across depth]
# alpha_monod(x): from 1D Hamilton + nutrient PDE  [spatial structure]
# eps_growth = alpha_monod / 3  [isotropic eigenstrain]
depth_mm,depth_norm,phi_So,phi_An,phi_Vd,phi_Fn,phi_Pg,phi_total,c,DI,alpha,alpha_monod,eps_growth,E_Pa
0.00000000e+00,0.00000000e+00,1.66669692e-01,1.66667723e-01,1.66669222e-01,1.66669089e-01,1.66662138e-01,8.33337863e-01,3.86891343e-03,8.45443143e-01,8.37750923e-01,4.15077368e-03,1.38359123e-03,3.23422534e+01
6.89655172e-03,3.44827586e-02,1.66669946e-01,1.66667812e-01,1.66669421e-01,1.66669253e-01,1.66661874e-01,8.33338306e-01,4.05985792e-03,8.45443143e-01,8.37180133e-01,4.30433095e-03,1.43477698e-03,3.23422534e+01
1.37931034e-02,6.89655172e-02,1.66670305e-01,1.66667937e-01,1.66669713e-01,1.66669512e-01,1.66661407e-01,8.33338874e-01,4.45113269e-03,8.45443143e-01,8.37198934e-01,4.62381657e-03,1.54127219e-03,3.23422534e+01
2.06896552e-02,1.03448276e-01,1.66670821e-01,1.66668118e-01,1.66670141e-01,1.66669904e-01,1.66660684e-01,8.33339668e-01,5.06195944e-03,8.45443143e-01,8.37554873e-01,5.12382317e-03,1.70794106e-03,3.23422534e+01
2.75862069e-02,1.37931034e-01,1.66671534e-01,1.66668367e-01,1.66670735e-01,1.66670452e-01,1.66659668e-01,8.33340756e-01,5.92231569e-03,8.45443143e-01,8.37890112e-01,5.82710689e-03,1.94236896e-03,3.23422534e+01
3.44827586e-02,1.72413793e-01,1.66672483e-01,1.66668699e-01,1.66671527e-01,1.66671187e-01,1.66658307e-01,8.33342204e-01,7.07436342e-03,8.45443143e-01,8.38106055e-01,6.76664566e-03,2.25554855e-03,3.23422534e+01
4.13793103e-02,2.06896552e-01,1.66673716e-01,1.66669130e-01,1.66672558e-01,1.66672145e-01,1.66656535e-01,8.33344085e-01,8.57444638e-03,8.45443143e-01,8.38226966e-01,7.98678304e-03,2.66226101e-03,3.23422534e+01
4.82758621e-02,2.41379310e-01,1.66675294e-01,1.66669682e-01,1.66673879e-01,1.66673372e-01,1.66654266e-01,8.33346492e-01,1.04957372e-02,8.45443143e-01,8.38291862e-01,9.54471284e-03,3.18157095e-03,3.23422534e+01
5.51724138e-02,2.75862069e-01,1.66677294e-01,1.66670381e-01,1.66675552e-01,1.66674927e-01,1.66651389e-01,8.33349543e-01,1.29316379e-02,8.45443143e-01,8.38327350e-01,1.15124460e-02,3.83748199e-03,3.23422534e+01
6.20689655e-02,3.10344828e-01,1.66679811e-01,1.66671260e-01,1.66677660e-01,1.66676887e-01,1.66647766e-01,8.33353384e-01,1.60000591e-02,8.45443143e-01,8.38348186e-01,1.39792504e-02,4.65975013e-03,3.23422534e+01
6.89655172e-02,3.44827586e-01,1.66682968e-01,1.66672363e-01,1.66680302e-01,1.66679344e-01,1.66643221e-01,8.33358198e-01,1.98487254e-02,8.45443143e-01,8.38362302e-01,1.70545386e-02,5.68484620e-03,3.23422534e+01
7.58620690e-02,3.79310345e-01,1.66686913e-01,1.66673740e-01,1.66683606e-01,1.66682416e-01,1.66637539e-01,8.33364214e-01,2.46616705e-02,8.45443143e-01,8.38373547e-01,2.08706808e-02,6.95689360e-03,3.23422534e+01
8.27586207e-02,4.13793103e-01,1.66691832e-01,1.66675457e-01,1.66687726e-01,1.66686249e-01,1.66630451e-01,8.33371715e-01,3.06670948e-02,8.45443143e-01,8.38384284e-01,2.55861108e-02,8.52870360e-03,3.23422534e+01
8.96551724e-02,4.48275862e-01,1.66697955e-01,1.66677593e-01,1.66692854e-01,1.66691020e-01,1.66621623e-01,8.33381046e-01,3.81467551e-02,8.45443143e-01,8.38395673e-01,3.13875949e-02,1.04625316e-02,3.23422534e+01
9.65517241e-02,4.82758621e-01,1.66705561e-01,1.66680245e-01,1.66699227e-01,1.66696950e-01,1.66610650e-01,8.33392633e-01,4.74470236e-02,8.45443143e-01,8.38408469e-01,3.84916834e-02,1.28305611e-02,3.23422534e+01
1.03448276e-01,5.17241379e-01,1.66714993e-01,1.66683531e-01,1.66707131e-01,1.66704306e-01,1.66597033e-01,8.33406993e-01,5.89916936e-02,8.45443143e-01,8.38423605e-01,4.71442863e-02,1.57147621e-02,3.23422534e+01
1.10344828e-01,5.51724138e-01,1.66726665e-01,1.66687593e-01,1.66716915e-01,1.66713415e-01,1.66580166e-01,8.33424754e-01,7.32964931e-02,8.45443143e-01,8.38441484e-01,5.76168890e-02,1.92056297e-02,3.23422534e+01
1.17241379e-01,5.86206897e-01,1.66741077e-01,1.66692603e-01,1.66729001e-01,1.66724670e-01,1.66559318e-01,8.33446668e-01,9.09850865e-02,8.45443143e-01,8.38463032e-01,7.01988996e-02,2.33996332e-02,3.23422534e+01
1.24137931e-01,6.20689655e-01,1.66758826e-01,1.66698764e-01,1.66743889e-01,1.66738540e-01,1.66533613e-01,8.33473632e-01,1.12806088e-01,8.45443143e-01,8.38488948e-01,8.51837450e-02,2.83945817e-02,3.23422534e+01
1.31034483e-01,6.55172414e-01,1.66780618e-01,1.66706315e-01,1.66762178e-01,1.66755583e-01,1.66502010e-01,8.33506704e-01,1.39650272e-01,8.45443143e-01,8.38520000e-01,1.02848373e-01,3.42827910e-02,3.23422534e+01
1.37931034e-01,6.89655172e-01,1.66807280e-01,1.66715535e-01,1.66784565e-01,1.66776453e-01,1.66463287e-01,8.33547120e-01,1.72566756e-01,8.45443143e-01,8.38557151e-01,1.23425555e-01,4.11418517e-02,3.23422534e+01
1.44827586e-01,7.24137931e-01,1.66839770e-01,1.66726740e-01,1.66811859e-01,1.66801910e-01,1.66416025e-01,8.33596303e-01,2.12776535e-01,8.45443143e-01,8.38601660e-01,1.47070309e-01,4.90234363e-02,3.23422534e+01
1.51724138e-01,7.58620690e-01,1.66879174e-01,1.66740288e-01,1.66844984e-01,1.66832819e-01,1.66358598e-01,8.33655863e-01,2.61681377e-01,8.45443143e-01,8.38655285e-01,1.73824002e-01,5.79413340e-02,3.23422534e+01
1.58620690e-01,7.93103448e-01,1.66926710e-01,1.66756572e-01,1.66884976e-01,1.66870155e-01,1.66289180e-01,8.33727592e-01,3.20866002e-01,8.45443143e-01,8.38719792e-01,2.03581704e-01,6.78605681e-02,3.23422534e+01
