a35,pg_final,phi_total_mean,c_min,c_tooth,c_mean,di_0d
0.000000,0.011243,0.367457,0.028354,0.028354,0.327938,0.845443
0.500000,0.011243,0.367457,0.028354,0.028354,0.327938,0.845443
1.000000,0.101988,0.333739,0.034495,0.034495,0.338310,0.024416
1.500000,0.011243,0.367457,0.028354,0.028354,0.327938,0.845443
2.000000,0.011243,0.367457,0.028354,0.028354,0.327938,0.845443
2.500000,0.089194,0.338489,0.033534,0.033534,0.336765,0.117612
3.000000,0.098187,0.335148,0.034207,0.034207,0.337848,0.047324
3.500000,0.097826,0.335282,0.034179,0.034179,0.337804,0.045209
4.000000,0.011243,0.367457,0.028354,0.028354,0.327938,0.845443
4.500000,0.095290,0.336224,0.033988,0.033988,0.337498,0.059476
5.000000,0.095920,0.335990,0.034035,0.034035,0.337574,0.062996
5.500000,0.095106,0.336293,0.033974,0.033974,0.337475,0.074166
6.000000,0.094178,0.336637,0.033905,0.033905,0.337363,0.084758
6.500000,0.093250,0.336982,0.033835,0.033835,0.337251,0.094770
7.000000,0.092341,0.337320,0.033767,0.033767,0.337142,0.104312
7.500000,0.091456,0.337649,0.033701,0.033701,0.337036,0.113439
8.000000,0.090597,0.337968,0.033638,0.033638,0.336932,0.122185
8.500000,0.089762,0.338278,0.033576,0.033576,0.336832,0.130575
9.000000,0.088951,0.338579,0.033516,0.033516,0.336735,0.138632
9.500000,0.088164,0.338872,0.033458,0.033458,0.336641,0.146377
10.000000,0.087399,0.339156,0.033402,0.033402,0.336550,0.153831
10.500000,0.086655,0.339432,0.033347,0.033347,0.336461,0.161013
11.000000,0.085932,0.339701,0.033294,0.033294,0.336375,0.167941
11.500000,0.085227,0.339963,0.033242,0.033242,0.336291,0.174631
12.000000,0.084540,0.340219,0.033192,0.033192,0.336209,0.181101
12.500000,0.083869,0.340468,0.033144,0.033144,0.336130,0.187363
13.000000,0.083215,0.340711,0.033096,0.033096,0.336052,0.193432
13.500000,0.082576,0.340948,0.033050,0.033050,0.335976,0.199320
14.000000,0.081952,0.341180,0.033004,0.033004,0.335902,0.205038
14.500000,0.081341,0.341407,0.032960,0.032960,0.335830,0.210598
15.000000,0.080743,0.341629,0.032917,0.032917,0.335759,0.216007
15.500000,0.080157,0.341847,0.032875,0.032875,0.335690,0.221277
16.000000,0.079583,0.342060,0.032834,0.032834,0.335622,0.226414
16.500000,0.079020,0.342269,0.032793,0.032793,0.335556,0.231426
17.000000,0.078468,0.342475,0.032753,0.032753,0.335491,0.236321
17.500000,0.077926,0.342676,0.032715,0.032715,0.335427,0.241105
18.000000,0.077393,0.342874,0.032677,0.032677,0.335364,0.245783
18.500000,0.076870,0.343069,0.032639,0.032639,0.335303,0.250362
19.000000,0.076355,0.343260,0.032603,0.032603,0.335242,0.254846
19.500000,0.075849,0.343448,0.032566,0.032566,0.335183,0.259241
20.000000,0.075351,0.343633,0.032531,0.032531,0.335124,0.263550
20.500000,0.074861,0.343815,0.032496,0.032496,0.335067,0.267778
21.000000,0.074378,0.343994,0.032462,0.032462,0.335010,0.271929
21.500000,0.073903,0.344171,0.032428,0.032428,0.334955,0.276007
22.000000,0.073434,0.344345,0.032395,0.032395,0.334900,0.280014
22.500000,0.072972,0.344517,0.032363,0.032363,0.334846,0.283954
23.000000,0.072517,0.344686,0.032330,0.032330,0.334792,0.287829
23.500000,0.072067,0.344853,0.032299,0.032299,0.334740,0.291643
24.000000,0.071624,0.345018,0.032268,0.032268,0.334688,0.295398
24.500000,0.071186,0.345181,0.032237,0.032237,0.334637,0.299097
25.000000,0.070754,0.345341,0.032207,0.032207,0.334587,0.302741
