_source,species,median,condition,cultivation,damaged,day,q3,error,whisker_high,fliers,range,q1,intact,whisker_low,iqr
biofilm_boxplot_data.csv,,0.45,Dysbiotic,HOBIC,,1,0.55,,0.6,,,0.4,,0.25,
biofilm_boxplot_data.csv,,0.4,Dysbiotic,HOBIC,,3,0.55,,0.8,,,0.3,,0.2,
biofilm_boxplot_data.csv,,0.75,Dysbiotic,HOBIC,,6,1.0,,1.3,,,0.5,,0.2,
biofilm_boxplot_data.csv,,0.62,Dysbiotic,HOBIC,,10,0.7,,1.15,1.16,,0.52,,0.4,
biofilm_boxplot_data.csv,,0.6,Dysbiotic,HOBIC,,15,0.75,,0.85,,,0.45,,0.2,
biofilm_boxplot_data.csv,,0.6,Dysbiotic,HOBIC,,21,0.9,,1.25,,,0.4,,0.05,
biofilm_barplot_data.csv,,,Dysbiotic,HOBIC,19,1,,10,,,,,81,,
biofilm_barplot_data.csv,,,Dysbiotic,HOBIC,28,3,,12,,,,,72,,
biofilm_barplot_data.csv,,,Dysbiotic,HOBIC,61,6,,15,,,,,39,,
biofilm_barplot_data.csv,,,Dysbiotic,HOBIC,56,10,,12,,,,,44,,
biofilm_barplot_data.csv,,,Dysbiotic,HOBIC,52,15,,12,,,,,48,,
biofilm_barplot_data.csv,,,Dysbiotic,HOBIC,53,21,,12,,,,,47,,
species_distribution_data.csv,Blue,4,Dysbiotic,HOBIC,,1,,,,,1,,,,2
species_distribution_data.csv,Blue,3,Dysbiotic,HOBIC,,3,,,,,1,,,,2
species_distribution_data.csv,Blue,7,Dysbiotic,HOBIC,,6,,,,,3,,,,5
species_distribution_data.csv,Blue,12,Dysbiotic,HOBIC,,10,,,,,5,,,,10
species_distribution_data.csv,Blue,2,Dysbiotic,HOBIC,,15,,,,,1,,,,1
species_distribution_data.csv,Blue,1,Dysbiotic,HOBIC,,21,,,,,1,,,,1
species_distribution_data.csv,Green,1,Dysbiotic,HOBIC,,1,,,,,1,,,,1
species_distribution_data.csv,Green,1,Dysbiotic,HOBIC,,3,,,,,1,,,,1
species_distribution_data.csv,Green,12,Dysbiotic,HOBIC,,6,,,,,8,,,,15
species_distribution_data.csv,Green,15,Dysbiotic,HOBIC,,10,,,,,10,,,,20
species_distribution_data.csv,Green,35,Dysbiotic,HOBIC,,15,,,,,10,,,,30
species_distribution_data.csv,Green,35,Dysbiotic,HOBIC,,21,,,,,20,,,,60
species_distribution_data.csv,Orange,94,Dysbiotic,HOBIC,,1,,,,,1,,,,2
species_distribution_data.csv,Orange,97,Dysbiotic,HOBIC,,3,,,,,1,,,,3
species_distribution_data.csv,Orange,85,Dysbiotic,HOBIC,,6,,,,,10,,,,12
species_distribution_data.csv,Orange,75,Dysbiotic,HOBIC,,10,,,,,10,,,,20
species_distribution_data.csv,Orange,35,Dysbiotic,HOBIC,,15,,,,,5,,,,10
species_distribution_data.csv,Orange,25,Dysbiotic,HOBIC,,21,,,,,10,,,,15
species_distribution_data.csv,Purple,0.5,Dysbiotic,HOBIC,,1,,,,,0.5,,,,0.5
species_distribution_data.csv,Purple,0.5,Dysbiotic,HOBIC,,3,,,,,0.5,,,,0.5
species_distribution_data.csv,Purple,0.5,Dysbiotic,HOBIC,,6,,,,,0.5,,,,0.5
species_distribution_data.csv,Purple,8,Dysbiotic,HOBIC,,10,,,,,5,,,,10
species_distribution_data.csv,Purple,20,Dysbiotic,HOBIC,,15,,,,,10,,,,15
species_distribution_data.csv,Purple,30,Dysbiotic,HOBIC,,21,,,,,20,,,,40
species_distribution_data.csv,Red,0.5,Dysbiotic,HOBIC,,1,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,0.5,Dysbiotic,HOBIC,,3,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,0.5,Dysbiotic,HOBIC,,6,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,0.5,Dysbiotic,HOBIC,,10,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,2,Dysbiotic,HOBIC,,15,,,,,1,,,,2
species_distribution_data.csv,Red,18,Dysbiotic,HOBIC,,21,,,,,5,,,,8
