condition,cultivation,day,species,replicate,distribution_pct
Commensal,Static,1,S. oralis,1,3.0
Commensal,Static,1,S. oralis,2,5.8
Commensal,Static,1,S. oralis,3,10.0
Commensal,Static,1,S. oralis,4,14.2
Commensal,Static,1,S. oralis,5,17.0
Commensal,Static,1,S. oralis,6,19.8
Commensal,Static,1,S. oralis,7,24.0
Commensal,Static,1,S. oralis,8,28.2
Commensal,Static,1,S. oralis,9,33.0
Commensal,Static,1,A. naeslundii,1,0.0
Commensal,Static,1,A. naeslundii,2,0.0
Commensal,Static,1,A. naeslundii,3,0.0
Commensal,Static,1,A. naeslundii,4,0.6
Commensal,Static,1,A. naeslundii,5,1.0
Commensal,Static,1,A. naeslundii,6,1.4
Commensal,Static,1,A. naeslundii,7,2.0
Commensal,Static,1,A. naeslundii,8,2.6
Commensal,Static,1,A. naeslundii,9,3.0
Commensal,Static,1,V. dispar,1,55.0
Commensal,Static,1,V. dispar,2,65.2
Commensal,Static,1,V. dispar,3,70.0
Commensal,Static,1,V. dispar,4,75.8
Commensal,Static,1,V. dispar,5,79.0
Commensal,Static,1,V. dispar,6,82.2
Commensal,Static,1,V. dispar,7,86.0
Commensal,Static,1,V. dispar,8,90.8
Commensal,Static,1,V. dispar,9,93.0
Commensal,Static,1,F. nucleatum,1,0.0
Commensal,Static,1,F. nucleatum,2,0.0
Commensal,Static,1,F. nucleatum,3,0.0
Commensal,Static,1,F. nucleatum,4,0.6
Commensal,Static,1,F. nucleatum,5,1.0
Commensal,Static,1,F. nucleatum,6,1.4
Commensal,Static,1,F. nucleatum,7,2.0
Commensal,Static,1,F. nucleatum,8,2.6
Commensal,Static,1,F. nucleatum,9,3.0
Commensal,Static,1,P. gingivalis_20709,1,0.0
Commensal,Static,1,P. gingivalis_20709,2,0.0
Commensal,Static,1,P. gingivalis_20709,3,0.0
Commensal,Static,1,P. gingivalis_20709,4,0.6
Commensal,Static,1,P. gingivalis_20709,5,1.0
Commensal,Static,1,P. gingivalis_20709,6,1.4
Commensal,Static,1,P. gingivalis_20709,7,2.0
Commensal,Static,1,P. gingivalis_20709,8,2.6
Commensal,Static,1,P. gingivalis_20709,9,3.0
Commensal,Static,3,S. oralis,1,30.0
Commensal,Static,3,S. oralis,2,37.6
Commensal,Static,3,S. oralis,3,46.0
Commensal,Static,3,S. oralis,4,54.4
Commensal,Static,3,S. oralis,5,60.0
Commensal,Static,3,S. oralis,6,65.6
Commensal,Static,3,S. oralis,7,74.0
Commensal,Static,3,S. oralis,8,82.4
Commensal,Static,3,S. oralis,9,86.0
Commensal,Static,3,A. naeslundii,1,1.0
Commensal,Static,3,A. naeslundii,2,0.6000000000000001
Commensal,Static,3,A. naeslundii,3,3.0
Commensal,Static,3,A. naeslundii,4,5.4
Commensal,Static,3,A. naeslundii,5,7.0
Commensal,Static,3,A. naeslundii,6,8.6
Commensal,Static,3,A. naeslundii,7,11.0
Commensal,Static,3,A. naeslundii,8,13.4
Commensal,Static,3,A. naeslundii,9,16.0
Commensal,Static,3,V. dispar,1,5.0
Commensal,Static,3,V. dispar,2,8.3
Commensal,Static,3,V. dispar,3,14.0
Commensal,Static,3,V. dispar,4,20.2
Commensal,Static,3,V. dispar,5,24.0
Commensal,Static,3,V. dispar,6,27.8
Commensal,Static,3,V. dispar,7,33.0
Commensal,Static,3,V. dispar,8,38.7
Commensal,Static,3,V. dispar,9,44.0
Commensal,Static,3,F. nucleatum,1,0.0
Commensal,Static,3,F. nucleatum,2,0.0
Commensal,Static,3,F. nucleatum,3,1.0
Commensal,Static,3,F. nucleatum,4,2.2
Commensal,Static,3,F. nucleatum,5,3.0
Commensal,Static,3,F. nucleatum,6,3.8
Commensal,Static,3,F. nucleatum,7,5.0
Commensal,Static,3,F. nucleatum,8,6.2
Commensal,Static,3,F. nucleatum,9,8.0
Commensal,Static,3,P. gingivalis_20709,1,0.0
Commensal,Static,3,P. gingivalis_20709,2,0.0
Commensal,Static,3,P. gingivalis_20709,3,0.0
Commensal,Static,3,P. gingivalis_20709,4,1.2
Commensal,Static,3,P. gingivalis_20709,5,2.0
Commensal,Static,3,P. gingivalis_20709,6,2.8
Commensal,Static,3,P. gingivalis_20709,7,4.0
Commensal,Static,3,P. gingivalis_20709,8,5.2
Commensal,Static,3,P. gingivalis_20709,9,6.0
Commensal,Static,6,S. oralis,1,25.0
Commensal,Static,6,S. oralis,2,31.0
Commensal,Static,6,S. oralis,3,40.0
Commensal,Static,6,S. oralis,4,50.0
Commensal,Static,6,S. oralis,5,56.0
Commensal,Static,6,S. oralis,6,62.0
Commensal,Static,6,S. oralis,7,70.0
Commensal,Static,6,S. oralis,8,79.0
Commensal,Static,6,S. oralis,9,82.0
Commensal,Static,6,A. naeslundii,1,1.0
Commensal,Static,6,A. naeslundii,2,0.0
Commensal,Static,6,A. naeslundii,3,3.0
Commensal,Static,6,A. naeslundii,4,6.0
Commensal,Static,6,A. naeslundii,5,8.0
Commensal,Static,6,A. naeslundii,6,10.0
Commensal,Static,6,A. naeslundii,7,13.0
Commensal,Static,6,A. naeslundii,8,16.0
Commensal,Static,6,A. naeslundii,9,18.0
Commensal,Static,6,V. dispar,1,5.0
Commensal,Static,6,V. dispar,2,8.600000000000001
Commensal,Static,6,V. dispar,3,14.0
Commensal,Static,6,V. dispar,4,20.4
Commensal,Static,6,V. dispar,5,24.0
Commensal,Static,6,V. dispar,6,27.6
Commensal,Static,6,V. dispar,7,32.0
Commensal,Static,6,V. dispar,8,37.4
Commensal,Static,6,V. dispar,9,42.0
Commensal,Static,6,F. nucleatum,1,0.0
Commensal,Static,6,F. nucleatum,2,0.20000000000000018
Commensal,Static,6,F. nucleatum,3,2.0
Commensal,Static,6,F. nucleatum,4,3.8
Commensal,Static,6,F. nucleatum,5,5.0
Commensal,Static,6,F. nucleatum,6,6.2
Commensal,Static,6,F. nucleatum,7,8.0
Commensal,Static,6,F. nucleatum,8,9.8
Commensal,Static,6,F. nucleatum,9,12.0
Commensal,Static,6,P. gingivalis_20709,1,0.0
Commensal,Static,6,P. gingivalis_20709,2,0.0
Commensal,Static,6,P. gingivalis_20709,3,1.0
Commensal,Static,6,P. gingivalis_20709,4,2.2
Commensal,Static,6,P. gingivalis_20709,5,3.0
Commensal,Static,6,P. gingivalis_20709,6,3.8
Commensal,Static,6,P. gingivalis_20709,7,5.0
Commensal,Static,6,P. gingivalis_20709,8,6.2
Commensal,Static,6,P. gingivalis_20709,9,8.0
Commensal,Static,10,S. oralis,1,20.0
Commensal,Static,10,S. oralis,2,28.2
Commensal,Static,10,S. oralis,3,36.0
Commensal,Static,10,S. oralis,4,44.8
Commensal,Static,10,S. oralis,5,50.0
Commensal,Static,10,S. oralis,6,55.2
Commensal,Static,10,S. oralis,7,62.0
Commensal,Static,10,S. oralis,8,69.8
Commensal,Static,10,S. oralis,9,76.0
Commensal,Static,10,A. naeslundii,1,2.0
Commensal,Static,10,A. naeslundii,2,1.1
Commensal,Static,10,A. naeslundii,3,5.0
Commensal,Static,10,A. naeslundii,4,9.4
Commensal,Static,10,A. naeslundii,5,12.0
Commensal,Static,10,A. naeslundii,6,14.6
Commensal,Static,10,A. naeslundii,7,18.0
Commensal,Static,10,A. naeslundii,8,21.9
Commensal,Static,10,A. naeslundii,9,24.0
Commensal,Static,10,V. dispar,1,5.0
Commensal,Static,10,V. dispar,2,8.3
Commensal,Static,10,V. dispar,3,14.0
Commensal,Static,10,V. dispar,4,20.2
Commensal,Static,10,V. dispar,5,24.0
Commensal,Static,10,V. dispar,6,27.8
Commensal,Static,10,V. dispar,7,33.0
Commensal,Static,10,V. dispar,8,38.7
Commensal,Static,10,V. dispar,9,42.0
Commensal,Static,10,F. nucleatum,1,0.0
Commensal,Static,10,F. nucleatum,2,0.20000000000000018
Commensal,Static,10,F. nucleatum,3,2.0
Commensal,Static,10,F. nucleatum,4,3.8
Commensal,Static,10,F. nucleatum,5,5.0
Commensal,Static,10,F. nucleatum,6,6.2
Commensal,Static,10,F. nucleatum,7,8.0
Commensal,Static,10,F. nucleatum,8,9.8
Commensal,Static,10,F. nucleatum,9,12.0
Commensal,Static,10,P. gingivalis_20709,1,0.0
Commensal,Static,10,P. gingivalis_20709,2,0.0
Commensal,Static,10,P. gingivalis_20709,3,1.0
Commensal,Static,10,P. gingivalis_20709,4,2.2
Commensal,Static,10,P. gingivalis_20709,5,3.0
Commensal,Static,10,P. gingivalis_20709,6,3.8
Commensal,Static,10,P. gingivalis_20709,7,5.0
Commensal,Static,10,P. gingivalis_20709,8,6.2
Commensal,Static,10,P. gingivalis_20709,9,8.0
Commensal,Static,15,S. oralis,1,8.0
Commensal,Static,15,S. oralis,2,12.2
Commensal,Static,15,S. oralis,3,20.0
Commensal,Static,15,S. oralis,4,27.8
Commensal,Static,15,S. oralis,5,33.0
Commensal,Static,15,S. oralis,6,38.2
Commensal,Static,15,S. oralis,7,46.0
Commensal,Static,15,S. oralis,8,53.8
Commensal,Static,15,S. oralis,9,58.0
Commensal,Static,15,A. naeslundii,1,4.0
Commensal,Static,15,A. naeslundii,2,6.3
Commensal,Static,15,A. naeslundii,3,12.0
Commensal,Static,15,A. naeslundii,4,18.2
Commensal,Static,15,A. naeslundii,5,22.0
Commensal,Static,15,A. naeslundii,6,25.8
Commensal,Static,15,A. naeslundii,7,31.0
Commensal,Static,15,A. naeslundii,8,36.7
Commensal,Static,15,A. naeslundii,9,42.0
Commensal,Static,15,V. dispar,1,8.0
Commensal,Static,15,V. dispar,2,13.4
Commensal,Static,15,V. dispar,3,20.0
Commensal,Static,15,V. dispar,4,27.6
Commensal,Static,15,V. dispar,5,32.0
Commensal,Static,15,V. dispar,6,36.4
Commensal,Static,15,V. dispar,7,42.0
Commensal,Static,15,V. dispar,8,48.6
Commensal,Static,15,V. dispar,9,52.0
Commensal,Static,15,F. nucleatum,1,0.0
Commensal,Static,15,F. nucleatum,2,0.20000000000000018
Commensal,Static,15,F. nucleatum,3,2.0
