condition,cultivation,day,species,median,mean,std,min,max,q1,q3
Commensal,Static,1,S. oralis,17,17.22222222222222,10.100220019605734,3.0,33.0,10,24
Commensal,Static,1,A. naeslundii,1,1.1777777777777778,1.1508451001088047,0.0,3.0,0,2
Commensal,Static,1,V. dispar,79,77.44444444444444,12.401523203936593,55.0,93.0,70,86
Commensal,Static,1,F. nucleatum,1,1.1777777777777778,1.1508451001088047,0.0,3.0,0,2
Commensal,Static,1,P. gingivalis_20709,1,1.1777777777777778,1.1508451001088047,0.0,3.0,0,2
Commensal,Static,3,S. oralis,60,59.55555555555556,19.469406199927562,30.0,86.0,46,74
Commensal,Static,3,A. naeslundii,7,7.333333333333333,5.420332093147061,0.6000000000000001,16.0,3,11
Commensal,Static,3,V. dispar,24,23.88888888888889,13.385387970137852,5.0,44.0,14,33
Commensal,Static,3,F. nucleatum,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Commensal,Static,3,P. gingivalis_20709,2,2.3555555555555556,2.3016902002176094,0.0,6.0,0,4
Commensal,Static,6,S. oralis,56,55.0,20.328551350256124,25.0,82.0,40,70
Commensal,Static,6,A. naeslundii,8,8.333333333333334,6.461423991660043,0.0,18.0,3,13
Commensal,Static,6,V. dispar,24,23.444444444444443,12.692823869327809,5.0,42.0,14,32
Commensal,Static,6,F. nucleatum,5,5.222222222222222,4.190995638800456,0.0,12.0,2,8
Commensal,Static,6,P. gingivalis_20709,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Commensal,Static,10,S. oralis,50,49.111111111111114,18.809069916163082,20.0,76.0,36,62
Commensal,Static,10,A. naeslundii,12,12.0,8.361668493787588,1.1,24.0,5,18
Commensal,Static,10,V. dispar,24,23.666666666666668,13.021424653239752,5.0,42.0,14,33
Commensal,Static,10,F. nucleatum,5,5.222222222222222,4.190995638800456,0.0,12.0,2,8
Commensal,Static,10,P. gingivalis_20709,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Commensal,Static,15,S. oralis,33,33.0,17.70367193550536,8.0,58.0,20,46
Commensal,Static,15,A. naeslundii,22,22.0,13.21202104146069,4.0,42.0,12,31
Commensal,Static,15,V. dispar,32,31.11111111111111,15.301670206585657,8.0,52.0,20,42
Commensal,Static,15,F. nucleatum,5,5.222222222222222,4.190995638800456,0.0,12.0,2,8
Commensal,Static,15,P. gingivalis_20709,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Commensal,Static,21,S. oralis,28,28.22222222222222,16.320675367289322,6.0,52.0,16,40
Commensal,Static,21,A. naeslundii,27,26.88888888888889,15.802803900292856,5.0,50.0,15,38
Commensal,Static,21,V. dispar,28,28.0,13.892443989449804,8.0,48.0,18,38
Commensal,Static,21,F. nucleatum,6,6.266666666666667,5.165268628057984,0.0,14.0,2,10
Commensal,Static,21,P. gingivalis_20709,4,4.311111111111111,3.7257363179794556,0.0,10.0,1,7
Commensal,HOBIC,1,S. oralis,68,66.0,19.90678276367128,34.0,92.0,52,80
Commensal,HOBIC,1,A. naeslundii,4,5.011111111111111,4.859641047558051,0.0,14.0,1,8
Commensal,HOBIC,1,V. dispar,11,11.577777777777778,9.23387483370034,0.0,26.0,4,18
Commensal,HOBIC,1,F. nucleatum,8,8.7,7.2866315949140725,0.0,20.0,3,14
Commensal,HOBIC,1,P. gingivalis_20709,2,1.9888888888888887,1.8141419765583704,0.0,5.0,0,3
Commensal,HOBIC,3,S. oralis,82,79.22222222222223,16.833432342943148,50.0,99.2,68,92
Commensal,HOBIC,3,A. naeslundii,2,1.9888888888888887,1.8141419765583704,0.0,5.0,0,3
Commensal,HOBIC,3,V. dispar,8,8.81111111111111,7.143606309918759,0.0,20.0,3,14
Commensal,HOBIC,3,F. nucleatum,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Commensal,HOBIC,3,P. gingivalis_20709,2,1.9888888888888887,1.8141419765583704,0.0,5.0,0,3
Commensal,HOBIC,6,S. oralis,60,58.888888888888886,20.51489973436651,28.0,86.0,44,74
Commensal,HOBIC,6,A. naeslundii,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Commensal,HOBIC,6,V. dispar,22,22.0,13.21202104146069,4.0,42.0,12,31
Commensal,HOBIC,6,F. nucleatum,5,5.222222222222222,4.190995638800456,0.0,12.0,2,8
Commensal,HOBIC,6,P. gingivalis_20709,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Commensal,HOBIC,10,S. oralis,46,45.111111111111114,18.809069916163082,16.0,72.0,32,58
