_source,species,median,condition,cultivation,damaged,day,q3,error,whisker_high,fliers,range,q1,intact,whisker_low,iqr
biofilm_boxplot_data.csv,,0.42,Commensal,Static,,1,0.48,,0.58,0.9,,0.32,,0.18,
biofilm_boxplot_data.csv,,0.3,Commensal,Static,,3,0.36,,0.5,0.57,,0.25,,0.18,
biofilm_boxplot_data.csv,,0.34,Commensal,Static,,6,0.4,,0.57,0.64,,0.28,,0.2,
biofilm_boxplot_data.csv,,0.3,Commensal,Static,,10,0.41,,0.58,,,0.2,,0.15,
biofilm_boxplot_data.csv,,0.29,Commensal,Static,,15,0.36,,0.56,,,0.22,,0.1,
biofilm_boxplot_data.csv,,0.28,Commensal,Static,,21,0.36,,0.52,,,0.2,,0.12,
biofilm_barplot_data.csv,,,Commensal,Static,34,1,,8,,,,,66,,
biofilm_barplot_data.csv,,,Commensal,Static,23,3,,6,,,,,77,,
biofilm_barplot_data.csv,,,Commensal,Static,35,6,,7,,,,,65,,
biofilm_barplot_data.csv,,,Commensal,Static,35,10,,18,,,,,65,,
biofilm_barplot_data.csv,,,Commensal,Static,31,15,,19,,,,,69,,
biofilm_barplot_data.csv,,,Commensal,Static,34,21,,15,,,,,66,,
species_distribution_data.csv,Blue,18,Commensal,Static,,1,,,,,10,,,,10
species_distribution_data.csv,Blue,70,Commensal,Static,,3,,,,,20,,,,40
species_distribution_data.csv,Blue,75,Commensal,Static,,6,,,,,15,,,,20
species_distribution_data.csv,Blue,70,Commensal,Static,,10,,,,,15,,,,20
species_distribution_data.csv,Blue,38,Commensal,Static,,15,,,,,8,,,,10
species_distribution_data.csv,Blue,35,Commensal,Static,,21,,,,,10,,,,15
species_distribution_data.csv,Green,0.5,Commensal,Static,,1,,,,,0.5,,,,0.5
species_distribution_data.csv,Green,8,Commensal,Static,,3,,,,,5,,,,5
species_distribution_data.csv,Green,5,Commensal,Static,,6,,,,,3,,,,3
species_distribution_data.csv,Green,10,Commensal,Static,,10,,,,,5,,,,5
species_distribution_data.csv,Green,25,Commensal,Static,,15,,,,,10,,,,15
species_distribution_data.csv,Green,35,Commensal,Static,,21,,,,,20,,,,30
species_distribution_data.csv,Yellow,83,Commensal,Static,,1,,,,,8,,,,10
species_distribution_data.csv,Yellow,20,Commensal,Static,,3,,,,,20,,,,40
species_distribution_data.csv,Yellow,20,Commensal,Static,,6,,,,,15,,,,25
species_distribution_data.csv,Yellow,25,Commensal,Static,,10,,,,,10,,,,15
species_distribution_data.csv,Yellow,40,Commensal,Static,,15,,,,,15,,,,20
species_distribution_data.csv,Yellow,30,Commensal,Static,,21,,,,,15,,,,25
species_distribution_data.csv,Purple,0.5,Commensal,Static,,1,,,,,0.5,,,,0.5
species_distribution_data.csv,Purple,0.5,Commensal,Static,,3,,,,,0.5,,,,0.5
species_distribution_data.csv,Purple,0.5,Commensal,Static,,6,,,,,0.5,,,,0.5
species_distribution_data.csv,Purple,0.5,Commensal,Static,,10,,,,,0.5,,,,0.5
species_distribution_data.csv,Purple,0.5,Commensal,Static,,15,,,,,0.5,,,,0.5
species_distribution_data.csv,Purple,0.5,Commensal,Static,,21,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,0.5,Commensal,Static,,1,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,0.5,Commensal,Static,,3,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,0.5,Commensal,Static,,6,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,0.5,Commensal,Static,,10,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,0.5,Commensal,Static,,15,,,,,0.5,,,,0.5
species_distribution_data.csv,Red,0.5,Commensal,Static,,21,,,,,0.5,,,,0.5
