_source,species,median,condition,cultivation,damaged,day,q3,error,whisker_high,fliers,range,q1,intact,whisker_low,iqr
biofilm_boxplot_data.csv,,0.4,Dysbiotic,Static,,1,0.45,,0.55,,,0.35,,0.2,
biofilm_boxplot_data.csv,,0.35,Dysbiotic,Static,,3,0.4,,0.5,0.75,,0.3,,0.25,
biofilm_boxplot_data.csv,,0.38,Dysbiotic,Static,,6,0.55,,0.78,,,0.3,,0.2,
biofilm_boxplot_data.csv,,0.3,Dysbiotic,Static,,10,0.55,,0.6,,,0.1,,0.05,
biofilm_boxplot_data.csv,,0.6,Dysbiotic,Static,,15,0.8,,0.98,,,0.3,,0.1,
biofilm_boxplot_data.csv,,0.55,Dysbiotic,Static,,21,0.7,,0.9,,,0.1,,0.05,
biofilm_barplot_data.csv,,,Dysbiotic,Static,3,1,,2,,,,,97,,
biofilm_barplot_data.csv,,,Dysbiotic,Static,15,3,,10,,,,,85,,
biofilm_barplot_data.csv,,,Dysbiotic,Static,48,6,,10,,,,,52,,
biofilm_barplot_data.csv,,,Dysbiotic,Static,43,10,,8,,,,,57,,
biofilm_barplot_data.csv,,,Dysbiotic,Static,49,15,,10,,,,,51,,
biofilm_barplot_data.csv,,,Dysbiotic,Static,53,21,,8,,,,,47,,
species_distribution_data.csv,Blue,15,Dysbiotic,Static,,1,,,,,5,,,,5
species_distribution_data.csv,Blue,2,Dysbiotic,Static,,3,,,,,2,,,,2
species_distribution_data.csv,Blue,2,Dysbiotic,Static,,6,,,,,2,,,,2
species_distribution_data.csv,Blue,1,Dysbiotic,Static,,10,,,,,1,,,,1
species_distribution_data.csv,Blue,1,Dysbiotic,Static,,15,,,,,1,,,,1
species_distribution_data.csv,Blue,1,Dysbiotic,Static,,21,,,,,1,,,,1
species_distribution_data.csv,Green,8,Dysbiotic,Static,,1,,,,,3,,,,5
species_distribution_data.csv,Green,5,Dysbiotic,Static,,3,,,,,3,,,,5
species_distribution_data.csv,Green,5,Dysbiotic,Static,,6,,,,,3,,,,5
species_distribution_data.csv,Green,1,Dysbiotic,Static,,10,,,,,1,,,,1
species_distribution_data.csv,Green,5,Dysbiotic,Static,,15,,,,,3,,,,5
species_distribution_data.csv,Green,14,Dysbiotic,Static,,21,,,,,4,,,,5
species_distribution_data.csv,Orange,60,Dysbiotic,Static,,1,,,,,15,,,,10
species_distribution_data.csv,Orange,62,Dysbiotic,Static,,3,,,,,10,,,,15
species_distribution_data.csv,Orange,62,Dysbiotic,Static,,6,,,,,20,,,,15
species_distribution_data.csv,Orange,60,Dysbiotic,Static,,10,,,,,10,,,,15
species_distribution_data.csv,Orange,45,Dysbiotic,Static,,15,,,,,15,,,,30
species_distribution_data.csv,Orange,38,Dysbiotic,Static,,21,,,,,5,,,,10
species_distribution_data.csv,Purple,5,Dysbiotic,Static,,1,,,,,2,,,,5
species_distribution_data.csv,Purple,6,Dysbiotic,Static,,3,,,,,3,,,,5
species_distribution_data.csv,Purple,12,Dysbiotic,Static,,6,,,,,5,,,,5
species_distribution_data.csv,Purple,14,Dysbiotic,Static,,10,,,,,5,,,,5
species_distribution_data.csv,Purple,20,Dysbiotic,Static,,15,,,,,10,,,,15
species_distribution_data.csv,Purple,22,Dysbiotic,Static,,21,,,,,5,,,,5
species_distribution_data.csv,Red,10,Dysbiotic,Static,,1,,,,,10,,,,10
species_distribution_data.csv,Red,8,Dysbiotic,Static,,3,,,,,10,,,,15
species_distribution_data.csv,Red,22,Dysbiotic,Static,,6,,,,,25,,,,20
species_distribution_data.csv,Red,28,Dysbiotic,Static,,10,,,,,15,,,,25
species_distribution_data.csv,Red,20,Dysbiotic,Static,,15,,,,,30,,,,40
species_distribution_data.csv,Red,30,Dysbiotic,Static,,21,,,,,5,,,,10
