condition,cultivation,day,replicate,biofilm_volume_x1e6
Commensal,Static,1,1,0.1824
Commensal,Static,1,2,0.2953
Commensal,Static,1,3,0.3231
Commensal,Static,1,4,0.4193
Commensal,Static,1,5,0.4269
Commensal,Static,1,6,0.4789
Commensal,Static,1,7,0.5116
Commensal,Static,1,8,0.5837
Commensal,Static,1,9,0.9
Commensal,Static,3,1,0.1785
Commensal,Static,3,2,0.2353
Commensal,Static,3,3,0.2485
Commensal,Static,3,4,0.293
Commensal,Static,3,5,0.3063
Commensal,Static,3,6,0.3537
Commensal,Static,3,7,0.3708
Commensal,Static,3,8,0.4981
Commensal,Static,3,9,0.57
Commensal,Static,6,1,0.1964
Commensal,Static,6,2,0.2631
Commensal,Static,6,3,0.2767
Commensal,Static,6,4,0.3289
Commensal,Static,6,5,0.3513
Commensal,Static,6,6,0.3992
Commensal,Static,6,7,0.4182
Commensal,Static,6,8,0.5649
Commensal,Static,6,9,0.64
Commensal,Static,10,1,0.1466
Commensal,Static,10,2,0.1692
Commensal,Static,10,3,0.1927
Commensal,Static,10,4,0.2919
Commensal,Static,10,5,0.3067
Commensal,Static,10,6,0.4082
Commensal,Static,10,7,0.4377
Commensal,Static,10,8,0.5917
Commensal,Static,15,1,0.0999
Commensal,Static,15,2,0.1946
Commensal,Static,15,3,0.2235
Commensal,Static,15,4,0.2779
Commensal,Static,15,5,0.2979
Commensal,Static,15,6,0.3518
Commensal,Static,15,7,0.3754
Commensal,Static,15,8,0.5608
Commensal,Static,21,1,0.1235
Commensal,Static,21,2,0.1768
Commensal,Static,21,3,0.1994
Commensal,Static,21,4,0.2706
Commensal,Static,21,5,0.2809
Commensal,Static,21,6,0.3565
Commensal,Static,21,7,0.3818
Commensal,Static,21,8,0.5251
Commensal,HOBIC,1,1,0.2021
Commensal,HOBIC,1,2,0.3594
Commensal,HOBIC,1,3,0.4019
Commensal,HOBIC,1,4,0.4877
Commensal,HOBIC,1,5,0.5059
Commensal,HOBIC,1,6,0.6037
Commensal,HOBIC,1,7,0.6362
Commensal,HOBIC,1,8,0.8056
Commensal,HOBIC,1,9,0.92
Commensal,HOBIC,3,1,0.045
Commensal,HOBIC,3,2,0.0681
Commensal,HOBIC,3,3,0.102
Commensal,HOBIC,3,4,0.1459
Commensal,HOBIC,3,5,0.1571
Commensal,HOBIC,3,6,0.2989
Commensal,HOBIC,3,7,0.3234
Commensal,HOBIC,3,8,0.6428
Commensal,HOBIC,6,1,0.0537
Commensal,HOBIC,6,2,0.1336
Commensal,HOBIC,6,3,0.1497
Commensal,HOBIC,6,4,0.197
Commensal,HOBIC,6,5,0.2091
Commensal,HOBIC,6,6,0.2971
Commensal,HOBIC,6,7,0.3241
Commensal,HOBIC,6,8,0.4569
Commensal,HOBIC,10,1,0.1498
Commensal,HOBIC,10,2,0.2263
Commensal,HOBIC,10,3,0.2319
Commensal,HOBIC,10,4,0.3442
Commensal,HOBIC,10,5,0.3621
Commensal,HOBIC,10,6,0.4779
Commensal,HOBIC,10,7,0.5151
Commensal,HOBIC,10,8,0.5363
Commensal,HOBIC,15,1,0.1982
Commensal,HOBIC,15,2,0.2124
Commensal,HOBIC,15,3,0.262
Commensal,HOBIC,15,4,0.3623
Commensal,HOBIC,15,5,0.387
Commensal,HOBIC,15,6,0.5159
Commensal,HOBIC,15,7,0.5679
Commensal,HOBIC,15,8,0.7027
Commensal,HOBIC,21,1,0.1765
Commensal,HOBIC,21,2,0.2504
Commensal,HOBIC,21,3,0.2806
