day,Enterobacteriaceae,Blautia,Barnesiella,unc_Mollicutes,Lachnospiraceae,Akkermansia,Clostridium_difficile,unc_Lachnospiraceae,Coprobacillus,Enterococcus,Other
0.0,0.000601,0.001804,0.299741,0.005412,0.226084,0.000902,0.000000,0.109132,0.000601,0.000076,0.355647
2.0,0.996046,0.000171,0.000218,0.000234,0.000244,0.000034,0.000036,0.000063,0.000205,0.000062,0.002687
3.0,0.978373,0.000272,0.000242,0.000261,0.000149,0.000038,0.000816,0.001088,0.015227,0.001632,0.001903
4.0,0.654804,0.003458,0.000237,0.000532,0.001330,0.000532,0.260649,0.000266,0.041223,0.017022,0.019947
5.0,0.798543,0.029689,0.000228,0.001024,0.001024,0.000256,0.130779,0.000066,0.011518,0.016380,0.010494
6.0,0.678232,0.046199,0.000438,0.008847,0.000269,0.002457,0.207897,0.000127,0.004915,0.035385,0.015235
7.0,0.877940,0.068670,0.000293,0.000315,0.000180,0.000329,0.049613,0.000085,0.000276,0.001314,0.000986
12.0,0.730799,0.089052,0.000256,0.153396,0.000287,0.000040,0.019534,0.000074,0.000242,0.002011,0.004309
16.0,0.391988,0.325767,0.000239,0.106715,0.000147,0.000037,0.166769,0.000069,0.000225,0.001072,0.006971
23.0,0.267686,0.178636,0.000238,0.388195,0.000146,0.000037,0.150105,0.000069,0.000224,0.003199,0.011465
