model,chain,stage,beta
M1,1,0,0.0
M1,1,1,0.02
M1,1,2,0.07
M1,1,3,0.12000000000000001
M1,1,4,0.17
M1,1,5,0.22000000000000003
M1,1,6,0.27
M1,1,7,0.3051064693927765
M1,1,8,0.3551064693927765
M1,1,9,0.4051064693927765
M1,1,10,0.4551064693927765
M1,1,11,0.5051064693927765
M1,1,12,0.5551064693927765
M1,1,13,0.6051064693927766
M1,1,14,0.6551064693927766
M1,1,15,0.7051064693927767
M1,1,16,0.7551064693927767
M1,1,17,0.8051064693927767
M1,1,18,0.8551064693927768
M1,1,19,0.9051064693927768
M1,1,20,0.9551064693927769
M1,1,21,0.9999999986620686
M1,1,22,1.0
