model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
M1,1,1,0.0,0.02,0.02,500.1753053852816,500.0,0.5318,-531.9272688319999,20.26191231960438,0,nan,nan,nan
M1,1,2,0.02,0.07,0.05,500.00007807946656,500.0,0.244,-65.64531719441229,27.82223468720108,0,nan,nan,nan
M1,1,3,0.07,0.12000000000000001,0.05,500.0000224590738,500.0,0.1932,-31.38225611392383,45.37446475481111,0,nan,nan,nan
M1,1,4,0.12000000000000001,0.17,0.05,500.00004989391755,500.0,0.1418,-25.420707895106986,62.887451467447946,0,nan,nan,nan
M1,1,5,0.17,0.22000000000000003,0.05,500.000007955494,500.0,0.0792,-0.7711557992744864,90.94809718995906,0,nan,nan,nan
M1,1,6,0.22000000000000003,0.27,0.05,500.00007235520826,500.0,0.1272,10.716442286574175,126.11938355445446,0,nan,nan,nan
M1,1,7,0.27,0.3051064693927765,0.03510646939277649,500.00026760727843,500.0,0.0674,17.834275267425017,126.11938355445446,0,nan,nan,nan
M1,1,8,0.3051064693927765,0.3551064693927765,0.05,500.0000121262118,500.0,0.0448,32.82960329875856,126.66146751861153,0,nan,nan,nan
M1,1,9,0.3551064693927765,0.4051064693927765,0.05,500.00001349469983,500.0,0.0456,59.100620631637284,126.95107452512347,0,nan,nan,nan
M1,1,10,0.4051064693927765,0.4551064693927765,0.05,500.0000188397692,500.0,0.0462,83.43928678434793,128.1135544209315,0,nan,nan,nan
M1,1,11,0.4551064693927765,0.5051064693927765,0.05,500.0000064654329,500.0,0.0464,98.79677820457775,128.1135544209315,0,nan,nan,nan
M1,1,12,0.5051064693927765,0.5551064693927765,0.05,500.0000040603145,500.0,0.056,106.96526382437949,128.1135544209315,0,0.0,nan,2.3027875477563398
M1,1,13,0.5551064693927765,0.6051064693927766,0.05,590.2196493289074,500.0,0.0438,102.52979994730953,128.1135544209315,0,nan,nan,nan
M1,1,14,0.6051064693927766,0.6551064693927766,0.05,657.7687794806045,500.0,0.0632,112.81343165028923,127.96660718825987,0,nan,nan,nan
M1,1,15,0.6551064693927766,0.7051064693927767,0.05,764.3675620658222,500.0,0.0534,112.81343165028923,127.96660718825987,0,0.0,nan,2.2510838647186384
M1,1,16,0.7051064693927767,0.7551064693927767,0.05,825.7464343667189,500.0,0.066,114.43293273827997,128.15385222867718,0,nan,nan,nan
M1,1,17,0.7551064693927767,0.8051064693927767,0.05,875.040608035492,500.0,0.0616,110.42504612277163,128.15385222867718,0,nan,nan,nan
M1,1,18,0.8051064693927767,0.8551064693927768,0.05,917.8474349055494,500.0,0.0736,114.39575867344196,127.97175952868868,0,0.0,nan,2.148342711177237
M1,1,19,0.8551064693927768,0.9051064693927768,0.05,955.1318460934958,500.0,0.0748,114.22022493391069,128.12108132285152,0,nan,nan,nan
M1,1,20,0.9051064693927768,0.9551064693927769,0.05,978.6055276876929,500.0,0.0832,117.5050305115467,128.12108132285152,0,nan,nan,nan
M1,1,21,0.9551064693927769,0.9999999986620686,0.044893529269291646,995.700822390232,500.0,0.0858,118.48699596913247,128.12108132285152,0,0.0,nan,2.3717318093080806
M1,1,22,0.9999999986620686,1.0,1.337931432310313e-09,1000.0000000000002,500.0,0.0816,118.48699596913247,128.12108132285152,0,nan,nan,nan
