model,chain,stage,beta
M1,1,0,0.0
M1,1,1,0.02
M1,1,2,0.07
M1,1,3,0.12000000000000001
M1,1,4,0.17
M1,1,5,0.22000000000000003
M1,1,6,0.27
M1,1,7,0.3038811451196671
M1,1,8,0.35388114511966706
M1,1,9,0.40388114511966705
M1,1,10,0.45388114511966704
M1,1,11,0.5038811451196671
M1,1,12,0.5538811451196671
M1,1,13,0.6038811451196672
M1,1,14,0.6538811451196672
M1,1,15,0.7038811451196673
M1,1,16,0.7538811451196673
M1,1,17,0.8038811451196674
M1,1,18,0.8538811451196674
M1,1,19,0.9038811451196674
M1,1,20,0.9538811451196675
M1,1,21,0.999999998625551
M1,1,22,1.0
