model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
M1,1,1,0.0,0.02,0.02,500.14989041171776,500.0,0.5356,-510.01734583909655,31.86587923307221,0,nan,nan,nan
M1,1,2,0.02,0.07,0.05,500.00001360097673,500.0,0.248,-30.47216367950303,39.51088860817347,0,nan,nan,nan
M1,1,3,0.07,0.12000000000000001,0.05,500.00003759671716,500.0,0.2076,-18.251270355551664,55.325041970786614,0,nan,nan,nan
M1,1,4,0.12000000000000001,0.17,0.05,500.0000182374721,500.0,0.1254,-10.037204701389307,70.86854416903186,0,nan,nan,nan
M1,1,5,0.17,0.22000000000000003,0.05,500.00017957895466,500.0,0.0824,7.892213177608109,97.52143725350332,0,nan,nan,nan
M1,1,6,0.22000000000000003,0.27,0.05,500.0002821965206,500.0,0.1162,25.672592865151067,125.24357892239694,0,nan,nan,nan
M1,1,7,0.27,0.3092856949567795,0.03928569495677947,500.0003302486084,500.0,0.055,37.2171439565374,126.26332650377326,0,nan,nan,nan
M1,1,8,0.3092856949567795,0.3592856949567795,0.05,500.0000111729853,500.0,0.0464,56.11419675496013,126.26332650377326,0,nan,nan,nan
M1,1,9,0.3592856949567795,0.40928569495677947,0.05,500.000004988711,500.0,0.0444,63.588567002638726,126.62418892701244,0,nan,nan,nan
M1,1,10,0.40928569495677947,0.45928569495677946,0.05,500.0000178836515,500.0,0.0496,89.17584247544428,126.8456214926983,0,nan,nan,nan
M1,1,11,0.45928569495677946,0.5092856949567794,0.05,500.0000202707128,500.0,0.0376,100.76931463042497,126.8456214926983,0,nan,nan,nan
M1,1,12,0.5092856949567794,0.5592856949567795,0.05,500.00000184694557,500.0,0.0606,102.83194081710798,127.2074637704438,0,0.0,nan,2.148335021493055
M1,1,13,0.5592856949567795,0.6092856949567795,0.05,500.00000083584854,500.0,0.0468,104.3388361199412,127.86424789336894,0,nan,nan,nan
M1,1,14,0.6092856949567795,0.6592856949567796,0.05,564.8292598402174,500.0,0.0518,106.83124657170637,127.86424789336894,0,nan,nan,nan
M1,1,15,0.6592856949567796,0.7092856949567796,0.05,650.180849964219,500.0,0.0508,113.06772482231584,127.86424789336894,0,0.0,nan,2.324968405918762
M1,1,16,0.7092856949567796,0.7592856949567797,0.05,750.6460632025352,500.0,0.056,113.66534651586308,127.86424789336894,0,nan,nan,nan
M1,1,17,0.7592856949567797,0.8092856949567797,0.05,821.5687757677351,500.0,0.06,110.73449286996065,127.86424789336894,0,nan,nan,nan
M1,1,18,0.8092856949567797,0.8592856949567798,0.05,892.647598217846,500.0,0.0574,116.7836197248657,127.86424789336894,0,0.0,nan,2.324968405918762
M1,1,19,0.8592856949567798,0.9092856949567798,0.05,943.0062165722039,500.0,0.0604,117.11028657354886,127.93321816569217,0,nan,nan,nan
M1,1,20,0.9092856949567798,0.9592856949567798,0.05,979.2687460869079,500.0,0.0652,116.98051118348069,128.11460000187373,0,nan,nan,nan
M1,1,21,0.9592856949567798,0.9999999987866192,0.040714303829839316,995.8517295131637,500.0,0.0716,118.48197886952471,127.96428706900377,0,0.0,nan,2.214205345276526
M1,1,22,0.9999999987866192,1.0,1.213380840248135e-09,1000.0,500.0,0.0674,118.07853444501362,127.89018372874261,0,nan,nan,nan
