model,chain,stage,accept_rate
M1,1,0,0.827
M1,1,1,0.5008
M1,1,2,0.1962
M1,1,3,0.2608
M1,1,4,0.1314
M1,1,5,0.5052
M1,1,6,0.3582
M1,1,7,0.5524
M1,1,8,0.4864
M1,1,9,0.2474
M1,1,10,0.2988
M1,1,11,0.2946
M1,1,12,0.2644
M1,1,13,0.3456
M1,1,14,0.3266
M1,1,15,0.3888
M1,1,16,0.2566
M1,1,17,0.3256
M1,1,18,0.4646
M1,1,19,0.3636
M1,1,20,0.2566
M1,1,21,0.297
M1,1,22,0.2414
M1,1,23,0.2992
M1,1,24,0.1988
M1,1,25,0.255
M1,1,26,0.2752
M1,1,27,0.352
M1,1,28,0.404
M1,1,29,0.434
M1,1,30,0.2472
M1,1,31,0.3472
M1,1,32,0.2728
M1,1,33,0.2472
M1,1,34,0.2732
M1,1,35,0.2944
M1,1,36,0.5294
M1,1,37,0.4814
M1,1,38,0.4392
M1,1,39,0.404
M1,1,40,0.2818
M1,1,41,0.3844
M1,1,42,0.2824
M1,1,43,0.2278
M1,1,44,0.201
M1,1,45,0.237
M1,1,46,0.1534
M1,1,47,0.0894
M1,1,48,0.0832
