model,chain,stage,beta
M1,1,0,0.0
M1,1,1,0.02
M1,1,2,0.04
M1,1,3,0.06
M1,1,4,0.08
M1,1,5,0.1
M1,1,6,0.12000000000000001
M1,1,7,0.14
M1,1,8,0.16
M1,1,9,0.18
M1,1,10,0.19999999999999998
M1,1,11,0.21999999999999997
M1,1,12,0.23999999999999996
M1,1,13,0.25999999999999995
M1,1,14,0.27999999999999997
M1,1,15,0.3
M1,1,16,0.32
M1,1,17,0.34
M1,1,18,0.36000000000000004
M1,1,19,0.38000000000000006
M1,1,20,0.4000000000000001
M1,1,21,0.4200000000000001
M1,1,22,0.4400000000000001
M1,1,23,0.46000000000000013
M1,1,24,0.48000000000000015
M1,1,25,0.5000000000000001
M1,1,26,0.5200000000000001
M1,1,27,0.5400000000000001
M1,1,28,0.5600000000000002
M1,1,29,0.5800000000000002
M1,1,30,0.6000000000000002
M1,1,31,0.6200000000000002
M1,1,32,0.6400000000000002
M1,1,33,0.6600000000000003
M1,1,34,0.6800000000000003
M1,1,35,0.7000000000000003
M1,1,36,0.7200000000000003
M1,1,37,0.7400000000000003
M1,1,38,0.7862375771999361
M1,1,39,0.8062375771999362
M1,1,40,0.8262375771999362
M1,1,41,0.8462375771999362
M1,1,42,0.8662375771999362
M1,1,43,0.8862375771999362
M1,1,44,0.9062375771999363
M1,1,45,0.9262375771999363
M1,1,46,0.9462375771999363
M1,1,47,0.9662375771999363
M1,1,48,0.9921636890109147
M1,1,49,1.0
