model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
M1,1,1,0.0,0.02,0.02,530.7173546511702,500.0,0.827,-38193.16921918906,-37855.39862239197,0,nan,nan,nan
M1,1,2,0.02,0.04,0.02,500.0006160129223,500.0,0.5008,-38081.438627922595,-36127.94223098285,0,nan,nan,nan
M1,1,3,0.04,0.06,0.02,500.00247474057693,500.0,0.1962,-36463.74767608741,-35201.3251235363,0,nan,nan,nan
M1,1,4,0.06,0.08,0.02,500.0030031109585,500.0,0.2608,-35647.43036417386,-33937.47842585012,0,nan,nan,nan
M1,1,5,0.08,0.1,0.02,500.00464583732565,500.0,0.1314,-34202.386877873694,-32925.39248386169,0,nan,nan,nan
M1,1,6,0.1,0.12000000000000001,0.02,500.0090781138693,500.0,0.5052,-33158.77450978638,-32633.82471256162,0,nan,nan,nan
M1,1,7,0.12000000000000001,0.14,0.02,500.0000693256551,500.0,0.3582,-32945.448348894286,-30747.3825541156,0,nan,nan,nan
M1,1,8,0.14,0.16,0.02,500.0113878226698,500.0,0.5524,-30764.234936531564,-30411.642810702313,0,nan,nan,nan
M1,1,9,0.16,0.18,0.02,500.0002060862977,500.0,0.4864,-30696.159130320983,-28677.300241000834,0,nan,nan,nan
M1,1,10,0.18,0.19999999999999998,0.02,500.00744243985366,500.0,0.2474,-29035.356666377298,-27679.86887826568,0,nan,nan,nan
M1,1,11,0.19999999999999998,0.21999999999999997,0.02,500.0034648475331,500.0,0.2988,-28031.419724786316,-26476.328588828295,0,nan,nan,nan
M1,1,12,0.21999999999999997,0.23999999999999996,0.02,500.0040844784965,500.0,0.2946,-26815.952526615652,-25219.66868266871,0,nan,nan,nan
M1,1,13,0.23999999999999996,0.25999999999999995,0.02,500.0052461414543,500.0,0.2644,-25517.170648181916,-24973.000163627556,0,nan,nan,nan
M1,1,14,0.25999999999999995,0.27999999999999997,0.02,500.00055687220737,500.0,0.3456,-25223.245468962174,-23629.77173193453,0,nan,nan,nan
M1,1,15,0.27999999999999997,0.3,0.02,500.00396192389314,500.0,0.3266,-23971.152786261457,-23343.277075063623,0,nan,nan,nan
M1,1,16,0.3,0.32,0.02,500.0014467105292,500.0,0.3888,-23627.002739759242,-22038.242789076914,0,nan,nan,nan
M1,1,17,0.32,0.34,0.02,500.00449485366397,500.0,0.2566,-22456.727428728685,-21711.074016824132,0,nan,nan,nan
M1,1,18,0.34,0.36000000000000004,0.02,500.0006095583102,500.0,0.3256,-22039.71302819106,-20119.214592031243,0,nan,nan,nan
M1,1,19,0.36000000000000004,0.38000000000000006,0.02,500.00268739976144,500.0,0.4646,-20419.393066072025,-19819.33136665015,0,nan,nan,nan
M1,1,20,0.38000000000000006,0.4000000000000001,0.02,500.0000482787561,500.0,0.3636,-20110.55198197473,-18731.40533709218,0,nan,nan,nan
M1,1,21,0.4000000000000001,0.4200000000000001,0.02,500.0004702877472,500.0,0.2566,-19041.09941691617,-18209.76926613904,0,nan,nan,nan
M1,1,22,0.4200000000000001,0.4400000000000001,0.02,500.00011632477595,500.0,0.297,-18730.19652131622,-17159.573713999103,0,nan,nan,nan
M1,1,23,0.4400000000000001,0.46000000000000013,0.02,500.0004883648574,500.0,0.2414,-17649.125019251827,-16693.219053430737,0,nan,nan,nan
M1,1,24,0.46000000000000013,0.48000000000000015,0.02,500.0011208189476,500.0,0.2992,-17129.21676757819,-15534.904058971995,0,nan,nan,nan
M1,1,25,0.48000000000000015,0.5000000000000001,0.02,500.0017473880027,500.0,0.1988,-15893.39037343534,-14893.276017488875,0,nan,nan,nan
M1,1,26,0.5000000000000001,0.5200000000000001,0.02,500.0020996229195,500.0,0.255,-15369.615426209934,-12610.478725576357,0,nan,nan,nan
M1,1,27,0.5200000000000001,0.5400000000000001,0.02,500.004171914149,500.0,0.2752,-12859.324659291398,-11922.043590728023,0,0.0,nan,2.0424190080111453
M1,1,28,0.5400000000000001,0.5600000000000002,0.02,500.00111084928676,500.0,0.352,-12463.179881753682,-10800.073526907569,0,nan,nan,nan
M1,1,29,0.5600000000000002,0.5800000000000002,0.02,500.00153744930026,500.0,0.404,-11197.946756408279,-10228.247152907616,0,nan,nan,nan
M1,1,30,0.5800000000000002,0.6000000000000002,0.02,500.0003857743349,500.0,0.434,-10630.173722800442,-8977.289598625764,0,0.0,nan,2.2582420908813274
M1,1,31,0.6000000000000002,0.6200000000000002,0.02,500.00225722709024,500.0,0.2472,-9344.981568805057,-8527.205649888201,0,nan,nan,nan
M1,1,32,0.6200000000000002,0.6400000000000002,0.02,500.0001378105589,500.0,0.3472,-8977.289598625764,-7218.092017078419,0,nan,nan,nan
M1,1,33,0.6400000000000002,0.6600000000000003,0.02,500.00194042574253,500.0,0.2728,-7535.200661922447,-6789.929342790203,0,0.0,nan,2.7121872370771896
M1,1,34,0.6600000000000003,0.6800000000000003,0.02,500.00040565869233,500.0,0.2472,-7218.092017078419,-5465.027766489702,0,nan,nan,nan
M1,1,35,0.6800000000000003,0.7000000000000003,0.02,500.00271490175095,500.0,0.2732,-5714.965696091237,-5210.988043334088,0,nan,nan,nan
M1,1,36,0.7000000000000003,0.7200000000000003,0.02,500.0000722230062,500.0,0.2944,-5475.859734096283,-3776.0692135055174,0,0.0,nan,1.927667187881151
M1,1,37,0.7200000000000003,0.7400000000000003,0.02,500.00354465403944,500.0,0.5294,-3780.5070267498913,-3695.10572731706,0,nan,nan,nan
M1,1,38,0.7400000000000003,0.7862375771999361,0.04623757719993586,500.0000137940563,500.0,0.4814,-3772.983272806006,-3542.3070673092407,0,nan,nan,nan
M1,1,39,0.7862375771999361,0.8062375771999362,0.02,500.00014309180636,500.0,0.4392,-3739.482168510699,-3135.753060333141,0,0.0,nan,1.9271533192620653
M1,1,40,0.8062375771999362,0.8262375771999362,0.02,500.00037718037964,500.0,0.404,-3530.4300046125586,-2409.668037571413,0,nan,nan,nan
M1,1,41,0.8262375771999362,0.8462375771999362,0.02,500.0005829365847,500.0,0.2818,-2834.3791232418666,-1826.3458101159404,0,nan,nan,nan
M1,1,42,0.8462375771999362,0.8662375771999362,0.02,500.00048942442334,500.0,0.3844,-2282.009167335738,-970.6181131798318,0,0.0,nan,1.9411378131633885
M1,1,43,0.8662375771999362,0.8862375771999362,0.02,500.00015512584974,500.0,0.2824,-1430.420320910118,-466.59008401649874,0,nan,nan,nan
