model,chain,stage,beta
M1,1,0,0.0
M1,1,1,0.02
M1,1,2,0.041842001080513
M1,1,3,0.06418229486383974
M1,1,4,0.0900236000319098
M1,1,5,0.12484253601139027
M1,1,6,0.17484253601139027
M1,1,7,0.22484253601139026
M1,1,8,0.27484253601139025
M1,1,9,0.32484253601139024
M1,1,10,0.3748425360113902
M1,1,11,0.4248425360113902
M1,1,12,0.4748425360113902
M1,1,13,0.5248425360113902
M1,1,14,0.5748425360113902
M1,1,15,0.6248425360113903
M1,1,16,0.6748425360113903
M1,1,17,0.7248425360113904
M1,1,18,0.7748425360113904
M1,1,19,0.8248425360113905
M1,1,20,0.8748425360113905
M1,1,21,0.9248425360113905
M1,1,22,0.9748425360113906
M1,1,23,0.9999999992502492
M1,1,24,1.0
