model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
M1,1,1,0.0,0.02,0.02,2500.758453434819,2500.0,0.11536,-392.8260801015346,90.11665172233722,0,nan,nan,nan
M1,1,2,0.02,0.041842001080513,0.021842001080513006,2500.0004389181026,2500.0,0.02296,-181.04152890092337,138.53185466122767,0,nan,nan,nan
M1,1,3,0.041842001080513,0.06418229486383974,0.022340293783326734,2500.001375112829,2500.0,0.03412,-128.18539235249034,143.12473199249933,0,nan,nan,nan
M1,1,4,0.06418229486383974,0.0900236000319098,0.025841305168070067,2500.000466642112,2500.0,0.0104,-58.074491861984804,143.12473199249933,0,nan,nan,nan
M1,1,5,0.0900236000319098,0.12484253601139027,0.034818935979480464,2500.0004359417367,2500.0,0.04296,-15.63323319203556,146.18337057104756,0,nan,nan,nan
M1,1,6,0.12484253601139027,0.17484253601139027,0.05,2500.0004858396396,2500.0,0.052,52.088799705970686,146.46525695645866,0,nan,nan,nan
M1,1,7,0.17484253601139027,0.22484253601139026,0.05,2500.0001862324543,2500.0,0.0116,77.02043135363964,146.46525695645866,0,nan,nan,nan
M1,1,8,0.22484253601139026,0.27484253601139025,0.05,2500.000026042844,2500.0,0.11296,93.37571641518771,147.1871774013281,0,nan,nan,nan
M1,1,9,0.27484253601139025,0.32484253601139024,0.05,2500.0000987762646,2500.0,0.01832,106.98846218290389,147.1871774013281,0,nan,nan,nan
M1,1,10,0.32484253601139024,0.3748425360113902,0.05,2500.0001654990906,2500.0,0.09212,109.37340362273603,146.86892584899596,0,nan,nan,nan
M1,1,11,0.3748425360113902,0.4248425360113902,0.05,2500.000100441879,2500.0,0.02576,110.35676278322026,146.8425527744298,0,nan,nan,nan
M1,1,12,0.4248425360113902,0.4748425360113902,0.05,2500.000081088622,2500.0,0.07752,110.8149545638946,147.15097924803501,0,nan,nan,nan
M1,1,13,0.4748425360113902,0.5248425360113902,0.05,2500.0001049632688,2500.0,0.03368,110.8149545638946,147.15097924803501,0,nan,nan,nan
M1,1,14,0.5248425360113902,0.5748425360113902,0.05,2500.000034929125,2500.0,0.06312,126.03576643463978,147.15097924803501,0,nan,nan,nan
M1,1,15,0.5748425360113902,0.6248425360113903,0.05,2500.00005942248,2500.0,0.0384,127.07673027816931,146.9862827295527,0,0.0,nan,2.099325122369245
M1,1,16,0.6248425360113903,0.6748425360113903,0.05,2878.2148719487873,2500.0,0.05768,127.07673027816931,147.30732298498864,0,nan,nan,nan
M1,1,17,0.6748425360113903,0.7248425360113904,0.05,3353.626998810528,2500.0,0.04336,127.26267826117646,147.30732298498864,0,nan,nan,nan
M1,1,18,0.7248425360113904,0.7748425360113904,0.05,3763.0049827156013,2500.0,0.05544,129.73886958950627,147.11281178304995,0,0.0,nan,2.1409502017756927
M1,1,19,0.7748425360113904,0.8248425360113905,0.05,4168.7876502768595,2500.0,0.04872,130.65544124579878,147.28893076646585,0,nan,nan,nan
M1,1,20,0.8248425360113905,0.8748425360113905,0.05,4499.45568650255,2500.0,0.05172,130.65544124579878,147.28893076646585,0,nan,nan,nan
M1,1,21,0.8748425360113905,0.9248425360113905,0.05,4741.988796303725,2500.0,0.05112,130.65544124579878,147.28893076646585,0,0.0,nan,2.1926922739978534
M1,1,22,0.9248425360113905,0.9748425360113906,0.05,4906.693778724812,2500.0,0.05632,132.3620587508453,147.43556669375818,0,nan,nan,nan
M1,1,23,0.9748425360113906,0.9999999992502492,0.025157463238858556,4989.4930217414485,2500.0,0.0564,134.1384954625395,147.43556669375818,0,nan,nan,nan
M1,1,24,0.9999999992502492,1.0,7.497508169862499e-10,5000.0,2500.0,0.05612,134.0365583297216,147.43556669375818,0,0.0,nan,2.1423525181468595
